wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.55,-30.119,-8.7778,-33.368,-18.558,-24.792,-10.799
209.41,-23.041,8.5148,-1.6442,-27.143,-16.645,-6.9338
210.27,-12.693,-19.052,-28.65,-17.779,-15.837,-2.2584
211.13,-5.564,-9.1497,-8.8157,-7.2939,17.281,-0.26276
211.99,-22.464,7.2334,-23.22,-1.7476,15.791,-2.8466
212.86,-23.411,3.9271,-25.062,-0.72928,3.0421,4.4702
213.72,7.0951,-17.799,-4.051,5.6318,7.9854,11.388
214.58,29.805,-24.513,-20.666,16.586,19.971,-4.5932
215.44,16.221,37.134,-19.785,-16.885,37.569,-0.16322
216.3,8.5829,31.902,-5.3577,29.198,50.069,-7.5719
217.16,16.842,40.283,17.408,24.567,37.603,-8.9291
218.02,-22.6,44.418,2.6247,0.63138,59.619,4.3653
218.88,-17.243,37.235,1.4529,-4.1973,37.178,31.402
219.75,15.054,26.587,29.624,11.851,9.3094,38.35
220.61,14.221,25.104,46.711,23.408,34.994,20.141
221.47,8.3607,35.786,9.9938,10.793,52.222,32.245
222.33,22.503,41.864,20.185,-6.4535,38.683,27.441
223.19,26.599,26.158,26.205,37.48,53.637,63.68
224.05,15.489,36.508,13.006,33.522,38.564,56.942
224.91,17.124,40.355,11.009,38.805,48.054,42.267
225.77,24.304,53.819,16.494,57.758,62.497,49.746
226.64,31.479,55.421,17.484,59.512,69.823,58.517
227.5,37.37,23.78,11.289,39.667,81.782,43.282
228.36,23.367,44.358,5.1291,67.453,85.294,59.52
229.22,28.939,47.013,-1.0143,38.962,43.909,65.172
230.08,44.858,52.057,13.519,89.943,89.147,59.707
230.94,42.503,42.73,37.35,68.756,84.138,55.845
231.8,31.534,37.961,21.809,29.853,76.552,58.148
232.66,22.131,49.842,15.307,24.863,81.528,64.224
233.53,10.944,70.182,32.803,53.057,85.088,72.974
234.39,-11.528,77.201,23.418,73.336,81.601,88.967
235.25,-30.183,62.59,56.723,63.318,93.146,116.36
236.11,-1.8231,51.378,49.927,58.436,95.305,95.917
236.97,11.373,50.797,17.37,58.858,78.506,89.113
237.83,9.7444,65.656,6.1935,47.506,99.191,74.913
238.69,6.3121,72.815,22.746,54.879,88.238,65.598
239.55,5.4758,55.835,33.669,57.318,62.968,65.197
240.42,14.435,36.716,16.971,38.144,63.921,74.15
241.28,36.391,56.167,4.1328,38.465,64.157,93.768
242.14,-12.638,36.33,53.264,26.724,80.266,84.68
243,18.058,50.795,24.423,55.299,86.958,88.458
243.86,20.14,36.631,0.90094,39.292,81.823,82.22
244.72,27.246,39.068,15.407,35.573,70.2,84.236
245.58,23.107,34.918,15.131,20.451,66.65,77.568
246.44,18.621,27.929,12.851,17.277,62.103,65.995
247.3,22.949,39.753,28.809,40.441,49.709,62.577
248.17,-3.3801,57.59,-4.7984,12.383,55.808,59.034
249.03,-7.0476,76.188,12.369,15.583,58,87.476
249.89,23.656,37.84,35.431,35.561,65.234,98.334
250.75,35.18,44.734,10.437,29.956,69.831,66.547
251.61,18.093,57.841,-4.556,37.629,51.611,49.105
252.47,-0.80527,50.391,5.0329,47.558,51.604,51.759
253.33,-2.2959,28.923,16.362,37.665,64.43,58.619
254.19,4.9301,13.229,5.3608,13.738,57.048,60.864
255.06,-4.5483,4.3987,-14.752,16.396,57.779,63.005
255.92,-20.392,17.881,2.5919,30.21,52.133,36.493
256.78,9.1079,42.916,-3.1179,16.84,48.97,29.776
257.64,16.201,17.715,-5.3127,16.513,36.879,46.565
258.5,4.3857,7.1255,0.60646,6.1605,16.201,35.82
259.36,-10.068,20.438,15.519,6.8705,8.7263,37.481
260.22,-12.322,31.503,20.173,13.272,23.484,48.549
261.08,-4.0872,22.829,11.138,2.905,35.114,36.162
261.95,-9.5238,13.415,41.523,4.4674,3.5955,54.482
262.81,-15.753,11.271,9.1564,-5.2117,46.919,34.989
263.67,-9.715,-4.7839,0.52675,19.486,11.684,30.232
264.53,13.819,21.899,5.9927,-5.4691,6.4106,18.151
