wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.28,-9.7555,-3.9421,-13.196,-21.728,-7.3867,-18.854
209.14,1.3334,-11.2,-3.8744,-7.9532,6.3993,-9.5339
210,3.4494,-7.8545,20.131,-6.4119,-1.8377,-3.476
210.86,-21.622,3.6666,8.8763,-15.195,-11.457,-5.8147
211.72,-13.173,-3.693,-2.8052,-12.255,-6.7703,-9.2676
212.58,8.716,-10.14,3.0387,-8.5941,-3.8758,-10.829
213.44,9.5309,-4.085,9.9124,-8.7349,-10.621,-9.6134
214.3,-8.9161,-4.459,-5.2003,1.081,-10.751,-4.4122
215.16,-18.842,-19.956,-8.8422,16.089,8.3197,5.4328
216.01,-2.5323,16.164,-10.787,9.9373,-4.772,0.89248
216.87,-13.471,5.3564,-8.9467,8.3332,-16.35,-2.1306
217.73,4.7506,1.4348,-6.5499,9.2739,-10.825,9.4582
218.59,8.6754,-3.0662,-5.1396,0.57487,1.7544,12.805
219.45,1.4363,-1.9069,-10.639,-0.39436,11.089,7.8493
220.31,6.2029,9.2681,-11.555,12.776,13.055,7.5547
221.17,5.9926,8.4744,18.76,5.8185,9.8508,11.129
222.03,-8.066,3.8365,9.8678,5.7865,15.883,10.097
222.89,10.562,0.88675,-5.7094,4.088,3.4877,-6.8391
223.74,9.2144,-7.6554,13.802,2.3343,2.4228,-1.7504
224.6,8.7653,-4.2286,3.9611,1.7416,14.507,-5.2946
225.46,8.1294,6.3855,-5.2772,-4.4988,13.578,2.4308
226.32,8.952,12.071,5.3739,-7.1988,-0.28456,10.496
227.18,14.213,8.1596,12.891,5.2599,-3.9828,-4.3318
228.04,6.4073,5.2504,1.6484,12.353,0.14433,6.9707
228.9,-12.83,27.647,6.7197,21.097,-12.04,19.931
229.76,3.6964,7.9385,31.666,3.63,25.844,-6.0354
230.62,16.979,2.8463,23.952,1.6271,35.259,-5.1217
231.48,11.659,-1.2955,8.7615,11.058,22.123,-1.1559
232.33,0.38005,-1.1649,6.5198,7.5985,8.9526,-0.80563
233.19,-1.0816,6.5303,16.312,-5.5719,6.2938,0.021322
234.05,5.8233,10.84,20.678,1.6454,5.165,1.5913
234.91,4.0467,7.5359,4.3578,9.3005,-5.4045,6.7245
235.77,2.2724,22.188,3.4103,1.5875,19.924,8.4564
236.63,-2.5277,34.577,37.357,-5.3569,13.414,19.301
237.49,-7.1429,38.453,16.692,11.747,19.804,10.105
238.35,3.0188,22.163,8.6488,16.002,23.451,-2.2876
239.21,15.363,4.088,14.25,7.6952,17.463,-1.6538
240.06,15.505,3.4205,6.5537,9.7554,10.92,6.5892
240.92,13.308,12.372,11.053,22.281,11.224,3.6795
241.78,8.1003,34.917,33.683,12.904,7.0062,9.849
242.64,8.0373,9.4578,10.026,-15.354,-11.794,7.4577
243.5,-11.644,3.6614,-7.0775,3.53,10.05,29.027
244.36,-8.6733,-1.761,-1.684,2.7646,7.958,28.209
245.22,-6.1396,1.1602,12.698,7.0592,9.5743,10.033
246.08,-3.2128,10.716,16.647,12.631,19.051,0.65008
246.94,7.7031,16.118,10.607,3.7415,14.862,6.0085
247.8,-3.8203,14.914,18.138,13.271,5.4186,-1.912
248.65,4.9548,-3.4417,7.7285,12.657,17.835,10.469
249.51,10.382,6.6918,10.73,8.6961,0.93431,0.24059
250.37,4.3048,0.96014,-2.7609,0.33573,1.2958,1.872
251.23,-9.6171,-6.9091,2.0339,-1.9919,-3.4585,-0.57096
252.09,-10.623,-5.6907,0.94039,-4.0396,-4.6222,-0.54385
252.95,-0.43029,5.9951,-7.321,-4.0593,5.3402,-0.69503
253.81,4.4678,17.913,-3.2079,1.0343,18.044,-6.6309
254.67,8.1065,13.788,-2.419,-3.3935,18.864,-0.92498
255.53,12.541,3.3029,5.5372,-2.2426,7.7452,7.1715
256.38,7.9086,10.127,-7.1099,-8.5106,4.0441,10.33
257.24,17.389,-3.6473,17.391,-3.3622,-1.3061,-0.057377
258.1,7.6829,-2.2874,22.407,4.78,0.24794,6.8084
258.96,-2.9438,-3.8974,9.7804,-0.48061,-3.6486,11.158
259.82,0.32858,-14.914,-4.6574,-8.6297,-11.073,8.4557
260.68,5.0454,-15.399,-11.926,3.4902,-3.6384,10.851
261.54,-2.6319,-2.4943,1.1227,24.753,19.069,-2.9137
262.4,11.415,7.9812,-18.016,25.879,-1.6836,-7.0064
263.26,-1.5482,2.0864,4.5788,-4.9188,7.0199,-12.734
264.12,-12.214,-2.1641,5.0739,-2.5616,1.091,-10.95
264.97,-2.4563,-3.4157,-4.9484,-8.0152,-1.2328,-3.7556
265.83,0.84772,1.8803,-19.342,-8.0211,-10.816,9.2739
266.69,-6.4999,6.6015,-21.851,-1.7798,-11.19,15.651
267.55,-2.8728,0.33763,-2.4316,-3.4205,13.121,7.7645
268.41,3.1717,-8.7118,6.7383,12.321,0.20728,13.474
269.27,-2.0618,-10.514,-0.19997,-14.611,-2.2384,11.128
270.13,9.1211,4.927,-13.726,-15.301,15.021,8.7745
270.99,0.4661,4.0687,-1.8902,-1.7051,-0.58797,14.088
271.85,-3.2434,-5.2734,6.239,-0.94347,-2.615,8.7563
272.7,-4.2069,-3.2576,-3.6797,2.5637,3.5712,-7.3006
273.56,-7.0868,2.0968,-8.9201,8.9045,-0.51406,-14.159
274.42,-9.6827,-5.0775,8.2368,5.2627,-10.506,-4.6711
275.28,-15.071,-0.24569,6.1223,10.748,-4.149,-12.501
276.14,-21.269,10.166,0.0125,-0.53813,-23.348,-4.3768
277,-13.329,-5.2255,7.2156,-15.147,-10.928,-13.737
277.86,-8.1835,-5.0077,3.0836,-3.0308,-13.125,-19.796
278.72,7.8319,-3.6896,-0.98539,-3.8625,-6.3155,-17.826
279.58,10.202,-4.3006,7.0576,1.901,8.2818,-7.274
280.44,-0.73246,-3.9717,13.718,9.5367,10.824,3.3883
281.29,-5.6699,0.013871,5.1624,1.6575,-2.353,5.9785
282.15,-10.901,7.7612,3.77,6.4881,-1.0399,3.9275
283.01,-7.5304,8.4541,12.551,7.3934,-10.699,-9.0939
283.87,6.0389,2.3324,10.272,-12.128,8.5478,6.7912
284.73,9.7286,-4.0179,7.6335,-12.645,9.0396,4.6508
285.59,10.711,-20.695,4.3838,-5.5002,2.4511,9.5356
286.45,8.0188,-14.351,-0.59762,-0.61866,8.5592,6.1984
287.31,3.2948,2.7715,-2.7694,0.015651,5.7287,-5.2209
288.17,2.2378,1.0008,2.88,1.0167,-12.719,-8.4789
289.03,7.4749,-5.9718,10.702,6.0385,2.2157,-1.2976
289.88,8.1461,-5.3583,-4.2736,4.211,6.5028,-4.7664
290.74,-6.9637,3.1327,-1.7317,9.3811,-15.51,8.4015
291.6,-4.7596,1.0643,0.85031,2.4776,-11.94,4.236
292.46,2.1904,-5.2883,5.9668,-5.1596,-9.8823,-7.877
293.32,13.467,-0.28092,1.2473,2.0872,-3.3532,-3.437
294.18,12.721,4.0267,-2.0889,7.7268,-3.9052,1.921
295.04,2.459,-1.9622,-0.54328,1.788,-11.943,-1.2382
295.9,7.3338,-4.3204,-6.8685,1.8965,-4.6834,9.2292
296.76,-4.1132,-3.3668,13.857,-0.85399,0.19309,14.339
297.61,14.953,8.603,-19.692,-1.9238,-0.028223,-6.8509
298.47,1.5874,9.4933,-7.3878,-18.826,15.555,-17.777
