wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.74,7.604,-1.1303,-0.7417,5.7487,-40.714,-1.9237
208.61,3.0193,-3.7812,19.058,-10.203,-26.905,-12.304
209.47,-12.171,-4.7921,0.51758,-4.9448,21.175,0.16526
210.33,-0.037297,1.1171,-6.7728,-8.5965,8.5853,7.2249
211.19,-9.5094,3.9265,-19.745,-3.4582,-8.3125,-3.5051
212.05,-19.9,1.3661,-13.845,10.01,-0.75808,-14.245
212.91,-10.644,-5.0241,5.8252,10.709,12.929,-11.374
213.77,-1.2017,-7.1639,5.3848,-13.981,7.8895,-2.6224
214.64,-14.503,20.387,26.675,-18.563,30.634,-1.2098
215.5,5.1999,6.4579,3.1161,-18.909,-5.838,20.504
216.36,19.608,-21.852,20.428,6.4825,-5.2251,-3.9498
217.22,10.11,6.5124,4.3315,8.1463,10.833,-12.042
218.08,4.9678,10.276,-11.748,-5.3278,12.506,-0.27086
218.94,9.5743,-7.7673,-7.8859,-14.199,5.765,10.673
219.8,12.754,-0.52329,-0.94044,-9.3779,9.4002,12.22
220.67,10.297,19.224,-14.175,-1.243,16.292,19.892
221.53,-16.018,17.443,-1.2618,-21.573,-10.661,6.0174
222.39,-5.4459,-8.6175,3.264,0.84029,1.7835,-6.9825
223.25,-4.81,-10.862,1.1256,5.7802,-4.7959,2.6523
224.11,3.6111,0.6572,17.141,2.8768,-3.3988,3.662
224.97,11.06,14.929,11.434,0.90097,-1.795,6.1167
225.83,3.1319,16.599,-8.2413,3.0535,0.51557,7.1567
226.7,-12.92,2.9261,-0.94667,9.8252,6.3331,-4.538
227.56,2.197,6.536,1.1253,22.427,-15.582,-1.7973
228.42,12.443,12.614,-3.3262,19.549,-1.6104,1.7688
229.28,11.571,32.984,-4.5938,7.1528,6.8189,13.291
230.14,14.96,16.187,8.3958,9.7982,4.746,21.578
231,10.383,1.8817,20.372,16.866,11.351,25.971
231.86,-2.6701,-1.7361,23.733,19.966,13.224,26.669
232.73,-12.173,-1.5591,13.051,21.37,7.4656,20.353
233.59,-6.9602,2.9305,-5.9473,28.876,12.025,4.8024
234.45,3.4633,7.9475,18.764,39.306,0.15249,-6.3833
235.31,21.6,2.7135,19.58,13.009,-1.4724,-17.574
236.17,-0.4496,-7.8297,10.543,9.4665,-6.1298,-6.02
237.03,6.784,2.8735,-6.2516,11.847,-1.1501,-11.841
237.89,17.535,2.4978,-5.9195,14.701,3.1867,-1.5975
238.76,13.809,-3.7581,1.4145,8.6392,-1.0097,15.631
239.62,4.2637,3.6595,2.6783,-3.0379,-2.4395,13.765
240.48,4.483,11.64,11.909,-0.56425,17.787,3.1045
241.34,6.9722,-13.615,7.5419,-4.1201,15.34,12.839
242.2,-0.82702,10.85,-27.711,15.488,-10.281,-6.5708
243.06,-5.8721,-1.8325,-2.8846,-6.8378,-11.446,-1.6357
243.92,-9.7456,9.396,18.092,-3.6914,-20.427,6.9345
244.79,0.87811,6.2219,11.665,7.9522,-6.1418,11.17
245.65,11.322,-14.607,5.0993,4.6905,13.028,4.9596
246.51,2.2631,-22.692,16.427,-3.7888,4.4929,-6.6059
247.37,-7.4824,-20.791,5.3283,12.053,2.3127,-1.7271
248.23,4.6259,-17.335,3.6082,6.8302,9.4975,-1.5342
249.09,11.71,2.8727,4.4063,2.4516,10.817,23.812
249.95,-7.7086,11.695,-8.9009,4.5115,9.7711,8.9828
250.82,-2.2034,19.508,-9.1108,3.3703,0.069347,-5.9135
251.68,2.2058,-6.0505,-2.5848,-1.4475,5.4914,-2.9367
252.54,-4.0972,-31.877,8.2978,-3.8838,13.917,5.8629
253.4,-6.1781,-4.3737,23.559,-2.365,-0.97483,5.3552
254.26,-14.179,26.669,19.635,-6.7779,-11.384,7.4197
255.12,13.652,17.87,-16.126,-3.219,3.6881,1.5263
255.98,8.5149,14.837,16.52,-0.47984,3.9316,1.4144
256.84,-2.0854,12.845,10.694,5.7041,1.1958,6.5236
257.71,-0.41912,4.1556,4.4299,11.63,5.9401,6.5736
258.57,-4.3116,-5.4799,-3.5412,1.3232,15.804,8.2138
259.43,-17.291,-1.6479,-7.4506,-7.9128,13.377,10.714
260.29,-16.729,14.774,4.5391,4.4917,-3.562,-0.44766
261.15,10.819,9.4437,8.3645,-2.849,5.4464,-31.282
262.01,4.552,4.1205,35.509,5.1015,-15.312,-6.5861
262.87,-3.3579,3.7063,-1.9993,1.5946,-11.526,14.025
263.74,3.8676,6.3991,-9.9827,-10.332,-1.2032,7.3137
264.6,3.7051,-1.5572,-6.2275,-7.1909,-18.633,-4.7718
265.46,14.277,-4.5467,0.38706,-2.4078,-31.718,-9.2876
266.32,19.209,6.7594,8.2945,-4.6405,-19.013,0.32365
267.18,-4.8927,14.844,10.167,-6.1253,0.71663,12.194
268.04,2.4156,-6.1128,-6.0606,-6.0198,4.8869,-10.974
268.9,-4.7752,14.796,12.328,4.5437,-5.4476,9.3362
