wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
210.27,-20.853,-11.723,-34.513,0.94602,-16.077,-31.846
211.13,-29.239,-12.475,-9.0153,-23.082,-15.552,-9.4257
211.99,-10.694,-5.8768,20.563,-11.21,-19.097,-15.555
212.85,3.3907,-3.5985,11.482,-27.817,-7.8913,-1.6235
213.7,-2.3428,-4.2595,-9.2085,-9.2443,-12.975,-1.0507
214.56,-8.0844,-15.91,-15.067,13.89,-16.837,7.6639
215.42,-1.7335,-27.198,-12.575,9.8657,2.0937,18.201
216.28,5.6106,-13.955,-18.53,-0.49589,26.817,-1.5588
217.14,9.1185,6.861,13.427,7.9854,-4.3452,16.275
217.99,2.4909,-12.089,-9.6231,-1.2999,15.287,22.252
218.85,-27.612,14.375,2.1508,31.809,15.235,24.443
219.71,-6.7486,13.115,22.789,13.601,21.71,49.229
220.57,12.041,0.47092,36.483,28.879,27.372,54.849
221.42,17.587,-1.5957,35.842,40.801,26.421,46.743
222.28,22.742,11.536,24.997,8.3783,19.988,48.582
223.14,11.355,30.886,19.609,29.701,13.913,48.306
224,9.968,44.105,36.538,52.599,30.167,46.495
224.86,-5.64,28.004,41.734,45.323,14.57,38.828
225.71,19.922,31.324,50.748,56.013,14.762,43.677
226.57,20.494,8.2152,54.979,48.608,21.173,46.25
227.43,13.317,11.688,51.379,46.749,36.332,47.099
228.29,23.97,41.523,44.716,57.197,52.72,47.844
229.14,37.584,44.211,40.452,55.63,52.666,47.303
230,10.769,35.791,35.376,35.32,32.61,48.029
230.86,45.144,14.305,38.459,31.296,41.102,47.13
231.72,39.8,25.413,58.24,58.279,54.382,51.797
232.58,38.006,33.654,57.681,39.048,61.458,76.93
233.43,42.212,40.06,64.241,47.874,56.342,74.579
234.29,47.557,51.339,71.05,61.257,44.032,62.804
235.15,54.283,58.303,66.429,55.457,36.029,66.206
236.01,57.608,45.472,57.228,62.053,40.511,67.474
236.87,15.912,40.925,44.106,56.506,50.78,41.188
237.72,42.556,52.643,90.814,59.507,60.194,49.909
238.58,47.978,54.506,93.563,70.104,79.483,76.857
239.44,48.359,58.704,76.552,67.979,61.838,73.141
240.3,46.018,60.857,55.472,56.541,67.037,67.143
241.15,46.305,42.176,58.992,57.04,77.291,67.441
242.01,56.479,12.97,82.003,64.827,65.889,65.507
242.87,72.871,19.32,70.605,42.411,76.4,63.42
243.73,56.03,24.165,43.369,35.892,82.366,64.36
244.59,38.315,24.746,50.423,45.662,72.905,91.048
245.44,32.257,31.842,44.9,66.659,52.237,80.204
246.3,39.315,34.813,65.728,67.523,60.152,69.807
247.16,34.649,36.309,72.518,63.616,77.089,59.608
248.02,23.678,42.439,56.97,56.816,68.588,55.637
248.88,30.422,46.254,42.174,44.455,35.78,63.825
249.73,53.54,26.352,28.95,47.051,29.933,65.77
250.59,60.253,10.383,23.559,37.956,42.038,53.684
251.45,46.03,20.398,30.74,43.108,47.444,44.126
252.31,31.65,22.265,35.625,46.729,46.181,43.906
253.16,32.603,35.454,11.861,46.378,59.788,32.975
254.02,39.708,52.585,5.7199,29.686,59.136,30.283
254.88,33.375,48.435,17.771,20.102,45.654,26.43
255.74,10.174,20.206,13.664,39.976,43.661,7.5954
256.6,2.3242,15.776,14.448,43.919,37.367,17.28
257.45,42.255,21.703,23.993,28.769,21.543,16.604
258.31,14.605,-2.0218,22.008,7.0283,34.547,5.2258
259.17,19.895,35.979,35.392,4.435,26.959,15.537
260.03,15.053,37.385,29.955,20.509,26.31,33.226
260.89,26.289,14.114,21.815,25.971,27.848,50.922
261.74,38.051,-2.2933,13.691,19.47,34.392,45.646
262.6,11.87,-7.5795,-4.0873,19.885,41.613,12.696
263.46,5.753,3.4644,-1.1223,11.467,-1.3399,14.703
264.32,43.07,22.537,5.8551,-20.257,-3.2279,-3.3951
265.18,-5.5512,-5.8516,16.114,-11.876,-10.021,-9.2181
266.03,-8.771,8.266,-6.6879,6.1984,9.1897,-10.737
266.89,7.1093,6.479,-8.6312,19.256,10.254,-8.4922
267.75,0.75855,-13.434,-1.2975,8.226,4.9421,0.60549
268.61,-15.844,-18.174,-7.1584,-6.6921,0.7726,6.9058
269.46,-9.3706,0.79707,-17.685,5.0307,-5.4349,1.4384
270.32,-8.5211,-6.6213,-4.4785,10.214,13.039,5.1627
271.18,5.9833,3.6698,-0.14019,-12.774,-5.5267,28.188
272.04,-14.828,4.1091,19.799,-16.903,-1.9522,-2.1458
272.9,-37.997,-12.854,12.858,2.5355,11.442,7.9004
273.75,-10.753,-17.511,-10.404,11.071,7.4941,22.906
274.61,11.674,-7.093,-13.809,3.6234,-0.025556,26.031
275.47,13.662,11.88,-3.2074,-0.21871,-5.7181,23.333
276.33,27.141,18.676,1.9191,9.5042,-18.314,23.673
277.19,22.542,-22.694,35.04,5.6513,-24.385,19.35
278.04,-14.796,8.5475,-3.7066,0.99166,8.6386,-4.948
278.9,-6.3745,-14.33,8.329,-4.4955,19.157,10.709
279.76,-1.9033,-11.076,-8.8444,4.1187,0.8296,-5.5109
280.62,3.3772,-10.903,-30.098,-6.7464,-11.194,-9.3181
281.48,-7.3535,0.51978,-13.483,-7.6719,-1.0654,-3.8738
282.33,-17.736,9.0312,6.0907,1.2315,5.7461,-1.6389
283.19,-3.9097,-5.7089,-11.138,-0.45718,-7.2205,-8.6044
284.05,4.3243,-8.7012,0.15922,8.2114,-0.99546,-25.551
284.91,-22.694,-17.976,13.013,4.3364,-26.889,11.51
285.76,-25.064,5.0459,2.013,-8.0531,22.897,-1.6215
286.62,1.7434,-15.365,-10.502,4.7621,15.345,1.8338
287.48,7.6691,-3.66,-6.8127,-4.5089,1.6021,-7.9749
288.34,7.4433,-6.4984,-5.9995,0.18305,5.0895,0.30199
289.2,-2.9638,-9.5904,-4.763,6.4871,9.8263,6.1737
290.05,-17.662,6.6038,11.686,-6.8677,3.4622,-10.59
290.91,7.7389,-20.466,28.998,-2.7221,5.9666,1.2394
291.77,4.2392,-14.119,2.9922,-25.187,0.088978,20.642
292.63,5.1093,6.2151,-23.053,8.3969,-11.071,-5.5325
293.49,12.009,2.4057,-21.947,-2.4211,-21.515,-1.6553
294.34,12.27,-10.476,3.8999,7.3484,-3.9327,-17.607
295.2,15.75,11.199,-0.52344,-3.5152,5.8756,-22.017
296.06,12.561,16.232,-26.067,-10.293,-5.3606,-2.8278
296.92,-5.8777,-7.7259,-22.53,0.43556,-12.422,12.842
297.78,-22.507,9.944,15.476,-17.801,7.4725,-0.45827
298.63,-13.346,-21.477,-12.197,-14.754,7.7013,-1.9888
299.49,-14.386,-23.25,-6.8404,-5.7919,-11.595,-18.8
300.35,-17.817,-11.604,-10.223,-11.886,3.0925,2.3181
301.21,-8.1168,-1.808,0.16563,-12.987,7.4843,0.18519
302.07,-3.6265,12.998,12.915,-14.234,-13.51,-8.8887
302.92,-1.2951,20.155,-0.29287,-9.4774,-13.751,-4.9036
303.78,-1.6321,14.394,-20.679,-0.5568,0.84207,-2.4196
304.64,-7.197,6.7246,-11.413,4.3981,-13.472,-13.997
305.5,6.901,-0.10237,-14.474,15.977,-3.9021,14.465
306.36,-4.8575,-12.597,-1.4108,9.7718,-4.059,29.157
307.21,-3.2719,-11.758,-15.084,11.041,-28.442,2.9472
308.07,8.3384,-5.8968,-6.6411,9.1354,11.649,-27.723
308.93,-0.60576,6.9085,9.6174,8.1548,3.6336,-27.243
309.79,-6.0139,12.018,22.213,-7.2811,-12.047,-8.3943
310.65,9.9847,0.34237,7.047,-15.542,-14.192,1.7752
311.5,22.701,-7.6582,-22.37,0.3609,-19.862,-3.3443
312.36,-3.3156,18.187,-2.7782,3.7585,-16.115,-2.6822
313.22,8.5767,3.7575,-12.595,13.021,-25.142,9.9822
314.08,13.438,-14.175,17.899,-14.573,-6.1311,-4.5604
314.93,22.129,13.198,-6.1346,-13.032,15.949,-23.749
315.79,0.81882,10.199,7.9055,-15.637,24.799,1.8861
316.65,1.0791,4.0863,11.23,-6.3781,35.691,6.9967
317.51,1.9094,-0.37858,0.010104,-11.014,24.535,7.4833
318.37,-12.89,-8.3659,-2.4138,-29.486,9.393,16.497
319.22,-9.4387,-10.296,5.2694,-20.162,31.735,4.068
320.08,3.7433,-5.1374,11.62,-2.8315,5.003,8.8174
320.94,-11.763,-8.1908,-8.2502,-18.304,15.957,-9.3745
321.8,-4.0886,21.894,24.059,-3.9793,8.6681,5.5429
