wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.62,-1.4273,24.705,5.9619,-7.2844,-1.7357,-5.2226
208.48,8.8283,27.1,15.551,-17.819,17.886,-7.1587
209.34,28.864,8.2757,0.6595,-5.504,-8.9917,0.69525
210.21,7.8794,8.611,-8.9319,6.8715,-0.54975,7.1194
211.07,4.7948,18.326,4.7863,8.9777,-2.6978,-6.8362
211.93,7.2299,0.56105,3.254,0.35476,-9.3658,-15.891
212.79,4.6746,-23.385,-14.209,-8.7972,-3.9536,0.013794
213.65,9.0084,2.8889,-5.7425,-8.3679,4.2588,18.94
214.51,-20.999,18.822,-6.2969,-8.9873,-11.958,-17.153
215.37,4.0025,21.213,3.2879,4.7651,-4.4648,3.4649
216.24,-11.868,2.4041,6.0722,22.31,1.5197,2.1446
217.1,-15.6,-10.776,-5.2841,-0.86337,-9.6046,10.116
217.96,-9.8244,-4.2478,-3.4609,0.94649,-12.957,17.51
218.82,-7.2407,3.0391,4.2417,11,-1.458,9.1967
219.68,-7.8188,-4.9452,2.894,-5.7539,9.5937,-2.8342
220.54,4.0214,-8.6811,4.986,-7.1636,3.4786,14.378
221.41,28.2,0.65166,-10.622,1.4208,-7.2531,-8.4178
222.27,21.348,-0.076958,8.959,0.78955,2.9692,-21.961
223.13,4.8749,-1.8768,13.61,-5.1169,13.276,-6.9004
223.99,-12.989,-14.808,2.9811,-0.058293,13.038,4.8629
224.85,-13.153,-17.24,-2.3384,8.0358,19.134,11.64
225.71,6.9722,-10.103,6.7017,10.336,25.847,9.2901
226.58,21.918,-7.0265,22.391,7.8421,14.085,-4.3355
227.44,-4.3961,14.65,34.24,5.2247,1.6993,0.062981
228.3,7.6208,-13.432,-11.843,-9.6361,-9.8706,7.7357
229.16,-3.4112,4.5761,0.073926,-0.64025,-3.1643,0.32278
230.02,7.2782,3.7064,15.509,12.602,3.9583,-1.8757
230.88,18.969,28.239,16.973,7.2522,6.4073,5.9904
231.75,21.382,38.865,3.965,-3.7109,2.5231,7.5711
232.61,11.107,16.254,-14.375,0.49308,-1.6844,-5.5336
233.47,-7.7255,8.2069,-22.567,14.194,5.3749,-15.044
234.33,1.4739,4.7444,1.029,-6.9473,26.281,10.381
235.19,-0.42451,13.237,-17.248,4.3784,13.874,6.7704
236.05,-16.731,18.714,-6.7068,17.981,15.885,-14.265
236.91,-8.7444,8.0068,-8.2479,23.111,-1.9879,-10.206
237.78,2.3944,8.285,-9.561,16.848,-6.2738,-0.50211
238.64,9.0861,14.469,-6.8055,-0.53767,5.0069,3.9973
239.5,12.881,6.548,-3.341,-10.027,8.2143,7.7422
240.36,4.2093,-10.037,4.6329,12.64,-2.8419,12.893
241.22,-20.309,2.8526,13.347,-4.7262,11.798,6.7094
242.08,3.1864,-30.572,6.6412,13.064,-5.2856,6.5318
242.95,7.7655,-4.1522,12.817,16.099,-16.304,10.11
243.81,13.329,15.393,19.143,2.3107,20.914,-3.6559
244.67,12.036,14.734,18.701,-5.8326,22.787,1.5037
245.53,3.8875,13.121,16.601,-7.481,-3.6543,13.769
246.39,-3.8669,8.7727,12.672,-8.4748,0.36954,-0.041019
247.25,-11.647,-35.76,-7.1948,5.2357,8.2386,-16.516
248.11,-3.0236,-5.3464,4.1698,-6.0196,9.8729,5.254
248.98,0.56401,13.342,-10.434,-15.601,-9.4479,13.628
249.84,4.6657,-1.1428,-14.746,-2.3789,1.6361,4.3972
250.7,-2.1485,-5.572,-8.2974,19.547,-3.4754,-12.23
251.56,7.4414,2.795,8.5932,12.627,-7.8324,-8.6732
252.42,16.606,6.0284,17.486,-12.63,-2.5952,8.617
253.28,-5.9061,1.8884,6.1803,-14.024,-1.0838,7.0608
254.15,-20.024,19.045,3.3569,8.5766,-4.2383,-18.282
255.01,-16.608,6.7389,-1.8543,1.7002,-20.909,1.7978
255.87,-2.4671,7.6195,20.147,12.957,-2.1448,2.9207
256.73,10.218,-2.553,-0.19039,7.1683,7.5734,-2.6735
257.59,4.087,2.0013,10.715,4.2326,16.216,-2.8051
258.45,3.0214,11.922,24.332,11.04,21.754,-1.994
259.32,11.591,8.0601,5.9907,16.991,17.346,-7.5904
260.18,8.7155,-4.5856,-18.299,11.284,5.3535,-11.064
261.04,-5.5446,11.725,12.593,5.2901,4.3858,14.534
261.9,-2.0894,24.811,5.6471,19.408,13.083,22.405
262.76,1.381,0.25344,30.622,-0.023229,16.875,-1.6309
263.62,5.5467,-3.3091,22.428,1.8165,-2.559,-6.3744
264.48,20.128,2.1435,20.335,0.15625,0.46157,6.4547
265.35,12.714,5.1407,13.642,-0.49452,2.386,16.847
266.21,-1.9546,6.5023,3.3802,-1.8165,-3.6659,11.911
267.07,12.422,10.388,8.8781,-9.3702,2.2455,-1.5816
267.93,10.423,9.3772,14.565,0.53357,0.85997,-2.2118
268.79,15.679,6.7594,14.612,-8.0956,-6.1628,19.69
269.65,20.118,-7.3659,17.947,19.412,4.887,-3.5655
270.51,-4.0783,-3.4195,-6.3806,-8.5547,-2.3911,-7.4893
271.38,-7.522,18.538,-6.9312,-2.6556,-8.3572,4.0387
272.24,-2.8632,22.746,1.6944,8.7687,4.7384,10.378
273.1,3.2276,6.7341,-0.43454,0.98771,15.166,7.8897
273.96,16.05,-3.1587,-8.1487,-7.6089,2.954,6.0424
274.82,7.6934,-9.7031,-9.5188,-16.473,12.383,0.57611
275.68,3.3275,-2.6797,19.435,-0.60112,1.8533,-7.2775
