wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.26,11.214,6.1294,32.494,10.425,6.8423,-12.152
210.11,-16.292,-14.377,-7.2272,-6.7578,35.797,7.1298
210.97,11.662,8.3462,3.6211,3.7989,-11.109,-6.2179
211.83,13.056,-5.8204,20.369,3.8054,-7.4646,-28.445
212.69,-10.73,7.843,10.897,5.9917,0.09942,-12.893
213.55,-16.747,21.546,-12.025,3.8277,3.8334,-3.3592
214.41,-1.3833,6.58,-16.128,-8.9968,5.1174,-7.4045
215.27,-3.6604,-7.5666,11.068,-20.622,-3.7686,18.682
216.13,-8.9576,26.466,26.123,-2.5579,-10.294,19.711
216.99,7.7551,-12.281,13.257,2.8053,19.56,18.192
217.84,9.318,-0.3194,-51.09,-4.712,18.374,11.387
218.7,-0.70875,4.0712,-43.589,-10.98,6.3888,23.186
219.56,-5.4851,3.6105,-6.7298,-15.548,5.3234,15.847
220.42,-2.4409,8.2484,6.548,-11.037,2.7678,-5.548
221.28,0.043857,4.8445,1.8552,1.6853,1.1217,-11.63
222.14,-2.3006,-29.341,25.452,3.5779,34.965,-0.1296
223,2.2758,-1.2398,-17.89,5.4718,-21.194,4.4637
223.86,-0.69667,15.109,4.9975,19.927,-19.504,25.799
224.71,-1.8279,-3.6144,3.4867,22.135,26.035,1.8278
225.57,0.99221,15.259,-3.0524,27.775,14.271,1.3182
226.43,-7.3561,36.3,1.2704,13.877,-9.594,-1.9895
227.29,-9.0727,20.727,12.796,-2.6777,-11.471,-12.036
228.15,15.633,-14.44,18.974,10.87,-6.5111,1.3695
229.01,13.75,-14.221,19.736,12.019,13.617,18.756
229.87,-6.8895,-27.897,-9.699,1.7505,4.3726,-7.097
230.73,9.8132,-11.378,-10.52,-3.7564,-0.094042,29.031
231.59,26.069,5.3467,-9.9484,13.118,1.8668,-4.021
232.44,33.627,1.4763,7.3173,-2.7463,-6.6151,-17.583
233.3,22.727,2.5813,15.907,-14.34,-9.4698,-7.9051
234.16,3.7003,11.302,5.4609,-4.2438,-2.4674,-4.9079
235.02,2.0758,-3.2427,1.569,-13.157,-7.9579,-7.8412
235.88,3.7733,-0.67156,-5.3386,10.459,-15.841,-13.335
236.74,-10.777,-11.775,-19.092,31.534,2.7624,-0.88948
237.6,-4.0967,-3.1733,-23.731,3.3296,29.714,11.566
238.46,-0.54484,-18.086,-10.025,-10.186,22.012,-4.9491
239.32,-0.41191,-16.093,8.215,-19.242,8.5491,-11.534
240.17,-9.2181,-4.5446,22.001,-9.3002,7.7136,-5.9189
241.03,-19.484,-1.5896,32.283,9.1009,10.986,-9.6734
241.89,-3.3085,17.352,38.062,-20.799,5.0455,-19.617
242.75,25.687,50.621,6.0669,-13.66,21.012,11.98
243.61,4.1041,7.5884,10.939,18.358,9.5463,-12.141
244.47,-13.918,18.043,6.9179,3.3462,11.497,15.39
245.33,-12.429,-0.57299,16.714,-5.8561,4.7025,-5.8462
246.19,8.3404,-7.1509,8.8768,-7.8284,-5.3265,-8.0292
247.04,20.952,5.4599,-13.063,5.4896,10.129,16.572
247.9,12.294,-0.29046,-18.437,22.158,33.838,20.977
248.76,17.019,-29.742,-3.4546,-12.053,-19.13,17.267
249.62,7.6948,-21.704,17.764,9.9278,-12.767,16.672
250.48,16.812,-12.836,8.8399,-5.7907,-25.692,-8.2076
251.34,10.341,-3.218,18.552,-12.408,-8.8561,0.018061
252.2,4.2295,10.061,25.23,-2.0134,-7.8199,18.949
253.06,6.0785,9.5625,5.3337,4.6629,-1.6434,25.185
253.92,7.4069,2.4865,-7.057,3.0014,2.0432,3.0167
254.77,-4.6958,10.554,11.897,5.6824,-11.11,-23.797
255.63,-26.43,23.405,-13.794,11.796,10.587,15.014
256.49,-22.668,-4.3389,25.828,-1.9872,-16.307,17.96
257.35,-14.778,15.712,20.133,-28.137,-18.49,15.141
258.21,-5.9515,0.24796,25.681,0.095616,-13.634,10.586
259.07,-0.37823,12.87,0.42085,22.812,-5.6472,-5.196
259.93,-3.7682,5.6869,-13.048,23.193,-1.6801,-12.864
260.79,-20.411,-12.28,2.4622,19.738,-2.422,1.3797
261.65,-31.378,12.899,7.812,24.687,-4.5424,19.666
262.5,10.113,20.945,-23.19,11.25,-11.921,-0.25576
263.36,-17.608,-12.034,-42.095,-18.252,-24.927,-21.756
264.22,9.4888,18.014,-21.723,-0.29105,19.34,-22.806
265.08,20.255,26.738,-16.684,-14.436,40.521,6.6841
265.94,8.6896,14.527,-12.96,-1.4373,19.346,19.895
266.8,3.9146,6.2029,-3.8489,24.965,-2.193,11.365
267.66,16.9,1.7536,5.8488,34.161,3.6439,1.5552
268.52,23.665,-6.5308,9.5533,21.181,14.907,2.7745
269.38,-2.1885,12.449,8.945,1.034,-10.742,-0.15762
270.23,4.1883,-15.267,-2.136,8.2805,-29.925,19.438
271.09,22.066,16.13,5.6703,17.19,0.98123,10.302
271.95,8.6338,-7.8103,16.104,12.252,15.676,0.65279
272.81,3.0324,9.232,14.305,11.197,8.7498,-20.11
273.67,0.51129,34.396,17.973,29.373,-2.466,-24.908
274.53,-7.1198,38.092,14.238,42.169,-5.5011,-3.9211
275.39,-6.4812,32.678,-11.29,17.366,-0.11482,11.58
276.25,17.027,5.3543,-4.8527,-17.578,10.653,-15.334
277.11,-8.1656,9.1501,-15.98,-18.203,14.224,-7.1343
277.96,4.9411,-17.825,-5.4819,-4.6811,13.648,21.019
278.82,-3.2933,-24.503,5.4708,-16.622,7.8855,-12.825
279.68,2.841,-19.524,4.5379,-17.807,7.3967,-6.5755
280.54,11.924,-24.778,-8.2506,-22.596,-1.9381,3.4166
281.4,16.835,-30.115,-1.5752,-15.339,-4.9988,-3.9686
282.26,18.014,-13.866,27.964,13.744,6.1748,-3.0713
283.12,-0.98017,11.271,11.907,0.49305,-15.247,2.9082
283.98,-12.167,38.754,27.932,-8.062,10.315,-9.13
284.84,-12.288,13.505,-35.159,20.809,5.2625,-10.116
285.69,0.3262,6.9548,-16.998,13.716,26.915,-18.771
286.55,-4.5542,16.732,-5.946,13.569,17.842,1.2573
287.41,-4.8099,34.349,-1.8717,8.7688,34.215,19.817
288.27,-0.60118,38.323,6.4243,-2.5362,36.842,15.65
289.13,-5.4185,20.396,5.2022,-4.4558,-2.4855,1.115
289.99,-7.712,7.7271,-20.148,1.4195,20.531,-3.6975
290.85,2.1379,24.676,-12.077,-40.56,10.132,-23.718
291.71,-3.7788,41.633,-5.7744,-2.8162,32.157,-8.6954
292.57,7.6075,17.057,7.3202,-17.707,9.7259,4.9093
293.42,17.407,0.23825,10.107,-10.814,2.8173,9.3768
294.28,7.4788,-2.7247,12.596,7.3138,9.3611,-3.4729
295.14,0.13313,-4.1723,6.9678,10.497,-5.2235,-14.369
296,5.9793,-8.7849,-8.9883,-3.4742,-23.707,-6.3327
296.86,-2.9031,-5.5133,-13.412,-8.3198,5.8193,6.9775
297.72,-20.005,11.322,2.1066,20.081,-12.764,-0.73839
298.58,-4.0557,1.8707,6.5976,4.3975,-15.249,-6.7701
299.44,-18.167,-6.0177,18.981,14.011,-17.735,-6.4773
300.3,-30.308,1.706,-3.9928,-1.7193,-4.1117,6.6103
301.15,-8.2193,2.0915,-7.3542,-3.6128,9.0098,5.7932
302.01,11.189,-3.0418,1.6266,4.9405,-4.9102,2.2318
302.87,0.25825,-4.5144,8.9898,4.4304,-19.162,7.9864
303.73,-17.032,-7.3869,13.735,-0.16299,5.5349,15.627
304.59,-6.542,-21.76,-17.797,17.44,8.5401,19.974
305.45,21.669,26.807,-8.9674,14.03,-15.086,3.3383
306.31,-21.058,-8.9174,-21.006,-14.403,-14.514,-0.7815
307.17,-21.923,2.2171,8.7475,-9.9007,21.047,9.385
308.03,10.474,-2.2298,8.9929,7.3278,-7.2926,-0.0022893
308.88,18.755,-17.838,-10.939,3.3921,-5.6535,-6.3237
309.74,2.2785,-22.869,-16.649,-19.228,24.145,-9.9493
310.6,-5.2533,-9.061,2.493,-23.902,15.623,-14.089
311.46,-5.5605,11.645,22.768,8.599,7.7507,7.4661
312.32,3.1174,-19.67,10.326,1.506,15.668,-17.833
313.18,-13.639,23.553,-12.632,-27.491,-7.1152,-0.14618
314.04,4.1509,6.1257,-4.8775,20.318,9.2708,6.0263
314.9,15.998,11.548,2.2106,7.9434,-2.3642,11.785
315.76,5.8119,8.0888,-2.6677,10.016,6.4395,-10.221
316.62,1.1542,0.039612,-14.632,20.475,-4.5482,-24.62
317.47,10.175,2.0899,-12.753,12.321,-28.698,-5.103
318.33,3.8943,0.39948,8.5209,-0.29543,-0.60968,15.411
319.19,-13.537,-16.982,-4.1806,-37.185,-20.344,7.9412
320.05,6.7208,-18.783,-20.147,-15.069,-22.87,29.139
320.91,-0.35141,-14.806,13.593,-11.165,30.962,-1.8454
321.77,6.4565,-21.129,0.74823,-9.8947,16.573,-24.882
322.63,2.1248,-5.6115,-5.0293,4.7435,15.272,8.4483
323.49,-4.0861,12.586,-3.5095,17.39,15.701,9.6772
324.35,-12.366,12.226,-1.0819,13.705,-7.1017,-5.0356
325.2,-13.315,11.717,4.0042,4.1085,-20.825,19.08
