wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.16,-17.278,17.909,1.8454,-1.4743,-6.3043,-7.6129
209.02,4.556,11.964,11.694,-11.732,-7.946,-3.8982
209.88,-2.1587,-7.0342,7.6755,-9.7537,-3.0607,-7.5264
210.74,2.9919,-13.881,11.663,-2.2292,-10.738,8.1845
211.59,9.084,-4.0178,5.9401,7.6946,-9.8152,8.8899
212.45,7.3147,3.0009,0.34826,10.724,-1.0746,1.6218
213.31,-0.049064,-5.4971,-1.6034,5.9523,0.277,-0.45683
214.17,-4.1672,-15.987,-8.6401,1.9145,-8.5039,0.86414
215.03,-3.7157,4.525,-1.6861,-1.6074,13.46,6.4757
215.89,7.7314,7.2518,-6.5827,-12.736,7.4871,-15.831
216.75,6.3122,7.7088,-10.725,-7.9691,4.544,1.2246
217.61,-7.0024,-0.29769,1.5028,4.1364,-5.4631,9.045
218.47,-12.342,0.89146,12.138,7.8093,3.8503,4.6123
219.33,-8.6966,8.1804,10.619,3.9838,14.793,-1.4257
220.19,-3.1971,7.6804,1.1852,-1.6497,7.0298,2.6442
221.04,5.3024,-0.042506,-5.7337,-12.052,7.2796,17.615
221.9,-2.348,5.3107,-8.0468,-10.153,15.231,-1.2577
222.76,0.90011,-1.066,-3.6593,5.9857,3.0775,-16.757
223.62,6.6768,6.9655,2.3919,2.8741,-9.8281,-5.2837
224.48,9.4844,2.2661,-2.7674,7.3264,3.7976,11.792
225.34,3.399,0.52165,-1.7401,12.577,9.9298,17.417
226.2,-1.2603,2.7412,6.2988,13.067,1.8486,8.3637
227.06,7.7536,-3.7185,8.9843,10.415,6.3372,-2.351
227.92,12.675,-0.51957,18.831,-4.0781,18.354,6.3366
228.78,-2.8001,-16.903,2.572,9.1613,-0.6219,-2.1024
229.64,2.3863,-3.091,-14.487,1.7455,-1.3165,-1.799
230.49,2.2308,10.265,-4.376,5.6572,-0.26495,9.2998
231.35,8.9005,6.0388,-1.3307,3.5325,-5.6173,1.5842
232.21,9.9502,3.1386,1.2819,-2.9498,1.6025,-5.335
233.07,-0.38617,4.6492,5.7827,-2.9647,16.348,5.3423
233.93,-5.6848,-7.9117,-4.5151,3.8996,7.5702,13.56
234.79,-3.7259,6.5689,5.8244,0.71001,5.9964,1.11
235.65,-0.9065,-3.719,-2.6327,1.7935,1.862,5.7403
236.51,6.4632,-7.1826,-0.47543,-0.1532,5.3173,7.3389
237.37,3.8091,-5.2219,-6.1869,-0.030088,6.759,1.5625
238.23,-0.44787,-9.5849,-8.0109,3.0656,18.522,0.14089
239.09,-6.2049,-4.9745,-2.7916,4.6669,19.071,5.0229
239.95,-5.9592,12.28,4.6653,2.7654,1.4739,7.9872
240.8,17.571,10.824,8.473,4.548,4.6402,1.9346
241.66,16.913,10.129,-15.666,22.189,4.0343,-5.6213
242.52,4.2423,9.4336,-12.389,2.1076,-4.2891,15.122
243.38,5.2441,15.309,-2.0993,-9.8291,3.3237,-0.89757
244.24,-0.68674,9.8249,11.877,-2.6028,0.82454,-4.9046
245.1,-2.4044,-0.38268,7.9677,2.0263,3.2931,-6.9073
245.96,-0.42204,-7.7146,-4.5912,1.018,7.6472,-8.25
246.82,-5.6708,-11.892,-5.0128,2.114,3.3686,-4.5079
247.68,-13.48,-12.646,-1.8857,-3.4348,6.3787,-12.367
248.54,6.802,15.464,3.5772,1.1633,10.17,-7.739
249.4,6.1396,1.6866,-0.17456,4.0861,3.9099,1.0769
250.25,2.4749,1.8019,3.5072,-5.8536,0.075879,-5.5697
251.11,-2.261,-2.6831,7.2228,-8.21,-6.6082,-11.701
251.97,-0.4402,-2.0883,7.7905,-2.6193,-9.551,-4.8542
252.83,-0.60982,1.8955,8.2535,-0.13171,-2.552,7.3751
253.69,-10.111,0.36626,9.5449,-5.8743,4.0814,7.732
254.55,-6.2244,6.0152,2.7078,-8.345,-15.301,-3.8404
255.41,-9.5084,-4.2626,-4.9168,-11.611,-12.371,6.8911
256.27,-7.0226,9.3638,-6.7701,-0.86626,-6.1437,5.2588
257.13,-5.588,3.4887,-4.79,6.5295,-4.6051,-1.9973
257.99,4.0799,-0.80198,-1.3535,6.5804,-4.8695,-1.9099
258.85,9.3473,0.32269,-1.6334,3.3066,1.7093,-3.5431
259.7,4.4606,-0.04626,-2.2337,4.2021,4.5461,-1.5446
260.56,0.31092,-5.7539,2.6729,12.488,-7.1851,6.7397
261.42,7.7015,-10.015,5.4064,18.244,-5.7962,-18.012
262.28,7.0426,-5.422,6.53,-13.005,-1.9972,-8.1486
263.14,-1.7998,9.8137,-7.8943,-8.2486,-2.2892,5.8092
264,6.1345,3.5961,-2.5833,-5.8817,6.1551,2.0249
264.86,6.0925,4.0883,5.8969,-8.2004,8.9937,-5.9053
265.72,0.20019,-1.5486,2.0606,-8.3616,-3.1103,-3.3221
266.58,-3.8714,-9.7985,-4.8973,-1.768,-4.817,1.204
267.44,-5.2994,-4.6964,0.71439,5.9389,15.809,-6.8057
268.3,-3.3918,-11.595,2.9757,0.44925,-9.3919,-8.5738
269.16,-2.2885,0.02556,-2.0054,-0.2055,-5.5941,6.5621
270.01,2.9265,-0.65808,1.2244,7.3549,-10.829,2.0047
270.87,0.74341,15.27,5.0009,16.851,0.069853,9.3884
271.73,-1.6838,12.18,5.9174,0.92252,6.0905,10.432
272.59,-4.101,8.3563,-3.6732,-5.7198,-1.7294,9.9247
273.45,0.12993,9.1135,-5.818,2.56,-6.6695,9.5771
274.31,7.726,1.4998,10.11,0.90228,3.4055,3.7349
275.17,-12.479,0.6061,-1.8978,4.8023,0.2668,-1.1636
276.03,0.044239,-21.036,3.6562,10.301,6.7088,3.5216
276.89,2.5736,8.9193,-6.597,4.9845,-0.16211,1.5537
277.75,3.8697,7.6426,1.4357,9.72,4.3012,0.65176
278.61,3.2417,12.355,2.2983,1.7488,8.6989,3.6089
279.46,9.6207,8.7732,-3.1263,-4.5259,0.98437,-2.3389
280.32,13.162,1.0768,-6.2359,-1.8374,-8.0694,-4.8566
281.18,0.063996,6.4523,-3.3117,0.18857,-4.6792,5.412
282.04,-13.595,4.3786,2.9064,-2.5871,-2.0329,-4.5632
282.9,-4.5483,-10.216,-7.3113,-1.4452,5.3147,8.9531
283.76,-6.5557,-5.2428,1.1851,-0.29987,7.562,8.8668
284.62,5.6583,11.294,0.81487,5.9491,8.9221,3.979
285.48,5.6959,10.056,2.1461,5.9678,4.6752,15.192
286.34,5.7424,3.2626,4.1399,3.2182,-3.9506,16.549
287.2,6.2157,-3.3106,6.8014,7.3983,-3.2554,10.294
288.06,3.5721,-5.5476,7.9198,14.356,7.12,12.111
288.92,10.941,9.8196,1.7339,6.8383,4.5796,9.4394
289.77,12.997,3.1618,9.9858,16.796,17.238,-1.5837
290.63,2.789,7.023,-1.0366,6.6036,7.9937,-11.727
291.49,3.1201,1.8578,2.2374,-4.3998,9.263,-9.0265
292.35,6.4598,0.28419,-1.6532,-2.2026,11.003,3.4053
293.21,1.03,-2.9273,-2.5235,6.6809,5.5671,12.602
294.07,-5.0565,-4.7518,0.1731,10.359,2.4804,19.389
294.93,-4.9499,1.0115,-2.1313,1.0857,3.7702,20.15
295.79,-4.3736,10.713,-8.056,-17.275,-4.3349,4.246
296.65,8.8515,9.6682,5.656,-22.671,-10.413,-1.1271
297.51,-9.2907,-6.6368,-0.12835,7.5446,-1.2289,2.8294
298.37,-3.7076,-5.541,1.9969,-6.524,10.332,17.07
299.23,-0.82102,0.87008,5.6865,-4.098,-2.6726,-1.761
300.08,4.2569,6.6713,16.761,-3.2592,-3.5379,-6.9634
300.94,6.8841,1.1245,21.738,-6.0506,2.6694,0.55958
301.8,8.9486,-4.5757,11.907,-1.5701,3.9482,1.6138
302.66,14.168,6.7423,-1.2786,9.8664,3.4982,-3.7399
303.52,3.3508,9.1433,-0.23079,7.6131,-2.3418,-1.3738
304.38,5.457,4.2821,-1.6036,6.1701,0.70097,2.605
305.24,0.054736,-5.587,9.5418,7.2313,14.593,7.4201
306.1,-1.4724,-4.2882,10.652,3.4218,7.6195,7.9926
306.96,-1.4077,-6.912,2.7132,2.0393,3.4487,0.40804
307.82,3.7206,-5.9678,-5.4785,-1.9392,7.7485,-2.9339
308.68,8.2132,1.3382,-6.9462,-4.5189,6.3823,5.9195
309.53,4.9528,5.3516,-3.1104,-0.9909,-6.6812,14.7
310.39,-1.6,-2.1646,-3.5513,-0.054417,-11.499,4.7319
311.25,-12.558,-9.5618,-14.464,4.6115,-4.9974,17.447
312.11,7.1774,7.5937,6.1939,-3.8762,-11.655,11.738
312.97,-6.8751,-5.2013,9.2027,11.446,-9.1033,-4.7386
313.83,-4.4724,-2.924,1.1352,-0.27219,-3.239,-10.447
314.69,-4.0119,0.97536,4.9612,1.6123,3.3201,-2.7032
315.55,1.3652,0.54368,-0.94152,2.1446,2.8168,0.1881
316.41,9.5167,-0.82524,-18.967,-5.9186,-1.4599,-1.622
317.27,0.54532,-1.6566,-13.742,5.8357,1.3609,5.0441
318.13,-0.19712,-0.44755,5.4256,8.9911,0.15306,-10.723
318.99,-3.399,-0.062271,4.9172,-8.3284,1.4004,-7.6424
319.84,6.6525,-7.1399,-1.3964,4.1629,6.7899,-7.0486
320.7,-14.481,-10.441,11.849,-5.6003,0.33839,-1.6378
321.56,-7.5685,-4.3754,1.2838,-9.8642,-6.6443,-7.547
322.42,6.0564,-6.7374,-5.8324,-7.6979,-3.8505,-3.6914
323.28,0.28586,-6.2124,-0.94007,-5.0876,1.1428,2.2679
324.14,-9.5453,4.9927,2.5189,-3.7372,-2.1495,-0.30998
325,7.8947,-2.1009,8.2054,-4.0416,-6.0476,12.849
325.86,16.667,13.764,-6.2705,-2.5979,1.1745,2.6155
326.72,2.8161,4.3962,-8.57,13.634,-2.9173,-8.4942
327.58,13.207,8.3253,-2.2712,1.7056,0.80799,-6.3073
328.44,10.109,3.3293,-8.167,-1.9113,-1.1106,0.93207
329.3,-0.65757,0.338,-7.9783,-2.1496,-4.6681,1.5561
330.15,-4.0669,0.68453,-0.13809,-0.98406,-5.2865,-6.8542
331.01,-2.3271,1.9868,2.6539,4.2184,-2.2528,-8.8929
331.87,-7.9874,-0.13519,-2.3771,9.0769,2.0621,0.90426
332.73,-13.724,-16.132,5.319,0.9945,4.0263,-11.014
333.59,-1.9692,-4.2922,23.356,4.8413,-2.7631,1.7196
334.45,10.641,12.704,12.158,4.3883,11.078,9.2912
335.31,-4.2965,0.045627,11.273,2.3175,4.6608,19.689
336.17,-1.1016,-1.8305,11.229,-0.034256,2.5101,2.9017
337.03,-4.9899,5.4973,9.6415,-3.419,-2.523,-0.34199
337.89,-4.6515,7.4434,7.7147,-1.9239,-5.5716,6.1195
338.75,7.8648,3.2586,4.2565,2.9,-1.4518,2.3184
339.61,4.3641,2.7141,-3.3983,0.015708,0.59566,-0.76928
340.46,-3.4684,-3.6843,-10.023,-3.6759,-1.1613,3.1896
341.32,-12.134,7.2534,-2.6136,10.797,-6.2267,-3.5898
342.18,7.493,1.5442,0.63359,-3.8613,6.1815,-0.38647
343.04,0.92324,-8.1191,5.7655,4.0248,14.687,-0.13238
343.9,-9.178,-3.9316,8.9801,3.6943,3.8525,6.5476
344.76,-3.0975,-1.8603,-2.7257,-0.15599,-7.5448,1.3296
345.62,3.0479,-4.9932,-11.817,1.3929,-3.5361,-1.3234
346.48,-3.0876,-2.6693,-3.7068,3.2798,7.0695,9.7017
347.34,-0.2408,4.5005,2.8337,-0.02149,3.5621,8.7299
348.2,6.5706,2.1993,12.938,12.728,-4.6942,17.321
349.06,4.0588,1.5911,5.2544,7.6867,-4.4804,-4.5708
349.92,-1.7229,3.426,3.2645,-1.4443,-0.19241,-0.39684
350.77,-2.8725,-2.9631,-0.3278,-2.4955,2.3418,0.46581
351.63,4.3482,-10.975,4.9672,-1.338,-4.5346,0.4391
352.49,7.4864,-9.6141,7.3674,-4.9653,2.7714,-2.6401
353.35,2.9662,4.2942,0.27547,-8.6665,14.335,-2.3648
354.21,2.2178,13.282,-7.6869,-5.8699,5.1321,3.469
355.07,10.924,-2.754,-8.131,-2.1727,-9.942,-1.084
355.93,-0.21968,2.7069,-12.212,-4.0048,-2.8074,-15.859
356.79,-3.6577,4.7396,-13.731,-14.428,0.042085,-4.052
357.65,7.445,11.615,-16.867,-3.0333,-6.0004,2.084
358.51,-2.9915,9.9191,2.1251,-4.7916,-9.4508,5.5704
359.37,-0.43736,3.9629,6.7554,6.8,1.5372,3.7874
360.23,5.9355,0.4237,4.0991,14.647,0.48483,-0.42094
361.08,2.1951,0.50737,10.521,9.8595,-3.6586,-1.7226
361.94,-8.3828,0.37079,16.241,5.2457,7.8302,-1.8676
362.8,-14.811,-2.3752,0.93647,7.2113,9.0596,-7.7868
363.66,0.16494,-1.9146,1.6016,13.487,6.1768,-3.6272
364.52,9.1517,4.5504,-9.7494,15.477,-7.0091,10.831
365.38,-6.2209,2.8937,8.9352,-4.4591,0.91309,2.5551
366.24,-0.77261,2.5593,5.9347,-8.2556,2.4426,0.51309
367.1,-5.6974,12.844,-0.093907,-3.6182,4.6735,13.148
367.96,-5.9692,20.49,1.9183,0.87817,5.505,8.4501
368.82,-1.5347,15.648,1.0553,2.9964,7.2333,-2.8858
369.68,-2.7666,2.768,-6.2299,0.39567,7.8513,4.4427
370.54,4.3031,-6.4224,-3.2744,-6.8612,-1.822,6.7086
371.39,14.263,-1.6199,-7.9922,5.2589,5.1564,-13.375
372.25,8.9821,-11.217,-4.2482,7.2139,6.2074,4.6382
373.11,12.786,3.9668,1.1446,9.1659,-0.17705,3.6497
373.97,10.13,3.1606,0.20842,0.3547,-2.8442,1.1654
374.83,3.9084,-2.6053,9.2654,-14.114,-0.20829,9.0242
375.69,1.8355,-1.1623,14.194,-13.004,-0.094345,15.688
376.55,1.7205,4.9757,4.2454,0.23711,-2.3295,14.128
377.41,0.23354,7.3443,-5.3106,5.4695,-1.935,7.7817
378.27,1.8795,0.82456,3.9919,-1.3833,0.89306,1.8693
379.13,5.3323,-19.546,2.9858,-0.55029,3.4547,1.5151
379.99,-4.4239,-6.9023,-1.3269,-2.1983,2.7126,16.843
380.85,4.5197,13.388,11.359,0.39967,2.8199,-7.7893
381.7,-1.203,12.527,0.38679,2.4618,-2.2298,-13.614
382.56,-11.354,6.6725,-6.0239,0.56012,-3.2546,1.9031
383.42,-6.7052,5.837,-6.9854,-5.0022,3.5882,-0.97801
384.28,-2.4188,0.23214,-7.2778,-6.9792,1.8237,-2.8635
385.14,-8.8396,-9.8122,-5.2299,-2.0447,-3.4645,2.8705
386,-6.8095,-8.1223,0.18117,1.5044,4.3696,-9.576
386.86,11.003,-0.57333,-0.39628,-4.3395,-7.9074,-0.81136
387.72,6.5826,-12.079,0.61087,13.621,-5.1015,12.699
388.58,1.277,-12.086,8.6968,0.59509,1.2431,-0.35436
389.44,3.7443,5.1232,13.728,-0.24892,1.3893,-1.9691
390.3,-0.70431,-0.67819,6.1994,0.74177,-0.73095,2.8381
391.16,1.8122,-4.1491,5.4383,7.9564,3.4942,-5.5287
392.01,-0.67693,-2.3204,9.9801,10.956,5.2108,-7.2476
392.87,-7.1317,-2.7828,5.8609,4.0969,2.9715,-1.0216
