wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.59,27.943,-2.8882,-0.18417,-10.74,4.7248,-3.6397
208.45,3.4445,-1.15,-12.257,-6.4712,-4.9464,-11.292
209.31,-8.0044,12.818,-1.4999,-17.693,0.89233,-0.18417
210.17,-6.3435,-11.363,15.477,2.1962,-3.909,1.8638
211.03,0.27722,-21.305,17.245,3.7957,3.0097,4.4421
211.89,-1.7621,-18.637,-0.9672,-3.4539,8.0383,6.8409
212.75,-12.411,-8.9182,-3.2693,-3.2222,-0.44306,7.8503
213.62,-13.311,11.341,35.009,-1.039,-11.145,7.8402
214.48,13.67,-2.9285,6.3365,7.2662,-10.646,-4.1193
215.34,-16.058,2.2837,42.834,2.8736,-19.448,19.452
216.2,5.6941,11.278,5.1513,-17.406,-14.63,5.9427
217.06,3.0876,3.3145,19.128,-11.883,-23.461,4.4939
217.92,-8.4374,3.884,18.364,14.943,-10.682,9.3648
218.78,-14.081,1.5565,-9.8014,16.653,4.2094,-7.1648
219.64,-13.552,-8.2976,-28.698,-9.643,-3.5172,-30.165
220.5,-9.6605,13.912,-23.407,10.076,-0.53058,0.75264
221.36,-14.226,13.065,35.762,1.3597,6.3,-39.091
222.22,17.243,16.412,-0.62175,12.759,14.815,0.67442
223.08,12.606,-2.7067,-3.807,1.5833,6.4265,29.278
223.95,21.845,-3.3715,-6.6141,-5.1466,7.4137,-0.71839
224.81,20.661,-0.51236,-8.1829,-5.5507,1.7577,-11.986
225.67,3.7826,0.31059,5.4267,1.6212,0.43898,1.0166
226.53,-1.2684,8.8874,23.825,12.869,22.588,-13.321
227.39,4.8081,9.0379,-1.9074,-0.27616,19.045,1.7623
228.25,13.342,36.942,29.459,11.065,-10.609,6.2564
229.11,29.044,-10.64,18.715,18.433,28.085,-8.3178
229.97,10.215,-10.239,3.9707,8.1468,26.759,-4.1
230.83,-4.5566,1.885,-2.7744,-0.52238,20.682,12.9
231.69,-3.8396,4.5923,10.1,-6.0453,-0.40636,18.564
232.55,-2.7442,-1.3473,25.123,-8.2722,-21.435,14.251
233.41,-11.96,-9.0939,6.1263,-2.7133,7.2557,20.452
234.28,-1.5878,-8.0875,-24.382,-8.0185,22.026,-2.9723
235.14,11.384,-3.6481,-13.891,25.152,-10.194,13.747
236,-9.0057,3.0644,-1.1319,0.6985,-12.825,-5.9292
236.86,4.0543,15.78,3.7763,-10.919,12.874,7.3886
237.72,2.8039,4.6294,5.0435,6.7285,14.693,12.911
238.58,-3.8967,-5.658,-5.6004,22.432,9.9622,5.1168
239.44,10.623,7.8179,-20.985,14.681,12.361,6.2168
240.3,21.762,9.797,-10.151,11.106,-20.33,15.261
241.16,14.762,-10.121,-8.3868,34.717,0.64852,2.3977
242.02,0.90241,-25.775,-13.483,0.032329,-19.524,-8.7622
242.88,14.683,0.24316,3.2112,7.4724,1.2538,19.52
243.74,-1.6466,5.4646,6.7063,-5.6032,-0.56924,-0.50485
244.6,-14.946,1.0493,8.063,-20.255,-3.8226,-18.629
245.47,-6.7665,2.1975,2.0719,-13.233,0.16386,-8.5211
246.33,4.3727,4.7091,-6.5568,6.7317,0.7503,3.887
247.19,0.091319,-0.91566,26.638,5.4499,5.7269,-1.6543
248.05,3.6292,-3.4068,15.325,-37.159,14.604,-4.0654
248.91,-11.254,9.1958,-13.573,-20.295,15.961,-9.8164
249.77,-11.978,8.2121,-15.487,-5.9173,17.719,-13.588
250.63,-5.7825,-0.09789,4.6833,11.994,0.97648,-0.53941
251.49,-3.3182,-4.4942,8.479,7.5785,-12.226,10.579
252.35,1.0755,-2.1569,1.4103,0.11772,-9.1588,-1.6337
253.21,14.469,4.5939,12.428,17.022,-0.28236,-23.436
254.07,18.822,14.018,20.262,9.3003,3.2632,-1.0897
254.93,12.824,-25.124,8.9928,10.344,13.978,6.1068
255.79,-3.8635,-17.293,-0.62909,23.763,-4.1489,0.11319
256.66,9.5083,0.33132,-15.724,35.827,16.483,6.5896
257.52,8.8994,4.8591,3.8187,5.0351,15.303,1.536
258.38,2.6196,6.8907,13.819,-11.032,-3.6786,-1.9974
259.24,4.7984,14.706,6.0766,3.8961,-15.173,1.5295
260.1,9.8356,13.306,10.852,14.798,-5.8406,-0.013475
260.96,5.7807,-19.321,1.7058,32.474,23.228,-9.0861
261.82,-16.757,3.5964,-3.3928,-20.635,20.903,-34.228
262.68,-5.7275,-2.1324,5.4162,5.6284,-0.24568,-15.18
263.54,-2.1118,5.4526,2.7129,-0.10427,-5.3495,13.159
264.4,2.3899,-7.4285,7.5571,-0.8435,2.6113,14.679
265.26,9.6174,-16.176,24.009,-1.1595,11.626,2.2222
266.12,12.61,-8.089,18.608,4.2777,15.605,-2.2427
266.98,8.858,0.97184,-15.537,21.428,12.917,2.6452
267.85,11.11,12.957,13.555,0.89094,-3.0597,0.48626
268.71,-3.5241,19.307,2.3735,-6.7535,-14.985,11.211
269.57,-8.3253,23.202,10.087,19.284,6.7606,-8.4408
270.43,-0.61429,17.171,0.92647,17.564,10.516,11.732
271.29,-1.3117,-11.985,-6.5797,5.3059,-12.121,23.718
272.15,-4.0382,-14.746,-3.9917,0.51866,-10.459,26.61
273.01,-4.8744,3.2471,1.7299,-6.168,13.5,25.796
273.87,-9.6108,1.1344,2.9647,-21.565,7.8954,16.076
274.73,-14.338,12.176,7.4222,-5.4016,-27.634,3.6417
