wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.28,2487.8,1806.1,1480.2,1493.4,1603.7,1898.8
210.13,2522.6,1843.6,1559.3,1558,1570.2,1896.8
210.99,2516.6,1904,1545.5,1530.4,1628,1905.5
211.85,2591.3,1927.6,1534.1,1572.2,1646.6,1875.2
212.71,2616.5,1931.6,1548.5,1594.1,1681.6,1915.6
213.57,2639,2027.6,1572.4,1603.7,1680.8,1971.2
214.42,2663.3,2119.4,1604,1623.6,1648.4,1980.7
215.28,2630.6,2019.9,1648.8,1652.5,1678.5,1983.7
216.14,2712.3,2062.6,1640.1,1734.3,1764.4,2070.1
217,2791.3,2134.9,1719.3,1703.6,1770,2114.1
217.86,2783.3,2021.7,1736.5,1779.6,1830.7,2065
218.71,2753.8,2194.1,1724,1739.9,1832.7,2061.1
219.57,2800.9,2176.2,1723.7,1732.7,1796.8,2075
220.43,2859.4,2087.3,1756.8,1794.5,1774.8,2098.2
221.29,2871.3,2200.9,1820.9,1844.4,1790,2142.2
222.15,2948.2,2236.7,1892.7,1839.5,1821.4,2183.1
223.01,3055.3,2271.8,1906,1840,1865.2,2146.4
223.86,3105.2,2378.8,1913.4,1884,1944.9,2197.6
224.72,3153.1,2335.9,1957.5,1902.8,1905.2,2277.6
225.58,3196.5,2339.2,2020.3,1905.7,1909.8,2305.8
226.44,3242.8,2384.7,2037.1,1937,1987.5,2318
227.3,3305.8,2458.5,2016.9,1992.8,2060.2,2332.3
228.15,3369,2557,2027.2,2043.7,2061.1,2338.4
229.01,3357.4,2572.7,2070.1,2116.4,2060.7,2385.3
229.87,3352.3,2649.5,2046.9,2086.4,2154.1,2447.7
230.73,3493.4,2602.4,2181,2101,2164.9,2493.4
231.59,3545.3,2633.2,2250.9,2139.6,2195,2514.9
232.44,3596.4,2691.8,2296.5,2187.1,2251.8,2582.4
233.3,3691.3,2788.8,2342,2238.4,2303,2666.9
234.16,3798.2,2920.8,2382.7,2294.8,2321.1,2708.3
235.02,3863.6,3020.2,2419.1,2350.6,2319.5,2698.7
235.88,3895,3057.4,2486.7,2375.1,2362.9,2699.4
236.74,3972.6,3020.2,2478.3,2426.1,2341.4,2754.1
237.59,4095.7,3002.7,2565.4,2424,2381.4,2817.8
238.45,4146.9,3047.3,2579.3,2433.5,2478.3,2784.7
239.31,4143.4,3039,2564.5,2468.6,2510.5,2790
240.17,4095.6,3076.5,2538.2,2509.6,2516.9,2853.5
241.03,4056.9,3162.3,2523.7,2512.2,2540.3,2887.6
241.88,4123.1,3036.2,2583.2,2444.3,2493.2,2832.3
242.74,4137.1,3000.7,2585.2,2390.8,2506.5,2731.1
243.6,4100.5,3008.1,2559.8,2453.1,2471,2777.3
244.46,4066.1,3053.5,2534.6,2417.9,2461.7,2810.6
245.32,4012.3,3082.6,2497,2389.4,2455.2,2736.1
246.18,3964.3,2980.3,2468.9,2337.8,2408.8,2653
247.03,3912.7,2863,2426.8,2252.6,2321.4,2588.4
247.89,3833.1,2830.4,2363,2183.4,2229.7,2500.6
248.75,3736.3,2671.5,2350.1,2178.5,2166.4,2407.8
249.61,3588.1,2629.9,2291.9,2143.2,2133.5,2323
250.47,3505.2,2510.4,2180.1,1993.1,2024.4,2313.5
251.32,3412.2,2489.9,2071,1932.8,1959,2242.5
252.18,3216.5,2420.4,1949.7,1885.8,1921.3,2177.1
253.04,3064.9,2282.6,1853.6,1792.3,1871.3,2069.8
253.9,2990,2145.9,1784.7,1685.1,1809.6,1913.7
254.76,2894.4,2057.9,1691.8,1614.4,1735.1,1802.5
255.61,2781,1960.7,1546.1,1531.9,1594.5,1832.3
256.47,2714.7,1833.5,1563,1495.7,1596.5,1712.4
257.33,2535.5,1835.6,1433.1,1433.1,1434.5,1587.6
258.19,2390,1781.3,1334.3,1395.5,1387.7,1550.3
259.05,2289.5,1644.9,1340.4,1289.5,1327.6,1487.7
259.91,2189.5,1573.4,1331.9,1212.3,1303.8,1396
260.76,2091.8,1532.5,1252.1,1155.7,1283.5,1333.2
261.62,2043.2,1385,1160.5,1056.6,1177.3,1306.2
262.48,2032.9,1265.6,1084.6,1075.2,1100.4,1207.5
263.34,1823.2,1259.7,1018.5,1041.6,1071.9,1112.8
264.2,1799.3,1267.7,1030.9,1035.8,972.14,1143.4
265.05,1687.4,1250.4,980,934.81,927.76,1102
265.91,1564.7,1148.8,913.45,897.15,921.94,1097.1
266.77,1433.2,1049.5,869.85,830.46,889.31,1048.1
267.63,1353.4,1009.4,836.84,759.69,825.73,938.01
268.49,1360.1,982.15,784.72,783.81,794.62,874.95
269.35,1263.9,903.92,732.5,718.4,824.41,899.57
270.2,1267.5,890.17,710.91,751.26,740.73,867.83
271.06,1178.3,812.31,681.08,697.89,603.5,832.77
271.92,1167.3,756.76,662.58,622.81,614.82,806.58
272.78,1122.3,753.22,624.75,619.79,649.58,740.27
273.64,1047,752.04,577.31,614.81,611.88,714.91
274.5,964.69,717.99,544.1,577.88,552.93,713.21
275.35,895.98,651.55,521.56,540.37,551.02,660.62
276.21,907.1,554.05,466.06,462.24,513.81,636.86
277.07,914.23,532.36,404.95,458.33,460.61,543.66
277.93,774.95,526.51,403.81,441.12,471.53,552.05
278.79,772.31,566.85,386,424.6,468.14,560.18
279.64,747.16,527.14,388.1,361.53,434.77,474.36
280.5,734.54,478.88,389.91,336.32,425.64,421.77
281.36,711.35,435.76,330.84,325.23,404,434.16
282.22,643.67,387.42,244.96,253.13,327.44,423.32
283.08,656.81,440.54,306.83,203.39,307.41,379.31
283.94,596.36,372.31,297.46,267.95,329.67,415.95
284.79,648.18,375.52,258.32,183.66,338.31,404.95
285.65,529.46,322.01,202.91,196.59,318.83,380.77
286.51,479.39,344.97,198.37,211.02,237.23,368.75
287.37,469.68,334.81,202.94,222.59,227.39,340.45
288.23,434.92,267.52,210.93,195.69,258.44,286.8
289.08,376.18,212.44,233.6,139.98,232.8,249.1
289.94,331.83,187.8,226.54,164.27,210.61,267.37
290.8,306.46,195.06,155.65,149.81,263.63,207.38
291.66,366.97,175.16,127.7,175.66,197.48,269.2
