wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.62,8.73,1.8523,-0.48289,10.539,-25.8,-2.5512
209.48,40.193,-9.9285,-15.138,-23.737,-0.23492,-25.496
210.34,-10.725,3.5706,-13.482,-0.082585,22.06,-12.551
211.2,-12.883,10.46,-16.267,-8.9886,18.906,10.834
212.06,1.7296,8.5492,-6.2211,-8.4045,-12.007,6.7297
212.92,5.0617,1.1486,-1.7244,-5.0899,-17.74,-5.7234
213.78,-8.5061,-0.33208,-6.0562,-3.6147,5.6674,-14.445
214.64,-17.274,10.067,6.124,10.112,5.2759,-23.326
215.5,27.459,2.3856,36.887,12.209,-2.5446,19.846
216.36,11.232,-13.756,10.942,-21.211,6.5561,1.2205
217.22,7.126,-23.079,13.012,-0.89966,0.52802,-1.502
218.08,10.411,-19.533,-8.3448,11.044,-14.609,12.489
218.94,-8.3133,-5.9381,-9.7471,15.191,-5.2338,20.214
219.8,-24.737,7.7864,4.4553,20.03,5.5127,17.874
220.66,-16.699,9.7005,5.9528,20.693,-4.7688,14.479
221.52,-16.481,-2.3854,2.626,4.1787,0.38193,10.069
222.38,16.829,10.129,6.225,-2.3424,1.6951,-12.047
223.24,-1.8286,-10.037,14.01,-21.421,17.251,-8.1577
224.1,5.146,-1.7316,1.4624,1.4338,10.02,6.5861
224.96,5.2134,22.054,-7.1389,5.211,3.762,19.585
225.82,-5.0358,26.571,-3.7634,-9.219,-1.483,15.808
226.69,-11.091,7.408,6.8192,-19.776,-5.3848,-1.2938
227.55,-4.403,-9.9137,9.8391,-4.8306,-4.6636,-11.562
228.41,-0.19006,-12.715,-13.524,49.708,-7.5194,-1.8453
229.27,-2.5021,-23.685,-11.609,-10.76,18.178,-10.895
230.13,24.592,-10.804,18.124,12.206,-15.701,7.8785
230.99,17.931,16.287,32.555,1.9266,-0.76758,16.006
231.85,21.348,24.121,25.424,0.80139,4.3197,17.357
232.71,7.8409,7.7856,11.062,8.601,3.1406,7.7108
233.57,-10.259,-9.2473,12.908,4.4758,11.865,-1.8824
234.43,28.308,-2.0481,35.132,-10.104,13.793,7.3267
235.29,22.872,12.583,19.805,-8.2486,5.8755,-4.6923
236.15,-12.497,-0.12305,9.5851,20.113,13.341,8.0498
237.01,-2.3488,7.6531,3.1734,1.4701,20.81,-8.7772
237.87,8.2759,12.182,34.479,18.024,6.242,9.0359
238.73,1.9574,18.803,30.451,20.214,-1.7536,7.2587
239.59,-0.94444,13.117,3.9194,6.1407,-4.5873,-11.879
