wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.84,-18.952,-11.933,-18.392,-16.162,-5.1363,-17.14
210.69,-18.764,-8.2266,-30.953,-12.298,-28.215,-1.01
211.55,-24.285,-4.5299,-4.3629,-33.733,-20.304,-13.43
212.41,-4.2259,-7.6529,-3.9824,-12.368,7.3078,-21.49
213.27,-10.715,-17.575,1.8593,6.1479,-1.5496,-15.789
214.13,-15.633,-19.477,2.3528,6.0458,-12.036,-1.4366
214.99,-7.2382,-7.4069,9.1987,-4.8237,-11.83,10.137
215.85,-10.4,2.8851,39.137,-8.9601,-33.191,9.6541
216.71,18.393,-15.91,-14.371,17.197,-29.34,-3.2261
217.56,10.802,1.6883,-4.3747,-2.3408,10.036,2.5275
218.42,-2.0929,-29.919,-12.535,-4.4736,-8.113,-9.1347
219.28,6.1299,-17.441,-21.489,15.339,4.7252,0.42789
220.14,0.63102,2.1043,-15.868,3.6689,6.6915,7.8559
221,0.03143,9.037,-3.7407,-12.574,2.2272,12.12
221.86,17.792,10.999,1.2048,3.5699,12.114,21.91
222.72,4.9233,9.8214,3.3893,10.913,10.592,25.758
223.58,11.276,4.0455,18.684,4.4241,14.473,28.082
224.44,2.5716,5.8223,29.77,-23.835,11.658,6.9547
225.29,1.7896,-0.5973,16.698,-12.614,19.918,-3.735
226.15,9.3111,-10.102,19.44,2.1179,11.193,-0.86665
227.01,4.9064,-4.1216,18.766,-3.9189,7.6941,7.5701
227.87,-8.8341,8.2958,11.806,-6.3834,15.452,7.8256
228.73,-7.2299,10.201,17.422,18.685,11.027,-6.5099
229.59,15.049,27.965,20.534,11.468,-14.551,-18.106
230.45,-12.416,5.7681,-4.0777,-7.9941,12.089,21.706
231.31,-4.8947,9.0222,-0.08295,9.9092,22.856,40.879
232.16,-4.0072,8.0677,6.6587,7.459,-0.42822,36.151
233.02,-2.4426,8.8254,2.7275,2.4358,-10.274,16.643
233.88,5.5398,10.346,-1.4263,2.4703,1.1575,-4.2738
234.74,20.681,14.7,1.6174,10.643,3.7981,2.9999
235.6,32.56,24.658,5.989,25.035,-20.013,43.465
236.46,2.4994,12.42,19.509,8.2954,-1.0742,-6.9197
237.32,11.738,11.297,19.396,-10.174,18.773,-0.082592
238.18,-12.362,10.189,19.302,5.5063,-8.3791,27.236
239.04,0.76815,22.965,9.7859,3.6171,14.148,14.177
239.89,14.08,14.037,-4.8524,12.099,26.896,5.9993
240.75,15.193,10.824,-4.9332,26.472,16.324,17.104
241.61,18.028,28.645,9.6133,25.256,8.9435,27.591
