wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.2,-11.802,5.6566,-18.494,-8.0491,-13.225,-4.6772
209.06,2.6145,-5.5105,-11.051,22.605,-19.831,-0.74574
209.92,4.8016,10.232,-3.5979,2.6782,-27.258,-11.504
210.78,-8.1211,16.745,13.406,14.412,-14.254,8.2273
211.65,8.6464,20.858,4.3804,7.476,4.2914,6.1791
212.51,8.8044,12.74,-2.724,-2.2601,7.3684,0.061325
213.37,-10.257,-3.4182,8.5028,-2.7463,-0.18208,0.053907
214.23,9.1714,-8.2276,14.531,-10.493,4.0306,-14.383
215.09,21.791,-11.148,9.7108,-3.3898,6.337,-17.11
215.95,-36.66,3.6891,-0.17795,-2.2073,17.958,-8.8456
216.81,-20.16,16.255,13.395,-11.625,8.3835,-11.921
217.68,-6.4495,6.6083,-8.3612,-23.234,12.605,-2.9042
218.54,-2.038,-2.6606,-15.046,-11.362,5.5912,1.0841
219.4,0.83502,-4.8222,-7.2198,4.3391,-4.3761,-9.3151
220.26,9.6702,-6.477,-1.7826,-0.61893,-5.2173,-16.561
221.12,26.738,-4.9552,22.956,-6.6259,-13.962,7.1765
221.98,23.819,21.193,0.0055031,-1.1015,34.24,9.3987
222.84,5.8337,-2.933,-6.1535,-16.505,22.928,-1.7837
223.71,25.452,18.407,0.30901,-10.086,-2.6054,4.2198
224.57,45.205,26.423,-2.5669,4.4261,-6.6812,14.86
225.43,36.033,11.423,-11.151,8.3623,7.3512,12.868
226.29,18.405,-9.6408,-1.3435,14.103,23.432,9.6329
227.15,17.942,-18.891,22.506,35.56,28.253,22.487
228.01,-11.255,-10.546,-13.211,29.062,14.293,21.669
228.88,21.544,5.1418,33.464,24.181,6.0424,0.44967
229.74,16.998,-11.746,20.542,5.8072,7.3324,16.59
230.6,9.5778,-24.42,13.913,-8.5092,-5.0673,21.009
231.46,2.3635,11.629,8.3182,7.1226,7.3935,13.758
232.32,10.535,33.602,-9.0826,26.823,29.855,4.9857
233.18,15.462,3.2498,-19.099,20.222,24.077,4.163
234.04,-17.355,-22.069,5.6481,1.7015,-10.87,9.0695
234.91,-12.998,3.4474,-0.70975,34.96,6.5944,-7.075
235.77,4.1946,-0.92199,-5.3526,11.87,0.15958,10.959
236.63,4.702,-5.3065,27.16,16.83,-9.294,26.732
237.49,-2.2958,11.084,21.138,11.501,-5.3363,25.803
238.35,-0.69885,14.401,4.2123,4.1326,0.43299,1.5716
239.21,1.2327,21.533,-3.787,-0.25427,7.7241,-15.522
240.07,5.6288,28.011,-0.41955,5.86,12.227,-0.048263
240.94,37.059,-20.285,13.515,29.985,-1.0173,23.492
241.8,35.994,20.585,6.3068,3.492,9.1804,-2.83
242.66,-25.127,3.171,23.106,-16.16,9.1006,-4.3058
243.52,5.4662,-3.5261,22.063,-9.422,20.553,-0.25516
244.38,13.793,-19.987,0.018245,4.2476,19.838,-7.8483
245.24,15.394,-7.2505,-10.889,11.158,21.195,-11.155
246.11,8.1996,10.303,-4.1382,8.9403,16.904,-13.366
246.97,-12.201,0.014017,3.2907,4.9336,-3.1157,-17.201
247.83,8.8013,17.833,1.8779,5.8981,-9.2439,5.0502
248.69,9.5073,46.561,-24.486,-11.836,8.0488,10.138
249.55,-14.923,20.817,-0.57209,-8.6196,25.352,27.793
250.41,-0.59149,8.4415,25.441,-0.25207,16.376,15.425
251.27,-2.8569,-12.034,15.874,5.5863,17.749,8.9238
252.14,0.86024,-19.591,-0.38323,6.5157,20.382,10.16
253,7.4896,-7.0988,6.5495,4.206,5.9039,6.7339
253.86,-0.12883,13.333,21.433,1.1571,-13.936,-1.6152
254.72,17.435,39.056,-5.1135,-2.2411,4.5818,4.3726
255.58,-16.78,15.399,11.371,-2.4387,-10.353,-7.9527
256.44,-12.254,18.933,15.506,-2.6259,-13.752,15.989
257.3,-13.086,11.539,27.293,11.847,1.6949,7.2263
258.17,-18.148,-2.4641,19.461,4.8606,-4.0123,-1.7597
259.03,-19.498,-3.5457,5.0691,0.21406,-6.7944,-2.6397
259.89,-10.696,5.9643,0.84863,3.8174,-0.47145,-10.344
260.75,4.4067,7.4459,5.8589,-1.4596,-5.5839,-23.093
261.61,7.5222,1.4193,9.0797,0.89267,-8.1219,5.8327
262.47,-2.2293,-12.636,-0.55911,-18.456,11.064,5.784
263.33,-2.1574,-16.049,2.9021,7.2044,-0.025583,-18.82
264.2,6.2183,2.0695,-10.757,2.6834,12.468,12.462
265.06,5.7883,9.1299,12.383,8.231,19.166,9.3192
265.92,5.3131,3.7726,20.183,5.2471,12.477,9.7115
266.78,4.7029,6.7676,13.031,-4.6686,-4.5189,22.199
267.64,0.30821,18.875,30.278,5.2736,-18.263,10.902
268.5,16.179,-5.0648,3.2028,14.693,2.1055,19.209
269.36,14.326,18.508,6.7548,2.3905,15.205,2.5716
270.23,15.769,-13.757,7.0236,-8.2856,-8.6537,2.348
271.09,4.1881,-2.99,0.10864,-2.1052,-2.8718,9.4881
271.95,1.8232,0.24971,4.0191,-4.8188,-6.6495,15.962
272.81,6.5842,1.2919,1.5644,-5.4966,-4.0869,-0.37226
273.67,7.5308,-3.0335,-10.316,-1.8791,8.8556,-14.354
274.53,2.7529,-21.066,-14.424,-5.8065,6.4178,3.1158
275.39,2.7702,-11.226,-9.3186,-10.149,-17.181,-3.3435
276.26,3.5923,1.0163,-6.6113,-4.8966,4.7202,-12.982
277.12,-1.4011,7.4324,10.238,-5.4696,-10,-0.15143
277.98,3.2096,3.6223,25.028,-7.7679,8.0281,1.1191
278.84,-10.326,12.696,11.019,0.72842,5.0149,4.6487
279.7,-10.878,12.194,-11.409,11.06,-6.07,-1.2629
280.56,1.7625,4.227,-12.187,13.666,2.9332,-10.096
281.42,1.086,7.0842,5.5039,9.0765,18.164,2.3185
282.29,-0.88792,8.3559,2.1941,4.4923,-11.077,34.021
283.15,24.541,34.692,21.593,5.3926,1.1789,1.5402
284.01,5.7311,12.543,31.63,5.4472,-12.098,-19.053
284.87,-0.63637,-17.712,28.245,-1.0841,-8.7082,-2.1006
285.73,2.4977,-5.6234,9.4273,0.75823,-10.231,4.2687
286.59,-6.417,8.5493,0.91642,-0.33609,-8.278,4.9141
287.45,-7.9107,9.286,-1.8881,-1.5074,2.4723,8.6057
288.32,7.5763,5.0565,-9.6969,5.0738,10.36,7.1129
289.18,-0.86621,-12.749,-2.1806,11.107,2.9541,-9.0343
290.04,21.082,-15.352,13.691,21.693,16.076,-4.6865
