wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.66,-16.561,-2.7595,-15.605,-25.266,-17.969,-9.1366
209.52,11.039,7.5387,-20.07,-6.4866,-6.94,-0.43911
210.38,4.3797,12.937,-3.3255,-4.8425,-4.0705,12.338
211.24,-16.04,-1.085,-5.0503,-16.557,-4.4407,-7.3938
212.1,-13.179,-8.177,-2.2243,-28.298,-3.3401,-10.676
212.96,-6.3882,-20.419,-4.5469,-11.362,-0.1384,-14.848
213.82,-4.0165,-25.972,-9.9877,15.184,-1.4553,-25.919
214.68,8.5564,3.2548,2.4939,4.2765,-13.22,-15.83
215.54,-3.9591,6.5719,16.378,0.43309,-21.315,0.070797
216.4,8.9271,-25.631,0.63624,-6.7755,2.7463,-8.5666
217.26,-16.034,-23.782,1.5582,7.9614,-1.1906,9.2887
218.12,-17.163,-5.0526,13.055,1.5349,-5.4733,5.3876
218.98,-1.9295,-2.9608,3.0059,10.845,-14.225,-14.389
219.84,5.098,6.2439,-10.168,21.134,-10.789,-18.351
220.7,-5.9703,34.892,-3.4254,9.3513,10.391,0.243
221.56,-17.154,28.345,-2.4773,4.8277,13.082,3.8138
222.42,0.12802,25.644,-6.9027,-12.788,-8.8454,14.312
223.29,6.5161,11.229,-2.9511,1.4603,19.522,13.92
224.15,-10.119,-3.6294,-3.6221,3.4776,7.3617,11.027
225.01,1.5042,-2.9101,6.1049,3.5663,2.1822,7.6437
225.87,9.1458,10.628,12.781,4.707,14.435,6.9519
226.73,-2.1431,16.854,13.206,13.52,22.549,0.61163
227.59,-7.5218,6.8304,14.19,29.196,9.2573,-13.287
228.45,2.8105,13.697,4.0047,22.546,-0.31111,-1.7325
229.31,12.345,6.7134,10.95,9.3592,4.8147,11.475
230.17,10.771,9.2709,10.755,-11.754,15.525,3.2458
231.03,2.8416,12.749,43.1,-5.6948,-1.7992,12.261
231.89,16.786,12.499,29.656,7.4146,11.582,18.171
232.75,24.884,4.6499,13.723,6.976,19.899,16.766
233.61,11.168,-3.7382,20.09,5.3529,2.0222,8.2666
234.47,7.207,-1.6755,-2.3232,26.305,2.6117,-5.5072
235.33,30.062,-6.4419,-2.516,17.264,5.9577,10.455
236.19,16.202,10.172,-16.389,-8.8742,1.6373,29.022
237.05,13.729,11.627,-16.602,1.4019,9.4597,11.216
237.91,12.342,5.8028,17.964,0.11159,-1.0361,-1.9344
238.77,5.7214,6.5786,29.541,-4.181,-0.71601,-4.1789
239.63,0.98681,-3.4856,16.697,3.8204,9.2288,11.073
240.49,7.6682,-22.82,9.7633,16.032,15.656,29.38
241.35,21.975,-6.2051,9.6698,7.1681,24.809,16.773
242.21,20.428,15.699,-3.2538,8.1518,18.859,27.612
243.07,0.015579,30.772,-5.8876,10.011,30.085,11.877
243.93,7.778,24.575,3.3282,17.742,25.537,8.8667
244.79,10.255,-0.1738,8.8034,10.372,16.075,0.60162
245.65,6.9452,6.0463,7.328,7.5807,19.579,-0.25883
246.51,14.269,17.065,1.9317,7.1362,16.617,7.3649
247.38,28.685,6.6315,-4.2058,1.4863,-4.7044,13.073
248.24,16.073,42.286,-9.3349,12.041,0.79063,13.033
249.1,34.692,-13.362,-0.3957,-0.80153,6.2942,-13.523
249.96,17.301,-1.9733,12.732,-2.7385,-0.75741,-13.247
250.82,21.869,0.83203,9.6966,2.8981,15.132,-9.0099
251.68,10.784,-3.0364,2.9492,-12.002,3.7088,-4.6916
252.54,4.8072,12.531,6.699,-9.1302,0.28331,8.4773
253.4,-1.8244,25.604,7.1855,0.88386,3.7841,18.127
254.26,-25.011,7.9424,-3.7816,-12.098,-13.252,6.1761
255.12,-20.815,8.2855,14.597,2.1768,-13.521,-9.6249
255.98,-3.8773,0.66288,3.5008,6.897,6.9186,4.0631
256.84,-14.128,16.134,5.5992,15.75,10.883,-2.0203
257.7,-5.0775,-8.192,15.462,1.8346,1.3102,3.9744
258.56,-17.637,-10.296,3.6373,9.0043,-0.56174,9.8967
259.42,-14.028,-4.5576,-8.0646,9.3946,-5.173,9.0962
260.28,10.641,-8.4385,-11.635,0.60003,-9.8853,-0.24766
261.14,11.729,-15.969,-13.085,8.881,0.6067,-11.362
262,-17.965,-30.169,13.066,10.496,13.986,-4.9885
262.86,-10.631,-19.419,4.5962,5.6848,5.6385,7.0134
263.72,16.34,-3.769,11.685,-5.6669,-2.7089,-6.3506
264.58,-8.7303,-2.329,-5.1473,14.438,-0.65852,-2.041
265.44,-11.374,4.9715,-16.552,10.473,2.4091,5.6516
266.3,-2.41,25.473,-3.3407,3.2539,-7.8708,4.4368
267.16,-1.5293,33.625,1.6972,9.8431,-16.822,1.849
268.02,1.9083,10.449,-23.328,11.767,-3.5899,7.0726
268.88,15.953,0.69368,2.8092,-1.2526,4.9328,1.352
269.74,26.774,-3.4198,14.432,1.8382,6.2028,2.8815
270.6,0.63208,10.538,0.6002,4.1092,0.076667,16.73
271.46,5.5064,2.6782,-7.9482,-4.134,-2.3552,4.2089
272.32,-8.5631,5.5499,-9,-14.491,11.18,5.3403
273.19,-14.697,10.913,2.4151,-21.859,19.558,-1.0563
274.05,-1.7946,8.6787,7.4661,-18.193,11.316,-9.3018
274.91,6.0532,3.8955,-6.8875,-5.4821,2.7862,4.4118
275.77,8.5066,0.25365,-1.405,-9.759,13.638,1.0057
276.63,-2.6144,1.4029,-13.494,-8.4568,-11.436,-25.557
277.49,29.53,-3.2671,-0.61922,26.938,-21.515,-17.162
278.35,13.68,-3.2966,-16.184,0.39453,-6.7217,-4.0713
279.21,-7.6756,3.7141,-19.493,-5.5712,-0.86031,12.032
280.07,1.9639,18.275,-6.2446,-9.5339,-3.6814,4.7325
280.93,13.618,17.215,10.817,-17.7,-6.3896,-11.227
281.79,-2.8633,-4.5249,13.461,-9.0155,-8.0472,-7.3565
282.65,2.4093,4.2637,-11.794,1.351,-11.693,-7.081
283.51,-8.7642,3.6507,-0.26271,-7.0823,-4.3885,-9.1643
284.37,-6.3343,14.106,-2.348,3.1865,-14.959,-14.662
285.23,9.6387,-9.3422,6.7806,4.5734,-6.4415,-7.8935
286.09,20.415,-10.083,0.69537,11.288,-3.003,-16.194
286.95,14.064,1.0115,5.6474,10.579,0.71888,-11.034
287.81,1.7949,0.76197,12.855,3.027,6.8762,7.4129
288.67,-2.552,-7.4224,7.2894,-4.8437,6.1881,17.296
289.53,-4.5275,-0.77218,9.8825,-14.565,-7.1195,17.028
290.39,-3.472,-9.3177,-33.114,12.927,-11.325,0.79336
291.25,-2.4261,-10.869,-18.288,-8.6624,-12.913,1.1965
292.11,5.41,18.552,1.9783,5.0866,-3.9346,-5.1609
292.97,19.426,20.707,8.5219,14.499,7.411,3.856
293.83,20.481,-2.5047,0.16517,1.4579,-4.1643,4.3052
294.69,5.4247,-14.364,-7.2828,-13.31,-10.909,0.065886
295.55,-13.173,6.6584,-2.5127,-11.557,2.0064,4.1909
296.41,-17.654,32.023,4.5086,-3.9014,2.9469,9.8182
297.27,8.2027,-1.0509,-8.1086,5.9863,15.164,10.819
298.13,-29.544,17.586,18.269,17.557,-1.4558,5.0243
298.99,-15.905,-18.345,6.6826,15.671,12.756,13.454
299.85,-5.8895,-6.7464,-3.1475,7.5561,2.9096,18.78
300.71,2.8419,-5.4773,-6.1311,4.589,6.5609,7.177
301.58,10.379,-1.7381,5.064,-4.8133,16.427,-5.4228
302.44,9.4231,12.841,17.617,-10.331,19.426,-10.145
303.3,-0.40708,11.1,10.643,4.1196,17.024,-13.712
304.16,-0.88127,5.3985,2.0045,-5.0997,-2.7681,-6.8233
305.02,3.4904,-5.9637,5.4742,-9.4815,21.02,24.248
305.88,13.678,-6.477,3.0981,6.982,-2.7624,5.2415
306.74,8.4307,-18.592,1.1072,-4.7573,-10.593,-25.877
307.6,-1.6511,-9.0382,-12.664,-10.749,-13.531,-14.959
308.46,-14.708,0.19362,-18.254,-6.4922,-6.1588,-1.6888
309.32,-22.981,-4.9664,-10.725,-5.8059,1.0521,2.3155
310.18,-15.798,-6.0482,-0.86528,-9.3157,-0.90516,11.372
311.04,1.4379,16.478,9.0119,0.87439,5.3585,6.9231
311.9,-10.091,14.783,14.998,-7.0734,7.0372,-9.5357
312.76,-1.4555,27.107,2.5663,4.2581,4.3219,5.5695
313.62,-15.875,6.3883,-2.9712,7.9042,-9.1666,-6.9865
314.48,-7.049,-6.2219,-3.5803,-1.961,-2.7912,-0.8896
315.34,-10.047,-2.5043,-1.7389,-7.7293,5.8969,-3.2058
316.2,-3.7895,-5.6389,7.4483,-4.5926,6.9259,-5.1711
317.06,14.605,-17.382,12.777,1.6704,1.7805,-0.19744
317.92,6.6074,-13.225,3.2902,2.0629,-4.1302,-5.4397
318.78,4.1977,-7.4071,19.876,-12.664,-1.6254,-6.6196
319.64,19.786,-16.341,1.2311,13.555,0.86575,-0.44222
320.5,-8.5359,10.333,11.563,6.645,-9.0828,-10.848
321.36,6.541,17.266,3.1465,-6.0237,-1.3431,-3.8412
322.22,8.2976,8.7479,-0.7054,0.10233,2.4958,7.008
323.08,1.1742,4.0089,6.25,12.332,-4.9,-1.6162
323.94,0.081059,11.949,10.126,11.944,-8.5896,-6.8634
324.8,0.75845,16.649,3.4818,0.16862,-3.3829,10.127
325.66,-7.2534,-1.5311,-0.89954,-4.3431,-7.4198,8.9324
326.52,-13.209,13.838,-13.71,-7.3163,12.235,-8.3368
327.38,14.756,5.696,11.753,-7.693,5.7813,6.5712
328.24,-9.6923,-11.817,-8.9373,0.5181,1.6708,26.925
329.1,1.6332,2.0394,-17.009,-6.1379,21.154,15.37
329.96,5.4603,11.734,-6.3172,-8.1427,8.1016,6.8586
330.82,1.0402,17.617,0.30915,-3.7091,-8.9109,15.391
331.68,9.5536,18.008,2.4649,-0.43565,-3.8424,23.312
332.54,18.471,1.0274,9.7829,-1.43,0.45616,10.998
333.41,-12.908,-8.8684,-7.8389,-6.4808,-1.8953,-9.0761
334.27,2.6363,-10.028,0.77941,-5.1775,9.2654,-1.3233
335.13,-17.077,-12.921,-0.067363,7.2933,9.2403,16.736
335.99,2.3993,-20.349,-9.3953,-9.7178,-9.7527,3.0516
336.85,2.3281,-4.6755,3.0544,-0.82244,-12.717,-17.304
337.71,-6.6397,-2.5466,4.8079,6.88,-4.6926,4.3783
338.57,-0.88785,-3.8112,-2.6401,-1.4239,-1.2863,22.227
339.43,8.4782,8.8749,-4.9534,-6.0757,-0.65775,0.91784
340.29,-2.6701,17.018,-4.7893,7.8372,6.2853,-9.2519
341.15,6.8105,23.716,13.787,4.9513,-6.763,7.8992
342.01,6.3876,30.4,11.716,6.1882,-10.74,9.3511
342.87,20.112,9.6097,-16.164,11.582,11.907,-14.178
343.73,27.555,-20.885,0.97818,7.9009,4.6558,-4.1295
344.59,8.5056,-18.749,-0.63407,-0.39358,0.90307,-13.718
345.45,1.0646,-11.917,1.1978,-0.94899,3.6859,-11.142
346.31,4.572,-18.719,5.0638,12.031,1.1975,-1.7437
347.17,-1.0114,-20.199,-1.2292,17.96,-4.8781,-6.1331
348.03,-3.9593,0.43361,5.9678,-5.4337,0.37928,-2.7467
348.89,-5.2038,-0.5313,14.032,5.335,3.0637,-5.6241
349.75,13.865,7.8006,-5.8518,-6.7646,-1.8787,14.343
350.61,-1.2984,-15.676,6.8532,0.68973,2.9501,14.752
351.47,5.8127,17.789,14,0.73493,7.2314,33.094
352.33,17.789,16.726,-0.55219,3.1022,3.4621,23.531
353.19,12.624,17.172,-8.6772,-0.28249,-1.7906,7.8234
354.05,4.8819,21.878,-5.077,-2.2119,-9.0329,0.75338
354.91,6.6994,5.8081,-1.0578,5.0569,-15.663,-4.3041
355.77,-0.97541,4.019,9.6891,6.211,-5.8788,1.252
356.63,25.625,0.39424,8.9335,11.372,6.5618,27.363
357.49,-10.402,-12.686,-0.41779,3.6615,10.43,3.7181
358.35,6.1175,8.1695,1.5397,3.2276,-8.3323,-15.064
359.21,17.425,11.498,-8.6274,4.2099,5.4704,4.2342
360.07,11.187,-14.971,1.5695,-8.687,11.301,6.948
360.93,-0.72609,-15.86,-0.52897,-12.7,16.581,-4.2872
361.79,-9.1681,-1.8444,-13.971,-2.2829,9.6554,-6.0723
362.65,-11.194,-10.294,-10.697,4.101,-9.9363,0.21386
363.51,-5.5452,-9.64,-3.6375,-1.9697,5.4638,-5.2117
364.37,-9.0933,-10.688,-3.3081,-12.238,-1.5083,0.8433
365.23,1.0756,2.8425,-2.993,4.9333,12.097,-5.116
366.09,2.3061,19.619,-13.246,-2.2559,-18.96,-3.7774
366.95,-12.075,24.76,-13.295,-4.7716,-11.494,-19.299
367.81,-13.241,16.647,-18.043,-7.1845,2.0968,-11.112
368.67,-8.6628,1.0544,-16.567,0.097358,-4.3303,-4.5194
369.54,-14.726,-2.4618,-7.2648,10.791,-13.203,1.9773
370.4,-18.812,13.984,-2.9509,10.029,-7.071,16.631
371.26,5.7504,21.856,-6.6872,3.6917,-4.2822,6.9256
372.12,13.559,-11.91,-3.5769,11.997,5.4212,1.2085
372.98,11.191,4.2725,3.7578,4.2123,-7.7425,1.4131
373.84,14.606,10.539,0.34463,5.5124,7.1772,16.484
374.7,7.7053,-0.4684,19.032,-0.36656,0.63052,5.4632
375.56,-3.6351,-3.9173,18.329,2.1822,-5.573,6.0864
376.42,-6.3323,-1.4957,15.525,4.5354,11.042,-0.31024
377.28,-1.5993,4.8389,12.326,4.9279,21.009,-6.3235
378.14,8.5018,13.123,0.24889,-0.67071,8.9703,4.7957
379,23.884,9.4804,-5.9074,-21.395,6.3916,12.588
379.86,13.236,-15.996,1.6768,-27.16,-11.921,-2.7591
380.72,0.10636,17.135,1.8289,-7.3401,6.0877,-11.507
381.58,-1.9802,-27.086,9.6283,-7.9245,7.094,6.9465
382.44,5.3759,7.2603,-1.4964,2.3576,-3.8726,3.7295
383.3,14.533,8.1119,1.2519,10.599,-6.3032,7.2911
384.16,2.0292,-4.5304,2.7627,9.1104,8.3186,9.1516
385.02,-12.39,-4.0185,6.8463,2.9905,18.228,8.315
385.88,-17.821,3.4298,20.056,1.879,12.721,6.5492
