wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.7,-2.5161,2.7193,-10.548,-11.081,-21.38,-29.97
209.56,-14.214,-11.528,-0.46284,-30.412,7.8496,2.7896
210.42,0.19027,-7.014,5.535,-4.0632,-11.855,-19.105
211.28,0.52869,2.7719,-10.558,-3.5182,-1.8599,-10.293
212.14,2.6825,-12.752,-21.561,6.3377,4.3312,7.2063
213,9.1637,-25.097,-18.69,3.8651,0.30314,13.508
213.86,9.6857,-18.813,-8.0191,-16.697,-9.4448,0.42116
214.71,-4.3697,-13.78,-2.2131,-18.124,-20.291,-20.263
215.57,-20.149,-3.8212,-15.686,14.08,-11.837,-3.6241
216.43,8.9206,2.7465,-0.38142,-8.7236,-3.3951,-8.9968
217.29,-0.61261,10.076,-1.7262,3.2906,3.546,6.8345
218.15,-6.4218,7.5172,4.5023,14.798,21.531,2.6356
219.01,1.7901,4.0419,10.181,10.28,18.699,6.7521
219.87,7.7172,10.792,2.3416,2.5292,6.9129,14.185
220.73,-2.8401,16.196,-9.719,5.3847,9.5416,8.1938
221.59,-13.877,-8.4129,5.1317,9.7071,10.626,2.9499
222.45,20.481,0.81542,16.162,15.577,-5.2274,-1.5166
223.31,10.409,15.068,12.948,-16.23,31.713,11.605
224.17,2.2247,10.44,26.893,-2.8011,21.877,4.9038
225.03,-6.878,-0.29829,22.999,4.0635,21.577,5.0314
225.89,-11.945,11.293,13.784,-1.4205,17.565,3.4374
226.75,6.2421,23.153,12.921,-0.19453,12.94,-2.813
227.61,43.094,5.6559,15.399,18.227,25.502,-1.4846
228.47,26.568,18.92,11.879,32.316,17.263,9.6976
229.33,-10.383,0.38175,10.822,12.165,4.9361,-6.0222
230.19,1.1383,4.8961,18.514,16.645,10.095,6.8691
231.05,4.6478,9.6174,1.8074,24.144,3.6424,7.1986
231.91,6.9307,6.2546,2.9375,13.163,4.8356,14.577
232.77,10.09,8.3188,6.0363,3.7928,4.1136,24.895
233.63,8.1875,14.042,1.3915,10.899,4.816,28.452
234.49,3.9508,6.1779,12.568,20.101,24.533,26.698
235.35,31.22,16.178,10.851,27.229,8.9584,16.213
