wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.34,11.696,-39.908,-8.5504,-36.492,-17.184,-28.714
208.21,-28.388,-21.926,-8.4464,-15.156,-21.845,-0.31668
209.07,-19.532,20.526,30.818,-11.759,-21.615,-7.7994
209.93,-13.747,14.679,8.362,8.2685,-12.885,-10.712
210.79,-4.6605,17.934,-20.433,7.7775,-12.933,-1.3128
211.65,6.4366,-0.52002,-8.5886,-1.8614,3.6699,10.347
212.51,8.9251,-25.112,15.527,0.34228,20.706,17.379
213.38,1.9856,5.1285,-4.1176,15.229,-8.9543,16.674
214.24,22.779,-3.5989,5.4389,31.059,-23.99,-14.129
215.1,-18.206,28.297,10.756,-0.48672,30.358,-19.53
215.96,-2.4074,-16.275,11.524,5.8214,30.973,-2.9674
216.82,6.0743,9.2667,12.894,-1.7162,9.9649,4.3181
217.68,10.96,21.422,10.293,-10.849,-7.4862,14.647
218.55,17.349,3.4914,-8.7265,-6.7979,-8.7694,31.34
219.41,20.243,-4.4652,-27.466,5.7183,6.596,43.688
220.27,12.761,1.7721,5.6737,5.7497,26.531,37.869
221.13,-10.897,24.194,45.774,-11.923,8.0149,-4.9043
221.99,-9.3816,5.5494,9.613,0.57907,26.39,15.206
222.85,26.988,9.4092,0.292,18.468,37.665,7.2516
223.72,38.881,25.723,2.4105,29.832,38.931,2.1214
224.58,8.9478,27.26,6.4182,14.214,23.178,-2.9245
225.44,-15.782,8.2911,-1.3451,9.0518,6.8258,-13.886
226.3,-0.080058,-1.2457,-15.57,50.266,8.3942,-12.094
227.16,-20.795,37.569,16.764,48.517,2.3331,39.682
228.02,28.662,-30.474,-2.2833,-2.1871,25.662,9.093
228.89,-1.3388,-5.5475,-9.4128,23.385,35.491,-12.762
229.75,-6.3376,-9.6607,-13.404,19.013,36.728,-26.443
230.61,-1.7947,-28.694,17.942,4.7351,22.895,-12.22
231.47,1.1998,-37.199,33.886,4.0121,-1.8417,6.3887
232.33,14.926,-23.554,6.9872,4.2329,-7.7813,11.512
233.19,42.393,1.9303,-6.164,-13.883,24.515,14.581
234.06,8.5514,3.5949,47.302,20.113,10.016,6.9967
234.92,-13.37,10.4,25.604,-23.648,-29.299,-28.802
235.78,-17.09,27.827,16.043,-20.389,-32.212,-1.6639
236.64,7.7191,27.305,-9.3628,-5.7292,-9.563,9.0407
237.5,19.378,14.796,3.0569,-3.3991,7.7972,8.3425
238.36,12.147,13.108,15.291,-6.229,22.978,1.3218
239.23,-0.99431,20.623,-11.29,-2.8091,32.769,-3.6512
240.09,-11.147,9.4988,-17.318,-3.1097,10.879,14.144
240.95,55.739,40.687,16.676,-15.501,40.368,28.907
241.81,-14.548,12.725,6.9631,17.557,39.015,5.089
242.67,-16.996,1.3143,-20.268,4.6449,24.007,1.0891
243.53,3.8227,-20.537,-8.0287,10.332,13.066,23.948
244.4,-0.911,-17.779,22.901,24.648,-1.0823,31.014
245.26,-4.0573,5.3084,40.962,13.952,-16.598,26.579
246.12,28.264,7.9438,46.642,-18.715,-24.372,33.331
246.98,39.182,-19.113,61.211,-13.704,-26.366,25.71
247.84,-3.743,6.8987,-14.742,27.965,-29.152,12.645
248.7,17.839,-4.7923,3.9733,25.23,-21.059,-3.7739
249.57,-11.903,1.854,1.0156,-5.6481,-2.5789,-20.319
250.43,6.1217,9.5274,-19.455,-5.1901,3.5786,10.979
251.29,13.322,10.898,-23.82,6.0333,2.4931,19.91
252.15,-5.0127,10.414,-9.1986,-1.3785,-7.8456,2.9226
253.01,0.33776,0.7372,2.7785,-23.146,-21.848,17.436
253.87,14.703,-40.854,6.9814,-27.12,-2.0336,42.738
254.74,-37.029,31.449,-34.22,-6.41,-27.633,13.079
255.6,-6.3563,-9.9929,11.114,17.583,-31.826,8.9667
256.46,-2.1608,6.6599,-7.4754,3.3992,18.287,1.4899
257.32,-16.752,14.497,-3.4591,2.9785,28.587,-9.5128
258.18,-30.401,-0.34167,10.983,-10.519,13.456,-11.913
259.04,-16.797,-12.937,21.222,-13.134,-6.1683,5.0179
259.9,14.281,1.4318,28.928,28.013,-36.234,26.059
260.77,-16.078,33.793,-4.6795,7.9228,-53.932,0.97767
261.63,-10.222,-32.002,10.799,-28.225,0.76932,-30.516
262.49,20.188,18.394,31.994,-4.6507,16.18,-30.115
263.35,13.453,7.4037,-1.2152,21.646,20.592,-11.6
264.21,6.2247,14.665,0.15109,-0.21578,18.836,-17.931
265.07,2.422,-4.1916,-13.877,-19.855,6.4925,-28.36
265.94,9.6656,-28.867,-30.491,-11.693,-6.398,-11.947
266.8,26.106,0.30904,1.5494,-2.2283,-0.69471,17.287
267.66,-2.6675,-13.574,-24.415,6.8584,18.403,-7.5481
268.52,-26.584,17.623,-12.536,3.8575,-19.655,-74.212
269.38,-9.454,-16.878,-16.271,-0.80091,26.033,0.31386
270.24,16.653,-9.029,-23.141,14.643,16.606,9.5708
271.11,7.1267,-12.709,10.114,0.31051,-12.965,-5.4611
271.97,8.4779,-6.3484,15.887,7.5004,-16.639,-5.6915
272.83,12.757,7.9735,-7.2637,20.373,9.5039,9.38
273.69,-5.9674,0.3367,-4.7462,-15.152,29.474,16.384
274.55,38.676,-4.9084,-12.67,-30.254,13.382,1.8401
275.41,14.686,-6.1617,10.525,-42.974,7.6577,-32.681
276.28,4.024,20.017,-0.42018,4.2082,0.27171,-5.6286
277.14,-15.162,22.888,1.6855,-10.576,-16.416,-13.553
278,2.7194,26.882,27.832,-18.598,-8.9355,-5.3934
278.86,3.0467,-3.1711,12.261,-3.9644,-5.0264,-6.0391
279.72,-20.2,-44.942,-22.087,4.6538,-5.8086,-18.239
280.58,-12.58,-37.401,-9.2829,0.55799,-3.7516,-19.734
281.45,32.905,7.6424,8.8749,28.569,-30.765,-19.711
282.31,-6.9336,-13.871,-21.513,-5.2723,34.602,20.231
283.17,-5.9662,-5.6107,-16.196,-25.495,45.539,29.552
284.03,35.657,-18.266,0.47603,23.921,21.208,-8.0362
284.89,27.717,-0.21628,-0.78501,18.977,11.849,6.8577
285.75,1.2528,3.4996,0.63152,7.6239,16.142,13.525
286.61,2.4646,14.772,2.0466,15.922,11.608,0.89562
287.48,17.742,38.653,2.0912,10.032,-1.983,2.1716
288.34,-7.7049,-6.5874,29.996,-20.055,6.5389,1.7735
289.2,-8.0868,60.591,32.073,35.71,21.904,-9.2578
290.06,40.606,16.5,4.3517,12.609,-25.828,-1.0115
290.92,-29.126,24.95,16.573,-6.9297,-30.688,24.643
291.78,-29.495,20.492,22.039,20.476,3.886,3.6579
292.65,-1.2589,29.836,8.4778,18.935,11.323,5.7727
293.51,23.342,21.801,-4.2989,-18.951,14.283,20.879
294.37,30.967,-1.6404,2.8589,-19.523,30.277,12.936
295.23,2.5069,21.57,19.711,49.559,17.205,1.5061
296.09,-12.238,-0.80742,10.949,15.486,34.697,-2.1513
296.95,-10.028,2.2571,17.461,22.968,14.042,27.274
297.81,23.816,10.863,4.1977,27.286,40.05,10.043
298.68,6.1759,25.471,7.5191,5.0784,37.761,9.7056
299.54,-21.98,41.739,28.275,10.036,34.953,18.482
300.4,-4.3105,28.648,32.174,15.729,11.277,20.802
301.26,26.594,-4.6327,12.977,-0.58389,-15.848,21.285
302.12,1.5926,-7.6348,9.1227,-12.253,-1.7338,17.962
