wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.54,-33.596,-12.321,-14.016,-5.3672,-19.579,-18.184
210.39,-25.357,-21.974,-13.2,8.3636,-10.08,-15.636
211.25,4.0934,-5.5171,-13.204,-29.295,-15.27,-18.809
212.11,4.8444,-12.699,-18.708,-8.0445,14.131,-7.3105
212.97,7.3768,7.9792,-11.941,-1.3833,9.6521,10.999
213.83,6.4311,6.3991,1.507,-5.2715,-1.8953,9.1496
214.69,-2.9621,-9.1291,7.8874,-6.7787,-3.2612,-12.057
215.55,-12.063,25.245,4.7807,-14.414,-18.045,-19.152
216.41,-31.74,-4.5184,11.667,3.8317,-8.2176,1.6468
217.27,10.367,28.341,17.708,27.12,13.443,22.419
218.13,12.347,5.9444,13.143,17.872,29.816,45.476
218.99,2.8435,-0.78886,28.933,15.117,0.38233,18.218
219.85,2.5255,0.24162,16.668,-1.0538,-9.4775,1.9252
220.71,9.7238,8.1161,-6.2622,-17.651,8.3866,15.368
221.57,15.889,17.425,-3.0975,-8.8539,24.595,23.598
222.43,23.032,3.1676,2.6621,12.117,33.928,-4.2864
223.29,27.883,13.515,-20.823,-25.367,14.795,-6.0343
224.15,-17.529,4.596,-21.654,10.055,-6.8225,3.9543
225.01,-16.043,8.3911,13,-2.6788,10.334,-1.8605
225.87,2.4219,22.78,16.4,5.1738,-0.47443,4.1513
226.73,15.345,6.6221,17.296,10.703,-13.949,9.6098
227.59,14.557,-18.793,26.508,0.97889,-14.399,-0.22482
228.44,2.8778,-5.6059,22.435,-4.488,-16.135,-17.633
229.3,-10.152,-0.677,20.518,-8.0374,-7.0962,-15.044
230.16,7.8271,14.063,-10.773,27.591,19.917,-0.19827
231.02,1.9655,-11.725,1.6403,2.0477,-17.435,-2.0355
231.88,13.783,3.8172,-5.7018,11.223,13.529,-5.4553
232.74,8.8105,-11.54,2.5402,9.9767,16.758,2.3527
233.6,-1.2931,-22.738,19.556,-0.040564,7.1126,0.2188
234.46,-3.7076,-0.25561,25.935,-0.22887,13.853,-5.4767
235.32,-6.8132,11.996,20.747,5.8618,6.7903,18.077
236.18,18.31,11.768,2.6316,7.7215,-9.097,15.669
237.04,4.142,2.1184,-11.243,15.58,4.9212,18.391
237.9,-0.91759,0.81834,-1.6065,-15.232,12.115,9.7525
238.76,3.5711,-14.983,-7.9906,5.5041,17.044,8.8734
239.62,-4.8223,-9.7755,-7.8457,17.189,14.479,12.123
240.48,-12.028,-12.51,3.0476,18.202,10.088,16.503
241.34,-0.056354,-25.336,8.3386,22.274,8.721,15.55
242.2,14.593,21.837,-3.2231,-3.4271,5.5677,4.5159
243.06,17.899,1.7383,-22.318,1.8691,15.247,34.289
243.92,-1.9481,-9.8016,-13.138,-15.978,4.3584,-8.8114
244.78,-4.6485,-6.6124,-3.5019,-18.15,17.951,-0.54585
245.64,-6.9429,-6.0039,9.7391,3.8839,-9.3769,-0.70521
