wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.77,2.2505,-23.141,-3.3416,-2.1691,-6.6675,12.955
209.63,0.69439,8.3271,-1.2571,18.767,-6.4939,-9.3167
210.49,8.1123,8.7999,-1.6205,-1.8976,14.074,3.4867
211.35,-2.3409,-9.7358,4.6901,-8.7869,-4.3594,-6.771
212.21,1.4848,-9.2282,2.9419,-11.807,-11.669,-8.9989
213.07,6.3753,0.32109,1.3398,-9.7063,-2.942,-2.242
213.93,-3.5166,2.6392,2.0288,-3.7661,5.6628,-2.4662
214.79,-15.739,1.6835,-5.581,-0.51731,6.3992,-16.746
215.65,-1.036,7.1651,-13.438,9.1514,5.4454,-25.318
216.51,4.3443,12.641,-2.6754,17.964,-5.6555,-5.9676
217.37,0.64117,-0.047863,-7.0519,3.3122,-0.10343,-3.2669
218.23,-14.407,13.996,-0.51096,-0.39939,-0.2394,8.8875
219.09,-5.6729,15.743,6.1906,-1.484,-6.0033,16.764
219.94,21.853,-1.9299,4.437,12.948,-2.402,14.643
220.8,33.629,-15.387,1.8875,37.387,8.7987,7.0422
221.66,14.745,-11.434,13.872,19.643,-1.6072,-1.0038
222.52,29.698,-5.9353,15.098,-8.8969,-6.6384,7.1052
223.38,-1.4302,9.6094,7.1116,12.854,-1.6109,6.8336
224.24,2.4683,4.3347,3.7262,7.4993,-13.88,9.0856
225.1,4.4373,6.8737,13.013,1.2508,-13.487,10.839
225.96,1.5807,14.07,24.138,-3.4009,-7.7234,8.8888
226.82,1.0395,22.413,19.792,2.0274,-2.0827,10.6
227.68,1.0489,29.832,1.7743,16.137,6.7053,15.449
228.54,-8.4472,15.676,7.1988,-10.365,8.9713,-8.6357
229.4,-6.5299,6.3977,-15.937,-19.764,16.142,5.6098
230.26,-14.148,-5.2648,-12.057,7.3932,10.604,13.502
231.12,5.2297,2.1193,-6.939,4.1351,3.8656,-5.1171
231.98,6.5374,4.2467,-1.6953,4.8232,7.2804,-3.4421
232.84,0.76422,-1.0859,0.24092,6.8937,8.9877,5.5176
