wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
199.15,-13.932,-9.6955,-18.2,18.226,2.8453,-14.509
200.01,-4.5065,-11.454,-15.38,-2.1665,0.75045,3.3417
200.88,16.339,4.7372,-15.02,-1.3492,2.7455,-0.83739
201.74,6.4948,-7.3111,-10.71,-15.592,11.811,-2.2962
202.6,-4.679,-5.269,6.2711,-1.7955,1.2554,-2.0947
203.46,-8.3923,4.8539,10.674,2.2709,-16.22,-0.74257
204.33,-5.9352,7.4678,0.98894,-14.493,-12.156,-7.9198
205.19,0.8526,4.2229,5.2865,-5.6569,10.598,-25.876
206.05,3.3712,-1.6806,11.607,28.969,-27.109,-4.4015
206.92,6.7308,0.037453,-15.059,9.4254,2.8936,21.275
207.78,17.662,-7.3328,-9.9317,13.342,-13.284,-0.73661
208.64,-4.0662,17.129,8.6197,-21.84,-14.331,-3.4655
209.51,-8.2827,22.342,14.256,-26.602,-4.408,-9.8213
210.37,-4.8579,9.0181,10.817,2.0266,9.9261,-6.7335
211.23,-11.642,1.7161,15.173,14.677,17.392,15.888
212.09,10.446,-8.8237,24.764,-1.4711,-2.9007,15.555
212.96,9.4762,-0.14143,5.8912,35.453,-16.311,15.227
213.82,8.5082,11.893,-2.8964,15.4,13.032,-8.5452
214.68,7.5525,18.4,6.3515,21.489,30.537,2.1485
215.55,16.969,12.089,8.1347,22.552,16.137,12.319
216.41,13.818,7.9496,13.433,21.778,13.42,17.215
217.27,3.8189,14.582,25.107,17.257,18.348,15.279
218.14,8.2316,15.666,26.805,2.009,-1.4803,6.319
219,0.055893,-21.389,8.5181,-2.3961,0.62611,11.146
219.86,-12.209,-14.423,-1.6349,11.961,13.357,27.4
220.72,-2.2325,-20.968,0.93561,6.461,-4.9078,6.3206
221.59,-2.7658,-2.8826,6.0493,-3.5773,13.752,5.6272
222.45,9.9012,-2.9576,-0.17434,-4.8241,19.646,-18.66
223.31,23.198,-7.3429,-12.176,-4.0798,10.164,-17.902
224.18,20.175,-0.79832,-10.186,-4.9546,0.045746,11.211
225.04,6.0012,-0.79379,13.156,-4.259,-9.0889,-3.2003
225.9,-12.843,-0.63919,12.688,-26.973,-1.9905,10.843
226.76,-12.06,7.2056,17.361,13.533,-17.969,-1.5877
227.63,-2.9374,-6.9492,-7.5466,16.139,-8.1656,8.746
228.49,-0.75721,-16.814,-16.085,-3.2748,5.4705,1.6843
229.35,-5.7291,-1.7274,-24.164,-20.959,11.109,-7.8429
230.22,-6.9632,4.3197,-25.505,-4.033,8.9497,-10.306
231.08,-1.4097,-3.802,-14.048,33.263,11.623,-8.7752
231.94,-0.23855,29.438,-8.9928,24.928,30.467,-6.0805
232.8,9.2301,0.71938,15.681,21.893,31.924,4.1579
233.67,-1.0136,10.573,-1.6374,16.278,0.78104,-8.7398
234.53,1.5501,-0.12071,11.003,-3.9866,-16.301,-19.104
235.39,16.301,-1.0819,15.763,13.848,-2.2425,6.0263
236.26,6.4494,10.81,12.902,20.652,13.596,13.161
237.12,-0.66526,16.155,8.1395,3.8152,11.634,-1.0308
237.98,19.667,10.313,3.4159,-6.4131,2.2022,-0.97757
238.84,-0.17472,22.364,0.29082,-3.1832,7.2791,8.5303
239.71,-16.88,3.198,-16.866,-13.226,-8.7154,3.9929
240.57,-9.2997,11.685,-5.5451,-14.881,-9.6419,19.57
241.43,-4.9737,-3.5547,-0.14633,8.6713,-12.061,7.5725
242.3,5.9679,2.3779,-9.2099,11.64,-16.732,17.089
243.16,3.3149,14.783,-3.6459,3.416,-4.4671,16.311
244.02,-6.2726,10.06,2.6258,1.7982,6.9051,5.6562
244.88,-1.1849,-7.7319,-8.5649,3.2466,-6.5458,10.035
245.75,2.6581,-7.6522,17.772,-9.2892,-6.9098,-0.41243
246.61,-6.2437,10.728,-11.653,6.8304,10.243,9.0523
247.47,2.9896,10.169,-7.2803,-4.2449,1.0223,-16.101
248.34,0.038072,-2.7003,0.49022,-5.7855,4.1785,-16.803
249.2,-7.4084,9.08,2.3288,-14.822,7.4113,-18.835
250.06,-4.2999,26.869,26.756,-1.1636,-5.0193,-10.356
250.92,3.7237,23.057,44.861,21.778,-5.3635,6.7729
251.79,3.9224,1.6521,14.335,10.975,25.348,15.672
252.65,10.546,-0.97544,2.6568,-7.9156,13.207,24.74
253.51,5.0955,-14.056,4.6576,13.418,16.361,-11.242
