wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.28,-62.015,-9.2912,-23.285,23.114,89.661,-29.24
210.13,3.0175,78.151,-22.874,-26.114,13.069,-24.404
210.99,-1.279,12.244,4.4464,-25.591,84.937,-4.067
211.85,27.636,13.187,-0.67215,1.9504,105.35,8.3703
212.71,53.502,51.3,3.7004,60.733,151.21,2.4491
213.57,72.591,77.583,14.255,89.455,151.74,9.4998
214.42,92.002,78.955,16.151,79.978,127.68,25.513
215.28,101.68,80.688,26.109,85.562,182.01,15.249
216.14,72.772,103.54,106.62,74.228,129.4,24.077
217,100.57,140.74,93.152,155.95,171.58,52.349
217.86,111.73,137.06,60.006,74.184,181.98,77.604
218.71,158.62,151.17,88.383,74.744,204.62,81.791
219.57,150.18,183.39,116.57,103.27,205.16,85.87
220.43,97.625,200.97,126.76,124.94,208.27,109.72
221.29,82.934,193.08,123.66,140.09,228.87,140.56
222.15,132.52,194.01,94.453,128.63,207.81,137
223.01,142.13,169.54,178.34,147.95,214.43,128.83
223.86,147.58,183.63,186.75,146.32,283.01,155.02
224.72,137.3,179.35,161.99,131.18,272.65,165.52
225.58,158.65,206.85,180.39,167.33,260.91,179.05
226.44,189.81,238.06,194.4,206.01,261.52,183.61
227.3,191,243.96,194.22,210.91,252.9,196.17
228.15,172.05,243.95,209.38,204.18,237.64,224.61
229.01,219.48,291.94,191.43,218.21,279.76,187.2
229.87,194.34,279.6,210.98,204.5,320.29,219.93
230.73,177.16,259.3,221.81,215.44,288.52,271.72
231.59,200.61,290.07,249.72,225.41,290.41,244.26
232.44,216.64,304.83,237.79,252.51,319.25,249.41
233.3,220.65,285.65,234.93,256.65,340.98,252.79
234.16,223.76,284.55,263.54,249.59,358.42,218.45
235.02,225.8,341.54,255.74,293.58,385.42,213.74
235.88,237.63,323.83,196.65,286.94,308.81,288.99
236.74,269.14,299.23,257.16,282.87,341.52,267.72
237.59,245.31,361.08,264.58,284.86,367.4,240.39
238.45,235.91,357.09,272.3,260.06,357.63,250.55
