wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.28,-23.351,4.1218,-13.869,11.758,-10.248,-24.997
209.14,-11.961,-3.7956,-6.0678,-27.286,-9.2616,-21.462
210,-7.0998,17.657,-7.2362,2.1904,7.2251,-21.198
210.87,-1.2682,-1.3807,-14.424,-13.884,18.542,-5.4222
211.73,4.9243,-16.998,-1.6216,-9.2973,3.4293,3.5946
212.59,13.218,-12.346,16.432,0.31951,-7.1329,9.1935
213.45,10.044,-1.9743,11.717,-9.2129,-6.3247,6.8053
214.31,-14.158,0.4176,-18.186,-18.994,-16.196,-15.06
215.18,-5.9278,29.63,-20.427,1.6965,7.5431,-21.29
216.04,13.295,17.373,24.704,-15.691,4.1932,-2.9866
216.9,11.321,-3.2141,11.548,7.8052,-18.836,16.083
217.76,28.15,-3.7699,-5.144,7.9049,-5.3534,22.149
218.63,16.422,-5.4548,4.8177,8.939,8.6104,13.732
219.49,1.2681,-11.359,10.304,6.2982,-1.3438,1.1128
220.35,19.148,-11.121,0.75495,-7.8568,-18.376,-3.7475
221.21,27.911,-6.9518,32.821,-2.7257,-8.6852,0.89145
222.07,-4.1025,-16.62,17.213,8.5721,-18.982,0.16019
222.94,1.6176,-1.1464,-6.7485,2.2773,12.616,17.869
223.8,13.691,8.201,-14.064,17.96,17.518,-0.47043
224.66,21.138,-2.5275,13.077,4.8317,-0.22521,-6.4987
225.52,15.838,2.3587,15.605,2.9818,-5.6325,-5.5349
226.39,10.381,24.65,0.83985,14.991,6.8565,-5.7386
227.25,15.997,29.958,12.873,9.6496,11.782,1.091
228.11,2.9243,15.152,-9.2169,25.738,1.2457,17.184
228.97,-13.436,27.273,1.3314,34.506,25.797,-2.5876
229.84,-1.9762,15.552,10.288,23.423,-14.014,9.4254
230.7,-9.1354,7.5684,12.462,17.771,1.2043,16.514
231.56,-20.745,-0.70627,20.065,6.368,-0.98843,4.0488
232.42,-18.054,4.6578,17.806,-4.3949,-6.9915,-0.12998
233.28,-4.3138,17.901,0.98494,-6.9781,6.7057,10.438
234.15,-2.134,12.673,-9.4482,-2.6116,12.134,7.8929
235.01,-15.355,15.725,-11.674,17.574,0.92304,16.845
235.87,-1.2353,-3.4443,-1.9319,-5.7998,27.314,20.695
236.73,-2.286,-16.534,0.99741,-4.9046,21.867,13.192
237.6,1.9637,-10.454,13.614,-22.42,19.883,8.4157
238.46,3.094,4.1546,8.8082,-17.326,20.552,10.367
239.32,5.3751,15.033,-2.2306,0.68855,10.064,18.265
240.18,7.3374,13.341,-2.2423,5.9728,-9.0311,18.929
241.04,-4.889,-1.0307,-8.6572,10.948,-8.7829,0.29882
241.91,21.416,4.257,-24.116,1.5934,19.429,27.764
242.77,4.8526,1.8445,-2.6973,11.1,15.944,16.683
243.63,18.261,6.6114,5.4576,4.8689,10.503,28.347
244.49,7.5309,-7.6621,1.8893,14.189,4.1849,0.023177
245.36,-0.57734,-5.4964,8.4979,22.41,0.93076,-22.678
246.22,3.116,3.9586,19.444,13.674,-6.4501,-8.6384
247.08,2.4308,-3.5373,14.436,-5.4516,-13.828,13.242
247.94,-2.013,3.6358,-0.6838,-10.966,10.657,-8.987
248.81,6.0343,18.608,9.1728,15.512,39.036,-17.137
249.67,14.083,28.569,5.6359,22.74,12.967,7.4029
250.53,11.482,9.1888,-7.6845,9.2791,-6.1092,29.041
251.39,6.4415,11.177,1.391,3.5391,7.8475,24.637
252.25,-4.5388,6.9837,5.7423,6.6196,13.427,8.2415
253.12,-13.349,-2.6917,-6.301,18.48,5.5982,7.1028
253.98,-8.0411,5.6102,-10.639,29.921,11.372,20.491
254.84,1.9461,5.2692,13.108,7.9803,16.227,2.2448
255.7,4.7619,26.435,8.1693,8.3688,11.533,-3.236
256.57,0.15604,22.876,16.435,-9.3746,-3.8508,-6.2325
257.43,5.5682,4.5934,26.185,17.17,11.525,-10.475
258.29,-2.402,8.1254,8.6492,12.831,19.961,-9.9351
259.15,-8.5548,21.832,12.356,-0.46155,11.164,-2.1926
260.02,-0.070552,21.971,28.146,1.3216,-1.775,2.7618
260.88,6.9804,6.9539,4.5671,0.95949,-3.8879,-6.0125
261.74,-17.042,1.1985,-17.44,-18.399,0.39444,-18.486
262.6,-7.2583,-23.046,25.723,-13.593,-23.469,-10.839
263.46,0.071525,0.98995,-1.4942,9.2142,-17.869,-8.1017
264.33,6.5373,-7.7147,-4.4119,12.464,4.3241,21.356
265.19,-3.101,-12.21,-7.6809,8.0053,6.9991,21.483
266.05,-2.2435,-18.238,-9.4617,-4.3425,-3.3244,10.44
266.91,7.2697,-16.928,-3.7247,-8.1602,-7.067,11.106
267.78,2.6485,3.8104,1.0696,10.462,3.7707,13.212
268.64,9.2627,-4.0244,-8.909,12.702,20.888,0.65659
269.5,19.902,-3.8119,-16.471,-24.49,16.255,7.4292
270.36,0.14653,-1.9522,7.1637,-7.5039,5.0497,5.1695
271.23,-13.954,16.044,-12.445,-10.642,-0.31761,-2.5634
272.09,-7.7611,14.658,-10.438,-1.5234,-7.5281,6.2
272.95,0.036275,10.278,5.9955,3.3606,-2.1727,6.3789
273.81,4.3776,5.0754,14.865,-3.0303,1.838,-7.9174
274.67,14.853,-7.5315,9.7713,-3.9063,-10.977,-11.55
275.54,20.621,5.8573,-11.836,2.082,2.5518,3.9913
276.4,12.813,-24.649,11.242,2.4744,-3.8764,1.9749
277.26,-0.81165,1.4403,13.506,-13.77,-4.4823,-16.69
278.12,8.6158,-18.346,4.7363,2.3897,10.793,-7.2126
278.99,17.735,-9.9078,0.63182,24.102,8.6803,-6.6649
279.85,17.906,10.455,0.48246,12.677,9.0475,-0.08673
280.71,5.1977,14.232,8.5679,-5.8562,12.474,9.3614
281.57,-11.281,8.4242,15.738,11.783,4.4398,10.509
282.44,-4.8799,13.981,-13.009,30.823,0.23308,26.126
283.3,-11.013,-22.749,-5.7413,1.3148,-21.207,-7.5781
284.16,-9.5024,-6.744,4.9189,5.8068,-3.5414,25.046
285.02,1.7111,14.595,-5.4583,9.9388,0.06894,14.617
285.89,-13.055,17.257,-4.3933,9.5002,-8.5767,13.115
286.75,-5.8799,2.4929,-2.5865,-6.9096,-7.239,-10.33
287.61,-1.3061,-0.83767,1.0018,-12.581,2.9311,-30.94
288.47,-28.205,12.465,6.1813,-2.7259,6.1132,-22.316
289.33,-20.328,1.2204,-7.2382,-25.704,-2.5135,-30.607
290.2,10.329,-3.9615,-0.90724,10.555,-29.38,11.986
291.06,-17.741,-25.804,-5.116,-21.541,-8.9561,9.864
291.92,-5.2142,-14.48,-2.5549,-10.051,-0.50307,2.3259
292.78,-10.128,-11.666,-16.677,1.6349,-6.101,12.312
293.65,-7.8918,-8.5907,-15.019,10.616,-7.1201,8.2822
294.51,1.2832,2.0365,-2.0337,1.8618,-9.8507,1.8664
295.37,1.8927,11.836,7.5657,-9.9369,-16.253,8.7942
296.23,-1.2917,10.108,17.435,13.099,-8.4268,7.3553
297.1,6.0765,8.5617,2.8638,2.7602,-1.8524,-9.9406
297.96,4.1017,12.098,-4.0976,-5.0442,10.641,-3.5141
298.82,6.8564,12.468,-6.3194,9.2758,12.032,-4.2256
299.68,-1.9418,5.0792,-1.3115,-1.4601,3.4326,-2.4053
300.55,7.0062,1.4627,4.1259,6.278,-14.528,3.7564
301.41,15.802,1.878,2.9429,15.83,-15.71,5.8293
302.27,7.7085,2.1146,3.1095,7.7648,-3.5135,-0.89693
303.13,-1.0767,-1.6878,13.446,-5.0472,-3.2177,-14.103
304,7.9653,-14.064,12.562,-13.793,6.3474,-30.788
304.86,-6.4123,-7.073,1.9966,7.3053,4.592,-9.5441
305.72,0.89751,-10.104,-4.4153,19.209,-3.0234,-5.0098
306.58,17.281,7.056,-18.491,-8.0588,-14.579,-12.145
307.44,8.5988,5.1242,-3.3413,-9.6361,-16.224,-8.0505
308.31,-2.3517,-1.0178,6.4843,-7.1931,-7.0383,3.0252
309.17,2.7373,1.3997,9.0722,-8.7841,1.9385,8.7521
310.03,10.313,1.6666,16.828,-2.6824,5.2771,9.0006
310.89,-0.44343,-12.583,2.1012,-1.6971,9.408,11.891
311.76,6.1045,-21.412,-5.0302,-4.4323,-9.168,-16.146
312.62,-15.415,-5.6962,-6.9052,11.222,-9.3407,0.54868
313.48,4.5239,16.175,-8.0283,19.195,12.001,1.0962
314.34,3.28,-5.2837,8.5114,10.398,5.2763,-0.10334
315.21,5.0755,4.8791,1.4707,-5.5924,11.917,-6.4198
316.07,1.9673,7.5404,-9.8105,-17.258,19.274,-12.103
316.93,-5.9678,-9.1136,1.2544,-17.205,10.816,-11.342
317.79,3.0708,10.552,11.776,-7.3346,4.1943,-6.3671
318.66,-0.21097,-8.9537,-16.24,-2.711,-5.221,0.52259
319.52,-17.419,19.042,-15.581,-2.208,4.2001,-4.0723
320.38,-13.944,3.9673,-0.017612,-3.3847,-16.211,16.169
321.24,-16.95,3.8512,0.84583,-17.513,6.9821,5.9867
322.11,-9.3356,0.85394,-5.6481,-15.677,4.1733,13.112
322.97,7.675,3.0415,3.3816,-2.7359,-7.8283,2.1445
323.83,14.467,5.2497,5.58,6.7279,-6.4226,-7.8646
324.69,6.913,-7.6564,-11.191,4.456,1.6306,9.0947
325.56,4.8459,-23.589,0.56242,-8.2782,3.6718,2.2828
326.42,-30.707,12.676,0.15249,-14.845,4.361,23.44
327.28,7.6769,14.143,-5.4904,-11.861,15.479,2.8168
328.14,0.67143,-28.966,2.148,-11.243,-3.915,6.4433
329.01,7.0631,-10.004,3.5177,9.029,-7.988,7.2197
329.87,-0.58295,2.6098,-1.0481,4.4749,10.764,9.8761
330.73,-9.7264,-0.42184,-1.5432,0.43388,13.867,12.253
331.59,-6.678,2.1729,-4.3905,16.291,-6.3682,4.5595
