wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.28,-19.656,-39.789,-36.683,-21.263,-44.466,438.2
210.13,-4.2116,8.3105,-12.51,-12.845,10.354,479.93
210.99,-39.347,29.51,1.8837,20.853,6.4442,467.01
211.85,-18.943,8.0512,19.078,21.331,2.2651,516.89
212.71,3.033,12.943,13.544,-1.3691,21.577,547.82
213.57,11.731,35.646,14.432,-5.649,25.86,571.29
214.42,23.041,48.019,37.471,15.532,25.185,600.73
215.28,41.155,58.614,58.922,25.993,71.591,612.28
216.14,16.092,117.84,67.295,14.596,98.308,624.29
217,35.904,65.356,67.21,42.968,108.93,625.28
217.86,51.93,120.36,21.707,63.021,87.762,669.43
218.71,35.521,117.33,45.835,63.733,85.059,727.44
219.57,49.707,100.96,66.496,54.425,101.23,742.9
220.43,68.558,95.459,73.307,62.815,138.29,740.23
221.29,66.265,97.269,85.41,93.264,169.11,768.2
222.15,104.76,116.64,77.604,103.97,138.99,809.74
223.01,79.424,94.47,137.52,85.435,169.62,788.99
223.86,65.016,106.67,93.505,97.926,184.29,841.98
224.72,88.464,114.48,102.16,104.48,172.23,872.29
225.58,81.898,127.35,95.558,92.118,197.98,904.27
226.44,46.808,127.83,87.555,82.568,227.68,937.8
227.3,45.813,127.04,111.68,96.934,236.25,974.88
228.15,97.645,140.28,148.18,124.06,233.73,1021
229.01,70.932,119.25,105.32,119,217.85,1058.8
229.87,88.256,128.39,125.26,186.57,248.47,1021.5
230.73,73.806,152.62,96.714,101.56,254.45,1093
231.59,70.972,139.75,124.03,107.72,276.01,1139
232.44,94.554,128.3,117.7,136.4,263.59,1216.2
233.3,106.02,134.56,120.54,124.27,259.07,1272.9
234.16,80.519,146.57,134.05,98.469,291.74,1288.3
235.02,49.951,150.8,91.22,125.22,310.02,1333.3
235.88,70.509,168.89,170.3,134.87,264.6,1387.2
236.74,75.705,154.5,112.71,122.3,295.18,1343.8
237.59,66.497,135.57,124.12,111.23,286.32,1406.5
238.45,89.156,109.64,129.42,121.78,289.22,1427.1
239.31,85.292,113.88,116.42,128.52,298.36,1464.6
240.17,69.305,123.94,94.894,114.44,310.49,1529.1
241.03,57.974,105.15,81.665,92.677,322.94,1570.8
241.88,14.261,83.263,87.823,90.153,318.48,1553.6
242.74,66.515,115.03,89.448,74.028,273.24,1492
243.6,28.767,107.36,63.609,57.009,227.91,1553.7
244.46,37.005,72.055,80.386,91.059,246.07,1562.7
245.32,68.33,89.867,82.66,104.33,232.63,1551.5
246.18,48.501,92.638,72.299,100.51,223.17,1553.4
247.03,18.609,76.007,60.984,78.976,239.83,1532.4
247.89,43.962,74.856,49.914,54.96,249.74,1466.4
248.75,58.981,54.783,42.4,83.579,207.98,1436.1
249.61,52.934,68.269,98.091,48.983,138.96,1392.6
250.47,25.942,67.523,68.307,36.981,134.44,1409.4
251.32,18.683,46.276,55.578,49.354,168.82,1299.4
252.18,-6.6124,23.397,56.293,34.97,185.2,1236.9
253.04,-4.8659,28.447,51.303,10.588,162.52,1198.4
253.9,12.102,58.315,47.697,-3.1402,136.52,1132.5
254.76,0.92031,67.751,58.825,-0.66695,132.42,1049.3
255.61,1.6183,15.264,58.146,20.728,95.093,991.54
256.47,-27.135,57.565,25.621,-18.417,116.71,968.07
257.33,-12.21,39.701,21.929,8.3579,74.028,942.94
258.19,14.401,46.854,17.16,22.302,61.66,852.13
259.05,18.13,49.193,8.2435,1.6754,75.633,803.05
259.91,12.584,50.986,0.18867,-22.474,89.557,770.93
260.76,0.63329,61.864,13.275,-23.756,75.903,729.13
261.62,-20.283,54.866,36.661,-9.5618,43.349,688.33
262.48,-10.416,-26.858,-12.914,-4.7718,54.195,631.89
263.34,1.853,-5.5403,-25.441,24.924,32.842,599.65
264.2,-5.536,-5.5095,-20.79,15.315,39.297,587.06
265.05,19.716,-15.266,17.618,-1.1793,35.831,534.85
265.91,4.3588,-16.401,12.222,3.391,27.553,502.1
266.77,-18.579,-13.504,3.0319,-7.185,25.443,478.92
267.63,-22.028,-2.4337,1.9071,-23.998,22.217,455
268.49,-21.478,14.579,-15.983,-9.108,9.7367,432.16
269.35,-9.5312,-5.5957,3.2505,-5.5458,12.369,379.63
270.2,39.403,0.80297,26.468,1.2186,1.302,346.49
271.06,7.0554,-6.765,-3.7128,-48.745,-12.295,370.81
271.92,-7.6754,14.711,-5.361,-11.827,9.4847,325.04
272.78,-7.9392,6.6102,5.7621,0.15386,10.551,297.56
273.64,11.614,-9.0562,-2.7341,4.1771,0.30072,278.08
274.5,23.164,-2.1184,-15.53,15.043,-3.7471,261.86
275.35,5.6297,17.264,-9.977,9.7833,-0.50467,262.57
276.21,11.832,16.44,-32.665,6.867,12.186,239.07
277.07,-41.84,22.791,-13.074,14.285,-15.886,216.36
277.93,-14.787,6.6869,-3.4956,16.697,-5.7044,188.7
278.79,5.9511,5.6466,-19.268,11.722,-6.2797,157.19
279.64,17.704,7.3101,-6.3926,-4.9279,-45.094,158.23
280.5,16.042,21.347,15.312,-9.8846,-44.909,168.46
281.36,8.3343,30.627,15.926,5.832,-11.316,151.64
282.22,6.741,11.109,5.4785,15.002,-0.90512,120.67
283.08,12.402,-11.618,24.231,-13.626,15.262,141.34
283.94,45.455,15.747,22.602,38.36,-13.235,136.16
284.79,44.472,27.801,45.623,1.0072,7.5331,102.06
285.65,53.3,50.274,12.583,3.017,-0.034288,111.49
286.51,34.01,27.655,-19.389,39.758,9.272,102.11
287.37,22.96,33.323,-3.983,53.212,21.551,90.43
288.23,32.49,49.307,19.441,31.086,10.102,83.749
289.08,43.228,19.695,4.8318,11.631,-15.575,78.448
289.94,42.015,-10.104,-8.89,23.457,-5.8234,86.237
290.8,13.427,16.3,7.7547,15.512,43.387,75.786
291.66,15.486,37.424,27.006,6.6571,-9.9937,43.425
292.52,5.518,26.797,5.4722,-2.9898,15.552,81.983
293.38,17.653,36.968,12.104,10.691,7.7137,64.282
294.23,27.229,25.245,21.38,31.328,-13.42,32.231
295.09,22.075,14.507,22.18,28.03,-6.5292,18.03
295.95,7.4876,20.04,17.883,3.287,13.424,14.388
296.81,-9.8637,0.094973,2.3268,-5.7131,0.27915,11.516
297.67,-20.642,-4.3721,-21.829,-5.2713,13.275,23.323
298.53,28.732,17.417,-2.7751,15.481,-11.959,19.007
