wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.65,-24.251,-21.813,5.1384,0.043429,28.484,-19.238
210.51,-20.101,-3.7002,-28.892,23.606,-22.533,-14.89
211.37,-12.69,-6.7967,-18.043,-2.5817,-8.2995,-39.913
212.23,-13.949,6.5172,-7.8032,-16.879,-16.606,-16.265
213.09,-3.297,-18.288,-0.13306,-15.567,10.277,-6.4551
213.95,6.8272,-22.252,-5.9518,-19.716,18.091,-13.353
214.81,-0.48583,14.475,-13.539,-25.474,-12.534,1.7013
215.67,-16.425,22.554,-0.023922,-9.8015,-22.318,51.53
216.53,3.1589,-21.873,0.17394,-2.4282,-13.581,45.975
217.39,14.268,33.572,-17.385,15.097,-7.3825,26.056
218.25,29.173,2.7206,5.941,21.265,10.918,-1.4362
219.11,12.115,-41.406,3.3717,16.396,31.022,-4.3995
219.97,1.213,-8.2086,-10.102,6.4007,23.958,-0.36334
220.83,-11.761,37.025,2.9317,-2.1704,7.1692,5.4332
221.69,-32.717,14.435,35.443,-9.5071,4.414,11.251
222.55,-12.975,-8.5575,21.392,-20.919,-1.1268,2.7915
223.41,6.0363,19.219,-12.68,-14.646,-3.593,2.025
224.27,0.74823,0.074414,20.309,4.2027,-25.304,30.593
225.13,5.8815,12.41,22.588,8.6879,-15.241,6.5551
225.99,18.237,11.067,28.778,0.54017,-8.0617,-14.827
226.85,21.346,8.266,16.74,-7.3698,2.3136,0.85727
227.71,10.318,20.027,-3.9455,-3.6813,7.8158,26.849
228.57,-0.70438,31.26,8.4513,7.0362,-2.1845,21.098
229.43,9.0478,4.6171,47.231,-0.16653,12.413,13.535
230.29,22.085,-4.903,29.753,11.401,-4.7997,19.872
231.15,16.869,-2.4996,16.269,17.42,8.9865,21.448
232.01,35.168,-12.892,3.8485,13.621,18.423,20.603
232.87,45.814,2.8686,15.141,13.903,25.079,20.758
233.73,37.426,17.554,31.937,11.268,16.827,12.223
234.59,17.784,19.994,29.206,-2.2146,3.1251,3.5571
235.45,-3.4721,37.02,8.4776,-13.435,12.074,15.2
236.31,-25.792,9.18,-6.1179,12.268,12.675,9.3212
237.17,8.2943,18.925,33.979,-1.3173,30.376,-5.0997
238.03,15.867,30.966,45.287,-9.5794,8.6474,8.5565
238.89,39.015,2.4312,39.718,5.6213,-14.521,1.8492
