wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.79,-9.207,-14.656,-2.6053,7.9584,-8.6034,-10.484
209.66,-3.589,-29.014,-5.7555,5.0244,-17.64,-0.41408
210.52,8.5591,9.6504,-12.976,-10.96,-4.6476,-2.5843
211.38,-2.7825,8.6242,2.0743,-9.3241,-9.3843,15.636
212.24,-9.0239,-7.3212,-13.665,-12.629,4.3797,5.4659
213.1,-8.185,-6.7653,-16.365,-14.523,2.9147,-10.993
213.96,-6.0456,3.8521,4.0771,-2.498,-10.969,-8.2024
214.82,-3.8354,-2.7086,-4.4799,14.208,6.5293,-0.43092
215.68,-8.5842,2.643,-17.505,-6.2257,-5.5103,-15.029
216.54,22.208,-1.3127,-9.378,2.1119,1.0826,-10.156
217.4,-5.2871,-10.555,4.822,3.6508,5.3985,-11.342
218.26,-1.3104,-6.2046,7.4058,17.951,5.0079,-4.0266
219.12,-4.5011,3.74,9.584,-9.8262,2.931,-6.899
219.98,-13.309,12.969,5.3573,-26.422,-5.6718,-3.5889
220.84,-2.6824,14.483,-8.3738,8.8951,-12.75,11.455
221.7,12.178,-1.7774,-9.5287,6.0747,5.0162,-2.768
222.56,-9.1164,-12.662,-2.2169,4.0177,-11.832,2.994
223.42,5.6446,21.699,23.532,12.024,0.65486,15.471
224.28,4.7818,27.376,12.52,1.3149,5.7682,2.7539
225.14,1.1758,19.72,-1.9042,6.9897,6.6282,-4.8571
226,2.6372,5.7413,2.3713,13.399,4.0954,-9.5614
226.86,11.166,-5.5201,12.757,14.593,5.4502,0.84136
227.72,12.674,-1.8138,5.9827,15.231,13.453,29.002
228.58,-25.689,18.49,-3.2705,-11.306,5.794,9.3306
229.44,5.2764,10.263,11.958,-14.198,-21.457,11.678
230.3,21.952,-2.7258,4.1577,-12.317,18.852,11.655
231.17,11.357,-4.196,-1.1602,-10.651,10.419,12.072
232.03,5.5736,4.9826,7.7842,-3.3008,11.125,6.2987
232.89,5.0309,5.6003,10.241,13.824,12.511,7.0255
233.75,5.0897,-3.1729,-1.3088,16.714,6.7663,7.4627
234.61,11.59,3.1833,-3.6659,-13.76,16.061,-9.3399
235.47,8.5323,25.329,9.3701,16.09,-17.035,20.148
236.33,-3.0634,40.684,-5.7706,-18.121,4.5388,9.5158
237.19,-1.7571,14.339,3.372,12.889,5.6514,4.9542
238.05,3.9913,3.8336,-2.752,18.967,4.9931,4.4527
238.91,-3.8081,7.3078,-3.5923,1.7508,1.8138,2.1614
239.77,-7.4412,8.1617,-1.119,-15.049,-1.3368,12.94
240.63,4.5099,-0.45485,-0.021831,-12.822,-0.26886,24.408
241.49,5.4075,-9.5002,13.179,10.331,4.0575,-10.194
242.35,7.8277,-13.24,-5.3352,26.671,9.142,-13.787
243.21,7.6905,4.4704,5.3045,25.879,3.0944,-7.9418
244.07,22.856,2.1001,11.319,10.953,4.1645,-1.2076
244.93,5.4939,5.3988,15.157,2.3659,-7.1781,-8.1646
245.79,4.9242,2.5864,13.25,-0.74401,-7.1838,-5.6828
246.65,18.677,2.8127,11.137,7.394,5.1171,8.9077
247.51,11.791,11.288,11.178,18.53,9.8043,11.417
248.37,3.9678,-6.8716,-0.81697,-3.0661,2.7276,-13.384
249.23,4.7454,-7.0618,-9.6691,8.1357,-4.3435,-3.837
250.09,8.044,11.193,-6.7784,-14.165,-4.6993,9.9194
250.95,11.463,5.341,12.964,-0.18701,-14.72,4.665
251.81,-3.1961,-13.758,7.8494,7.7983,-15.337,6.7197
252.67,-11.301,-20.638,-4.584,13.122,-3.3187,2.6936
253.54,-5.2364,-8.32,-9.4443,18.673,8.0336,-2.9135
254.4,5.5083,7.3578,-9.4809,11.011,6.7603,5.4784
255.26,25.754,8.433,-1.3991,-13.55,1.4612,8.6291
256.12,-15.323,3.9319,0.30972,16.06,-3.8337,-0.9514
256.98,-26.722,6.8564,37.478,-12.006,3.2454,-1.4534
257.84,-11.919,1.1665,15.367,-18.401,-14.748,4.8628
258.7,7.3443,10.93,0.64452,-6.4455,-11.802,-4.3828
259.56,13.204,8.1728,4.2813,-14.043,-3.7244,-11.521
260.42,5.1668,-3.9732,3.6467,-17.899,-0.46008,1.9793
261.28,-3.265,3.6125,-6.7085,14.076,6.8883,19.987
262.14,-2.1982,10.743,6.4821,1.3333,3.5008,-3.7384
263,-9.168,20.282,-30.196,13.54,1.7376,0.72372
263.86,11.692,-2.0862,-1.4018,17.583,4.8888,-7.087
