wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.78,2084.7,2047.9,2052.9,2027.2,2062.4,2055.3
210.64,2060.4,2036.7,2030.3,2028.9,2034.6,2048.4
211.5,2062.3,2049.1,2038.8,2034.7,2026.5,2037.4
212.36,2063.7,2058.8,2010.3,2014.2,2041.4,2076
213.22,2058.5,2031.2,1991,2018.9,2045.7,2090.1
214.08,2054.4,2024,2004.2,2031.8,2022.5,2067.6
214.94,2057.3,2037.9,2029.1,2033.9,2004.3,2045.4
215.8,2061.6,2018.7,2033.5,2033.7,2037.8,2053.8
216.66,2054.1,2066.8,2041.4,2020.8,2080.2,2053.8
217.52,2059.3,2060.8,2018.9,2014.8,2048.1,2084.1
218.38,2063.8,2062.3,2006.2,2031.4,2060.7,2066.8
219.24,2041.8,2056.7,2026.8,2016.3,2047.2,2050.6
220.1,2033.4,2050,2030.6,2012.4,2025.6,2047
220.96,2053.9,2046.6,2014.9,2020.3,2023,2077.6
221.82,2076.1,2049.9,2008.5,2022.7,2031.2,2109
222.68,2063,2061.6,2016.4,2031.2,2016.6,2048
223.54,2063,2049.4,2011.2,1998.2,2056.6,2065.4
224.4,2063,2092.6,2024.4,2031.3,2056.3,2097.8
225.25,2045.3,2076.3,2020.6,2020.3,2029.1,2106.1
226.11,2051.3,2062,2001.8,2035.5,2030.1,2082.2
226.97,2045.8,2042.9,1977.5,2023,2023.8,2061.8
227.83,2041.5,2030.6,1977.1,2003.7,2015.1,2064.7
228.69,2076.7,2044,2012.6,2031.9,2039.2,2076.3
229.55,2091.3,2033.4,2023.9,1997.5,2046.5,2073
230.41,2064.3,2072.6,2022.2,2021,2006.5,2073
231.27,2085.8,2070.4,2027.6,2062.7,2026,2122.3
232.13,2096,2067,2013.1,2054.4,2024.7,2097.1
232.99,2107.6,2072.9,2022.1,2041.8,2038.1,2072.1
233.85,2094.5,2085.5,2043.9,2044.7,2040.8,2076.7
234.71,2061.9,2085.3,2049.9,2050.2,2028,2087.1
235.57,2062.4,2060.6,2037.5,2039.3,2043.6,2078.9
236.43,2081.6,2064.4,2028.6,2018.9,2058.9,2090.2
237.29,2061.6,2086.2,2005.9,2065,2054.6,2099.8
238.15,2069.6,2074.6,2046.2,2061.1,2044.1,2120.7
239.01,2078.7,2077.6,2019.7,2045.4,2049.2,2101.2
239.87,2070.5,2078,2009,2045.5,2057.5,2086.5
240.72,2076.5,2062.4,2021.3,2063.4,2056.5,2096.7
241.58,2105.3,2055.7,2028,2083.4,2052.7,2111.5
242.44,2106,2099.2,2051.3,2089.2,2068,2108.2
243.3,2128.6,2130.5,2038.2,2075.2,2098.5,2116.9
244.16,2118.7,2101.8,2040.6,2045,2056.1,2121.3
245.02,2077.6,2102.1,2037.3,2041.5,2063.6,2116.2
245.88,2096.7,2131.7,2050.4,2088.3,2066.6,2117.6
246.74,2131.3,2134.8,2079,2103.3,2074,2116.7
247.6,2124.9,2110,2089.3,2094.7,2075,2118.2
248.46,2090.3,2094.1,2059.1,2100.3,2058.7,2137
249.32,2103.9,2089.6,2024.2,2061.3,2063.1,2166.5
250.18,2122.3,2076.5,2025.9,2055.2,2083.2,2142.9
251.04,2109.6,2118.7,2083,2075.9,2032.9,2101.8
251.9,2080.7,2110.7,2057.1,2067.2,2060.7,2098.3
252.76,2091.6,2096.4,2039.7,2063.8,2084.2,2117.5
253.62,2106.1,2076.4,2038,2066.4,2074.9,2112.7
254.48,2100.1,2058.3,2045.6,2060.8,2068.2,2087.1
255.34,2093.9,2056.2,2051.9,2043,2080.4,2085.5
256.2,2107.1,2057.3,2017.5,2031.5,2038.8,2114.4
257.05,2086.2,2105.3,2034.1,2036.7,2036.2,2062.9
257.91,2128.7,2094.8,2054,2042,2036.8,2099.6
258.77,2101.7,2059.2,2039.2,2070.2,2056.5,2109.4
259.63,2098.6,2093.6,2016.7,2048.8,2039.8,2126
260.49,2102.2,2110.3,2019.8,2045.4,2025.5,2106.7
261.35,2081.2,2078.9,2038.6,2076.5,2039.7,2078.6
262.21,2057.3,2066.5,2046.7,2080,2057.4,2094.4
263.07,2080.6,2076.7,2063.3,2053,2055.3,2065.8
263.93,2100.7,2073.2,2029.2,2027.6,2058.8,2050.9
264.79,2066,2077.9,2046.6,2057.1,2069.6,2054.1
265.65,2106.6,2079.7,2014.2,2032.8,2047,2066.8
266.51,2084.8,2086.8,2007.7,2049.7,2048.5,2054.9
267.37,2067.5,2085.3,2031.9,2052.1,2054.9,2051.3
268.23,2090.8,2069.3,2043.4,2043.6,2042.4,2072.9
269.09,2096.5,2054.9,2016.8,2081,2024,2086.8
269.95,2083.9,2061.4,1989.9,2077.1,2023.6,2058.1
270.81,2057.6,2042.2,1976.8,2029,2018.3,2072.1
271.66,2061.8,2000.7,2002.3,2043.2,2003.2,2052.5
272.52,2057.4,2035.9,2009.4,2048.4,2006.3,2063.3
273.38,2055,2047.5,2034.6,2035.8,2030.8,2057.4
274.24,2043.8,2055,2040.9,2014.8,2051.5,2070
275.1,2045.3,2062.2,2040,2006.9,2057.7,2093.1
275.96,2075,2038.5,2053.7,2022.2,2049.5,2082
276.82,2066.6,2020.9,1995.8,2034,2015.1,2070.4
277.68,2062.2,2063.8,2026.5,2023.5,2049.3,2074.8
278.54,2081.1,2052.7,1993.1,2039.6,2044.3,2056.7
279.4,2069.4,2050.7,2001.6,2033.1,2041.6,2053.7
280.26,2061.8,2058,2010.3,2033.1,2046.3,2054
281.12,2076.3,2082.9,2025,2033.7,2055.1,2050.8
281.98,2086.5,2082.8,2024.7,2033.7,2035.8,2046.7
282.84,2076.3,2040,2007.6,2037.9,1993.1,2045.1
283.7,2092.4,2046.6,2050.2,2033.2,2016.5,2043.5
284.56,2095.9,2043.1,2023.8,2025.2,2030.6,2057.6
285.42,2086.6,2060,2028.1,2037.8,2039.5,2099.7
286.27,2071.9,2089.2,2012.2,2022.5,2037.4,2112.8
287.13,2073.7,2063.2,2011.5,2022.7,2064.5,2076.2
287.99,2088.7,2063.3,2009.2,2034.3,2058.8,2040.8
288.85,2097.5,2092,2001.2,2046,2037.3,2039.4
289.71,2102.6,2092.8,2005.9,2047,2044.5,2063
290.57,2126.6,2072.5,2030.4,2027.6,2040.5,2084.6
291.43,2079.1,2069,2026,2025,2022,2082
292.29,2065,2059.4,2032.1,2026.8,2034.3,2049.6
293.15,2078.9,2020.2,2005.1,2016.4,2023.9,2067.7
294.01,2075.8,2034.7,1996,2011.1,2019.4,2066.1
294.87,2046.3,2068.5,2010.4,2001.2,2042.2,2040.4
295.73,2048.2,2064.3,2019.7,1982.8,2027.4,2024.9
296.59,2072.5,2036.2,2001.5,1986.1,1976.5,2026.4
