wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.55,1338.5,1533.4,1489.8,1516.9,1472.5,1488.1
209.41,1343.7,1548.1,1519.3,1505.7,1477.7,1489
210.27,1352.2,1518,1490,1512.3,1475.5,1490.6
211.13,1357.4,1525.3,1507.6,1520.1,1505.7,1489.6
211.99,1338.6,1539.2,1490.9,1523,1501.3,1484
212.86,1335.8,1533.3,1486.8,1521.3,1485.6,1488.4
213.72,1364.4,1509,1505.6,1525,1487.6,1492.3
214.58,1385.2,1499.7,1486.7,1533.3,1496.6,1473.3
215.44,1369.8,1558.8,1485.3,1497.1,1511.2,1474.7
216.3,1360.2,1551,1497.5,1540.5,1520.8,1464.3
217.16,1366.6,1556.8,1517.9,1533.1,1505.3,1460
218.02,1325.2,1558.4,1500.8,1506.5,1524.4,1470.3
218.88,1328.6,1548.6,1497.4,1498.9,1499,1494.3
219.75,1359,1535.4,1523.2,1512.2,1468.2,1498.2
220.61,1356.2,1531.3,1538,1521.1,1490.9,1477
221.47,1348.4,1539.4,1498.9,1505.7,1505.1,1486.1
222.33,1360.6,1542.9,1506.7,1485.7,1488.6,1478.3
223.19,1362.7,1524.6,1510.3,1526.9,1500.6,1511.5
224.05,1349.6,1532.3,1494.7,1520.2,1482.5,1501.7
224.91,1349.2,1533.5,1490.3,1522.7,1489,1484
225.77,1354.3,1544.4,1493.3,1538.8,1500.5,1488.5
226.64,1359.5,1543.3,1491.8,1537.8,1504.8,1494.2
227.5,1363.3,1509.1,1483.2,1515.1,1513.7,1476
228.36,1347.2,1527,1474.5,1540.1,1514.2,1489.2
229.22,1350.7,1527,1465.8,1508.7,1469.9,1491.8
230.08,1364.5,1529.4,1477.7,1556.9,1512.1,1483.3
230.94,1360,1517.4,1498.9,1532.8,1504.1,1476.3
231.8,1346.9,1509.9,1480.8,1491,1493.5,1475.6
232.66,1335.4,1519.1,1471.6,1483.2,1495.4,1478.6
233.53,1322,1536.8,1486.4,1508.4,1496,1484.3
234.39,1297.3,1541.1,1474.3,1525.8,1489.5,1497.2
235.25,1276.5,1523.7,1504.8,1512.8,1498,1521.6
236.11,1302.6,1509.8,1495.2,1505,1497.1,1498
236.97,1313.6,1506.5,1459.9,1502.5,1477.3,1488.2
237.83,1309.7,1518.6,1445.8,1488.2,1494.9,1470.9
238.69,1304,1523,1459.5,1492.5,1480.9,1458.5
239.55,1300.9,1503.2,1467.5,1492,1452.6,1455
240.42,1307.5,1481.3,1447.9,1469.8,1450.5,1460.9
241.28,1327.2,1498,1432.1,1467,1447.7,1477.4
242.14,1275.8,1475.4,1478.3,1452.2,1460.8,1465.2
243,1304.2,1487,1446.4,1477.7,1464.4,1465.9
243.86,1303.9,1470,1419.8,1458.6,1456.2,1456.5
244.72,1308.6,1469.6,1431.3,1451.8,1441.6,1455.4
245.58,1302.1,1462.6,1427.9,1433.6,1435,1445.6
246.44,1295.2,1452.8,1422.5,1427.2,1427.3,1430.9
247.3,1297.1,1461.7,1435.3,1447.2,1411.9,1424.4
248.17,1268.3,1476.7,1398.5,1416,1414.9,1417.7
249.03,1262.2,1492.4,1412.4,1416,1414,1443
249.89,1290.5,1451.1,1432.3,1432.8,1418.2,1450.7
250.75,1299.5,1455.1,1404,1423.9,1419.7,1415.8
251.61,1280,1465.2,1385.8,1428.3,1398.4,1395.2
252.47,1258.6,1454.8,1392,1435,1395.3,1394.7
253.33,1254.6,1430.4,1400,1421.8,1405.1,1398.3
254.19,1259.4,1411.8,1385.7,1394.6,1394.6,1397.4
255.06,1247.4,1399.9,1362.2,1393.9,1392.2,1396.4
255.92,1229,1410.4,1376.2,1404.4,1383.5,1366.7
256.78,1256,1432.4,1367.1,1387.7,1377.2,1356.8
257.64,1260.6,1404.2,1361.5,1384,1362,1370.3
258.5,1246.3,1390.6,1364,1370.3,1338.3,1356.4
259.36,1229.3,1400.8,1375.5,1367.6,1327.7,1354.8
260.22,1224.5,1408.8,1376.7,1370.6,1339.3,1362.7
261.08,1230.2,1397.1,1364.2,1356.8,1347.8,1347.1
261.95,1222.3,1384.6,1391.1,1355,1313.2,1362.2
262.81,1213.6,1379.3,1355.3,1341.8,1353.4,1339.5
263.67,1217.1,1360.2,1343.2,1363.1,1315.1,1331.5
264.53,1238.1,1383.8,1345.2,1334.7,1306.7,1316.1
265.39,1237.9,1368.1,1345.3,1331.9,1326.3,1318
266.25,1230.1,1358.1,1337.8,1325.5,1331.2,1315.1
267.11,1224.5,1361.1,1337,1308.5,1317.1,1305.3
267.97,1212.7,1341.5,1342.1,1319.2,1303.7,1303
268.83,1203.1,1354.3,1300.9,1339.8,1267.8,1281.3
269.7,1204,1333.3,1299.1,1324.9,1302.8,1272.5
270.56,1198.2,1333.6,1326.9,1336.3,1304.2,1278.6
271.42,1196.3,1329.8,1318.4,1305.5,1277.5,1274.4
272.28,1190.3,1331.4,1301.7,1316.2,1273.5,1286.9
273.14,1205.3,1329.5,1293.1,1316.1,1272.7,1287.2
274,1218.9,1324,1295.9,1292.7,1268.9,1273.7
274.86,1195.4,1324,1300.6,1294.2,1275.6,1273.8
275.72,1186.9,1323.3,1288.8,1301.8,1270,1276.1
276.59,1207.9,1315.4,1309,1288.7,1270,1266.5
277.45,1189,1309.2,1272.6,1306.3,1265,1270.2
278.31,1181.5,1325.7,1266.4,1285.2,1249.8,1251.9
279.17,1184.1,1316.6,1261.7,1270.9,1252.8,1249.9
280.03,1181.9,1300.4,1273.3,1281.9,1246.5,1250.3
280.89,1168.2,1296.7,1286.2,1297.3,1234,1244.3
281.75,1159.7,1295.7,1272.7,1296,1232.1,1240.6
282.61,1183,1277.5,1256.5,1294,1213,1236.9
283.47,1173.3,1254.7,1252.1,1275.6,1231.4,1217.6
284.34,1168.8,1324.6,1251.2,1246.9,1256.7,1205.9
285.2,1163.6,1310.8,1263.4,1250,1261,1216.4
286.06,1169.3,1288.9,1246.8,1260.9,1227,1198.5
