wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.28,869.99,838.26,884.82,909.23,915.23,920.82
209.14,880.39,830.46,893.49,922.23,928.23,929.49
210,881.82,833.26,916.84,923,919.21,934.89
210.86,856.06,844.24,904.93,913.44,908.81,931.9
211.72,863.82,836.34,892.6,915.61,912.71,927.8
212.58,885.02,829.35,897.78,918.49,914.82,925.58
213.44,885.15,834.86,904,917.57,907.29,926.14
214.3,866.01,833.94,888.23,926.6,906.37,930.68
215.16,855.39,817.89,883.93,940.83,924.65,939.87
216.01,871.01,853.46,881.33,933.89,910.77,934.66
216.87,859.37,842.1,882.51,931.49,898.4,930.97
217.73,876.9,837.63,884.25,931.63,903.13,941.89
218.59,880.12,832.57,885,922.12,914.92,944.55
219.45,872.17,833.16,878.84,920.34,923.45,938.91
220.31,876.23,843.77,877.26,932.69,924.61,937.93
221.17,875.3,842.4,906.9,924.9,920.6,940.8
222.03,860.52,837.18,897.34,924.03,925.82,939.06
222.89,878.43,833.65,881.09,921.49,912.6,921.41
223.74,876.34,824.52,899.92,918.88,910.71,925.78
224.6,875.15,827.34,889.39,917.42,921.96,921.5
225.46,873.77,837.35,879.46,910.31,920.19,928.49
226.32,873.84,842.42,889.41,906.73,905.48,935.8
227.18,878.34,837.89,896.23,918.29,900.92,920.22
228.04,869.76,834.35,884.27,924.49,904.19,930.76
228.9,849.74,856.11,888.62,932.32,891.14,942.94
229.76,865.48,835.75,912.84,913.93,928.14,916.19
230.62,877.97,830,904.39,910.99,936.67,916.31
231.48,871.85,825.19,888.45,919.48,922.64,919.47
232.33,859.76,824.64,885.45,915.07,908.57,919
233.19,857.48,831.65,894.48,900.93,905,919
234.05,863.56,835.27,898.07,907.17,902.95,919.73
234.91,860.95,831.26,880.97,913.84,891.45,924.02
235.77,858.34,845.2,879.23,905.13,915.84,924.89
236.63,852.69,856.86,912.37,897.17,908.38,934.86
237.49,847.22,860,890.89,913.26,913.82,924.78
238.35,856.52,842.97,882.02,916.49,916.5,911.49
239.21,868,824.14,886.79,907.14,909.53,911.21
240.06,867.27,822.71,878.24,908.15,902,918.54
240.92,864.19,830.89,881.89,919.61,901.31,914.69
241.78,858.1,852.65,903.65,909.17,896.08,919.92
242.64,857.14,826.4,879.12,879.83,876.27,916.57
243.5,836.56,819.81,861.13,897.63,897.09,937.17
244.36,838.63,813.58,865.63,895.77,893.96,935.37
245.22,840.26,815.69,879.11,898.96,894.53,916.2
246.08,842.27,824.42,882.15,903.42,902.96,905.81
246.94,852.28,829,875.19,893.41,897.71,910.15
247.8,839.83,826.96,881.8,901.82,887.2,901.2
248.65,847.69,807.77,870.45,900.07,898.55,912.55
249.51,852.19,817.05,872.51,894.97,880.57,901.27
250.37,845.18,810.47,858.08,885.47,879.84,901.84
251.23,830.33,801.75,861.92,882,874,898.33
252.09,828.39,802.11,859.87,878.8,871.74,897.28
252.95,837.65,812.93,850.65,877.64,880.6,896.04
253.81,841.61,823.99,853.8,881.58,892.2,889.01
254.67,844.31,818.99,853.62,876,891.92,893.62
255.53,847.8,807.64,860.61,876,879.69,900.61
256.38,842.23,813.59,846.99,868.58,874.88,902.65
257.24,850.77,798.95,870.52,872.58,868.42,891.14
258.1,840.12,799.44,874.56,879.58,868.86,896.87
258.96,828.55,796.96,860.96,873.17,863.85,900.09
259.82,830.88,785.08,845.55,863.88,855.32,896.24
260.68,834.66,783.73,837.31,874.87,861.65,897.49
261.54,826.05,795.77,849.39,895,883.25,882.58
262.4,839.16,805.38,829.28,895,861.4,877.34
263.26,825.27,798.63,850.92,863.08,869,870.45
264.12,813.67,793.53,850.45,864.33,861.98,871.08
264.97,822.51,791.43,839.47,857.76,858.57,877.12
265.83,824.9,795.88,824.12,856.66,847.9,888.99
266.69,816.64,799.76,820.66,861.81,846.45,894.21
267.55,819.36,792.67,839.14,859.08,869.7,885.17
268.41,824.51,782.79,847.37,873.75,855.72,889.72
269.27,818.38,780.16,839.49,845.75,852.22,886.22
270.13,828.68,794.79,825.03,844,868.43,882.71
270.99,819.15,793.12,835.94,856.55,851.79,886.88
271.85,814.57,782.98,843.15,856.27,848.73,880.4
272.7,812.75,784.2,832.31,858.75,853.9,863.21
273.56,809.02,788.76,826.15,864.07,848.81,855.22
274.42,805.59,780.81,842.39,859.41,837.82,863.58
275.28,799.37,784.87,839.37,863.9,843.19,854.63
276.14,792.35,794.51,832.35,851.62,823.02,861.65
277,799.49,778.37,838.65,836.03,834.48,851.19
277.86,803.84,777.84,833.62,847.17,831.33,844.04
278.72,819.06,778.41,828.66,845.38,837.2,844.93
279.58,820.66,777.07,835.8,850.2,850.88,854.41
280.44,808.96,776.68,841.57,856.89,852.51,864.02
281.29,803.26,779.96,832.13,848.09,838.43,865.57
282.15,797.28,787,829.85,852,838.86,862.48
283.01,799.92,787,837.75,852,828.33,848.44
283.87,812.76,780.2,834.6,831.59,846.71,863.31
284.73,815.73,773.17,831.09,830.19,846.36,860.17
285.59,816,755.83,826.97,836.46,838.93,864.07
286.45,812.61,761.52,821.12,840.49,844.22,859.75
287.31,807.19,778,818.09,840.27,840.57,847.37
288.17,805.44,775.6,822.88,840.44,821.33,843.16
289.03,810,768,829.86,844.64,835.48,849.41
289.88,810,768,814.04,842.01,838.99,845.01
290.74,794.23,775.89,815.75,846.38,816.22,857.27
291.6,795.78,773.22,817.51,838.69,819.04,852.2
292.46,802.08,766.29,821.81,830.29,820.37,839.21
293.32,812.72,770.72,816.28,836.77,826.17,842.77
294.18,811.34,774.46,812.15,841.67,824.91,847.28
295.04,800.46,767.91,812.91,835,816.18,843.27
295.9,804.72,765,805.8,834.39,822.76,852.91
296.76,792.66,765.41,825.76,830.94,826.97,857.21
297.61,811.13,776.85,791.46,829.18,826.09,835.22
298.47,797.18,777.21,803.03,811.6,841.03,823.51
299.33,779.57,780.36,799.61,824.46,830.23,834.43
300.19,789.55,763.24,802.07,832.45,823,841
301.05,803.86,758.79,806.14,828.55,840.27,837.11
301.91,809.37,775.5,808.74,814.02,846.78,837.92
302.77,809.58,777.15,812,798.15,813.5,848.69
303.63,770.88,761.07,793.73,823.93,824.74,838.34
304.49,781.45,761.95,826.3,823.05,833.54,830.41
305.35,778.66,755.32,797.12,837.19,829.83,831.67
306.2,790.89,762.59,799.59,836.42,820.41,833.43
307.06,791.22,773.16,810.76,843.36,819.39,826.84
307.92,794.69,765.58,809.31,828.93,824.35,823.91
308.78,794.82,755.23,803.08,807.72,823.33,826.72
309.64,784.17,762.93,799.46,815.27,815,827.52
310.5,789.78,769.61,784.2,831.58,816.47,826.12
311.36,781.04,773.99,800.02,807.07,826.94,827.09
312.22,788.09,771.34,804.43,820.29,816.37,843.83
313.08,783.62,761.78,788.86,825.84,823.45,836.01
313.94,787.2,750.55,793.1,810.09,833.15,825.2
314.79,791.07,756.65,788.41,811.12,826.35,827.92
315.65,797.82,760.6,785.4,823.74,814.09,832.34
316.51,804.51,755.68,799.86,826.62,810.89,828.21
317.37,799.02,757.5,813.3,821.72,812.28,823.82
318.23,789.24,739.34,801.76,824.24,808.37,822.62
319.09,778.65,771.98,812.35,813.65,799.54,817.33
319.95,782.97,759.91,817.97,821.29,801.49,830.26
320.81,781.15,751.3,816.86,818.01,809.84,831.58
321.67,785.96,756.75,810.04,821.36,813,831.6
322.53,778.55,757.72,793.59,825.04,816.4,829.17
323.38,772.61,757.4,785.88,822.9,813.57,826.81
324.24,781.92,763.6,795.63,823.29,803.36,827.14
325.1,777.13,757.68,793.12,832.89,806.92,821.7
325.96,790.11,748.11,786.52,811.22,805.48,805.56
326.82,783.08,746.37,806.01,813.91,821.44,826.82
327.68,783.09,754.79,787.18,815.03,811.58,830.08
328.54,786.02,750.56,799.98,815.29,797.7,831.67
329.4,790.7,751.1,800.01,813.12,817.72,824.13
330.26,780.83,750.35,798.94,815.71,822.78,821.78
331.11,766.41,744.98,807.13,818.84,807.6,822.03
331.97,769.72,746.98,803.43,813.23,814.44,812.77
332.83,767.48,756.27,790.55,811.84,798.3,822.18
