wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.74,970.51,1012.7,1010.8,1027.4,1026.2,1069.9
208.61,965.31,1009.2,1029.9,1011,1039.2,1058.7
209.47,949.5,1007.4,1010.6,1015.7,1086.5,1070.2
210.33,961.02,1012.5,1002.6,1011.5,1073.1,1076.4
211.19,950.93,1014.5,988.89,1016.2,1055.4,1064.8
212.05,939.93,1011.1,994.06,1029.1,1062.1,1053.2
212.91,948.57,1003.9,1013,1029.3,1075,1055.1
213.77,957.4,1000.9,1011.8,1004.1,1069.1,1063
214.64,943.48,1027.6,1032.4,998.98,1091.1,1063.5
215.5,962.57,1012.9,1008.1,998.11,1053.8,1084.3
216.36,976.36,983.75,1024.7,1023,1053.5,1059
217.22,966.24,1011.3,1007.9,1024.1,1068.8,1050
218.08,960.47,1014.2,991.04,1010.1,1069.6,1060.9
218.94,964.45,995.36,994.16,1000.7,1062,1070.9
219.8,967,1001.8,1000.4,1005,1064.8,1071.5
220.67,963.91,1020.7,986.4,1012.6,1070.8,1078.3
221.53,936.96,1018.1,998.57,991.74,1043,1063.5
222.39,946.89,991.2,1002.4,1013.6,1054.6,1049.6
223.25,946.88,988.12,999.47,1018,1047.1,1058.3
224.11,954.65,998.8,1014.7,1014.5,1047.6,1058.4
224.97,961.45,1012.2,1008.3,1012,1048.3,1059.9
225.83,952.86,1013.1,987.84,1013.6,1049.7,1060
226.7,936.14,998.55,994.37,1019.8,1054.6,1047.4
227.56,950.59,1001.3,995.68,1031.8,1031.8,1049.2
228.42,960.17,1006.5,990.45,1028.3,1044.9,1051.8
229.28,958.62,1026.1,988.41,1015.3,1052.4,1062.3
230.14,961.32,1008.4,1000.6,1017.3,1049.3,1069.7
231,956.05,993.26,1011.8,1023.7,1055,1073.1
231.86,942.31,988.78,1014.4,1026.2,1055.9,1072.8
232.73,932.1,988.1,1002.9,1026.9,1049.2,1065.5
233.59,936.61,991.73,983.1,1033.8,1052.8,1049
234.45,946.32,995.89,1007,1043.5,1040,1036.8
235.31,963.74,989.79,1007,1016.5,1037.3,1024.6
236.17,940.97,978.38,997.14,1012.2,1031.7,1035.1
237.03,947.48,988.22,979.52,1013.9,1035.7,1028.3
237.89,957.5,986.98,979.02,1016,1039,1037.5
238.76,953.04,979.86,985.51,1009.2,1033.8,1053.7
239.62,942.76,986.42,985.93,996.73,1031.3,1050.8
240.48,942.23,993.53,994.31,998.42,1050.5,1039.2
241.34,943.97,967.42,989.08,994.07,1047.1,1047.9
242.2,935.42,991.02,952.97,1012.9,1020.4,1027.4
243.06,929.62,977.48,976.93,989.72,1018.2,1031.3
243.92,924.99,987.86,997.03,992.04,1008.2,1038.8
244.79,934.85,983.83,989.72,1002.8,1021.4,1042
245.65,944.54,962.15,982.27,998.73,1039.5,1034.7
246.51,934.71,953.22,992.71,989.38,1029.9,1022.1
247.37,924.2,954.28,980.72,1004.4,1026.7,1025.9
248.23,935.55,956.9,978.1,998.24,1032.8,1025
249.09,941.87,976.27,978,992.97,1033,1049.3
249.95,921.68,984.26,963.79,994.13,1030.9,1033.4
250.82,926.42,991.25,962.67,992.08,1020.1,1017.4
251.68,930.07,964.87,968.28,986.35,1024.4,1019.3
252.54,923,938.23,978.25,982.99,1031.7,1027
253.4,920.16,964.92,992.59,983.58,1015.8,1025.4
254.26,911.4,995.15,987.75,978.23,1004.2,1026.4
255.12,938.47,985.54,951.07,980.85,1018.2,1019.4
255.98,932.58,981.7,982.79,982.65,1017.4,1018.2
256.84,921.23,978.91,976.04,987.89,1013.5,1022.2
257.71,922.15,969.42,968.86,992.86,1017.1,1021.1
258.57,917.51,958.98,959.96,981.6,1025.9,1021.7
259.43,903.79,962.01,955.13,971.41,1022.4,1023.1
260.29,903.62,977.64,966.2,982.86,1004.3,1010.8
261.15,930.44,971.51,969.1,974.56,1012.2,978.89
262.01,923.45,965.39,995.32,981.55,990.4,1002.5
262.87,914.82,964.18,956.9,977.09,993.09,1022
263.74,921.33,966.08,948,964.21,1002.3,1014.2
264.6,920.45,957.33,950.84,966.39,983.82,1001
265.46,930.32,953.55,956.55,970.22,969.66,995.44
266.32,934.55,964.07,963.55,967.04,981.3,1004
267.18,909.75,971.36,964.53,964.61,999.97,1014.8
268.04,916.37,949.62,947.41,963.77,1003.1,990.55
268.9,908.49,969.74,964.91,973.4,991.71,1009.8
269.77,904.71,950.46,990.65,974,1009.9,985.53
270.63,904.7,953.67,970.21,976.79,1007.7,982.79
271.49,915.32,961.01,965.3,969.98,996.98,992.6
272.35,913.11,956.8,952.46,959.5,995.05,985.51
273.21,904.59,950.61,936.22,953.35,1002,982.37
274.07,907.76,951.76,943.57,952.2,1002.8,1007.2
274.93,892.42,935.63,931.5,953.71,989.68,996.95
275.79,908.2,942.65,948.16,961.6,986.18,1007.5
276.66,908.17,964.62,945.67,982.79,995.15,990.53
277.52,912.96,966.16,949.96,974.95,997.71,992.67
278.38,913.24,952.69,946.73,957.69,985.11,994.41
279.24,910.15,946.32,936.51,949.93,978.78,983.8
280.1,903.91,941.51,929.68,951.34,980.98,983.24
280.96,894.91,931.34,933.17,952.87,982.04,1002
281.82,891.57,947,940.43,955.34,988.35,989.67
282.69,896.84,947,935.16,949.19,945.34,977.38
283.55,897,946.15,929.9,944.75,973.77,977.85
284.41,919.59,934.34,936.29,956.39,981.19,979.46
285.27,921.93,930,932.33,959.18,989.28,987.89
286.13,918.49,938.25,921.7,952.66,994.97,983.3
286.99,913.19,943.73,921.89,949.18,983.3,973
287.85,900.6,938,928.95,956.37,960.28,980.69
288.71,893.12,939.31,916.45,964.98,961.45,1000.4
289.58,894,948.97,941.93,950.04,986.93,966.1
290.44,902.76,947.25,924.47,946.5,982.62,992.29
291.3,910.04,946.25,925.78,944.49,996.35,977.88
292.16,918.35,940.29,927.64,938.29,987.67,977.71
293.02,900.91,948.32,940.35,945.29,973.31,990.26
293.88,883.36,947.98,941.37,950.28,969.76,984.83
294.74,888.64,929.09,928.55,943.82,973.18,960.82
295.61,894.37,922.93,934.65,944.33,966.43,958.65
296.47,902.28,916.62,916.38,935.48,941.63,978.56
297.33,910.2,906.07,926.93,948.67,959.22,966.24
298.19,879.37,925.56,937.49,927.07,968.91,972.12
299.05,881.07,934.36,925.9,931.75,956.9,981.39
299.91,891.52,925.51,927.28,928.72,962.69,989.41
300.77,894.71,923.48,927.09,930.64,969.11,974
301.63,887.39,928.88,927.04,941.06,968.68,950.56
302.5,875,924.69,943.15,938.42,971.89,956.5
303.36,877.36,935.71,927.81,935.41,943.11,966.19
304.22,905.53,932.18,937.49,928.37,956.31,956.51
305.08,880.3,914.48,927.99,947.19,969.52,949.32
305.94,883.59,913.15,920.99,938.83,967.7,963.75
306.8,902.52,909.82,920.19,928.03,963.61,951.49
307.66,902.97,913.69,925.3,939.29,955.79,952.38
308.52,893.8,925.31,928.92,954.2,949,961.25
309.39,897.24,927.46,922.66,947.62,948.76,951.96
310.25,899.35,911.71,910.96,936.76,949.84,956.1
311.11,908.9,924,924.97,934.95,963.02,964
311.97,889.51,923.11,919.68,926.14,967.43,964
312.83,896.99,919.16,928.22,928.07,955.71,948.63
313.69,896.1,923.85,933.6,923.15,948.75,951.8
314.55,883.88,930.2,933.93,927.46,945.4,958.66
315.41,876.66,940.89,925.94,926.94,948.57,970.97
316.28,880.79,945.44,917.49,917.6,954.7,978.44
317.14,884.64,928.74,922.26,921.7,950.22,959.22
318,883.19,924.2,926.73,934.06,936.48,943.01
318.86,885.84,940.96,909.09,934.95,985,957.13
319.72,886.83,921.28,922.92,947.43,977.23,946.4
320.58,882.73,921.99,915.32,935.04,971.44,950.41
321.44,891.73,922.21,905.04,938.53,958.68,948.23
322.3,897.13,921.03,916.36,932.1,962.05,942.15
323.17,889.3,919.61,928.36,915.54,960.3,947.75
324.03,878.4,913.39,917.89,919.47,946.92,962.34
324.89,878.4,905.75,911.27,942.93,977.13,958.94
325.75,892.9,930.14,912.71,927.95,956.98,951.29
326.61,872.61,930.17,946.35,913.84,946.4,961.05
327.47,878.14,925.5,934.61,924.76,966.32,951.25
328.33,880.37,929.55,925.61,924.96,956.26,954.88
329.19,876.01,921.24,918.35,910.66,943.87,949.44
330.06,870.29,912.28,916.08,908.63,945.09,946.19
330.92,870.71,915.18,920.61,920.04,952.61,956.74
331.78,877.56,918.88,926.43,925.53,957.2,966.49
332.64,879.04,911.42,929.91,941.02,962.78,959.27
333.5,893.25,931.8,924.63,936.63,946.88,958.41
334.36,886.82,922.1,927.95,912.47,959.35,957.55
335.22,891.7,925.66,917.37,934.66,941.37,955.95
336.08,889.38,930.62,915.47,928.48,948.38,961.77
336.95,884.26,923.73,919.71,920.68,960.67,963.43
337.81,873.45,913.12,918.63,923.69,957.75,960.72
338.67,866.11,908.98,913.26,924.13,947.03,956.67
339.53,877.93,913.86,910.36,920.37,951.21,948.53
340.39,872.66,942.4,891.02,931.59,976.4,944.57
341.25,867.39,924.71,909.66,913.9,957.82,958.77
342.11,899.57,917.01,915.81,946.16,960.89,943.84
342.97,897.54,914.26,914.7,942.84,949.54,948.59
343.84,888.15,907.06,909.04,917.14,947.81,950.5
344.7,897.55,914.08,902.97,915.29,960.65,950.23
345.56,894.24,926.15,905.64,928.39,960.47,950.01
346.42,867.14,924.94,910.47,922.14,951.44,950.92
347.28,872.29,919.98,898.63,903.54,974.85,956.67
348.14,888.48,921.06,902.51,907.05,958.46,955.44
349,889.41,925.52,912.29,927.49,970.02,946.6
349.86,895.24,925.91,917.21,927.56,966.1,954.06
350.73,893.06,918.21,925.89,929.34,954.48,946.79
351.59,882.18,908.48,918.57,937.35,950.65,948.86
352.45,887.63,919.3,913.14,942.78,945.35,953.47
353.31,900.72,931.26,917.1,944.8,944.98,960.98
354.17,899.75,923.82,924.37,944.83,960.23,976.6
355.03,893.81,926.65,931.19,936.12,974.03,980.21
355.89,876.5,930.6,901.32,928.78,966.81,939.89
356.75,895.22,944.85,928.91,938.6,955.28,963.04
357.61,879.99,946.16,937.09,921.74,972.85,955.46
358.48,887.84,919.71,917.56,934.97,957.79,962.93
359.34,891.87,918.18,906.74,934.97,940.53,967.79
360.2,874.94,915.75,915.51,935.32,955.73,958.26
361.06,855.68,912.55,926.21,935.11,969.56,949.81
361.92,860.03,922.51,925.86,926.23,959.26,946.17
362.78,881.09,915.19,923.2,934.3,975.44,929.62
363.64,886.59,920.04,903.25,937.48,951.22,972.48
364.5,895.54,911.16,919.3,929.51,944.13,948.48
365.37,876.07,910.41,905.31,919.1,944.35,957.76
366.23,883.35,923.08,890.54,933.03,948.78,953.4
367.09,874.85,920.77,892.91,932.81,945.87,948.09
367.95,867.91,919.83,895.92,918.8,940.7,952.26
368.81,867.95,914.85,901.69,914.56,937.91,950.32
369.67,866.49,903.28,921.74,913.78,940.89,936.01
370.53,875.41,914.12,936.65,884.6,951.34,937.32
371.39,879.25,901.84,912.1,883.55,943.71,951.22
372.25,870.39,926.82,894.31,912.99,942.85,923.63
373.12,880.53,911.31,894.7,911.03,954.38,933.21
373.98,872.07,916.3,908.71,913.07,950.39,935.67
374.84,870.92,911.2,911.68,905.72,943.61,936.92
375.7,871.93,900.25,898.65,905.77,938.9,927.23
376.56,866.67,892.82,890.71,912.48,936.54,920.67
377.42,859.45,891.21,892.83,912.65,934.26,927.06
378.28,858.41,895.18,885.83,907.51,931.39,930.78
379.14,860.84,898.25,893.68,903.09,937.49,943.91
380.01,870.7,917,899.07,898.66,930.39,931.45
380.87,862.7,914.51,905.31,906.99,932.63,940.24
381.73,847.15,896.87,899.71,890.71,939.05,923.36
382.59,871.52,900.49,896.15,883.93,925.26,942.36
383.45,870.92,900.18,889.65,889.93,929.37,940.6
384.31,857.49,894.6,885.75,893.11,940.36,924.32
385.17,862.94,888.1,892.22,884.66,934.54,922.97
386.03,865.6,879.81,899.89,882.14,921.79,929.79
386.89,854.23,900,890.09,913.65,912.39,944.9
387.76,851.6,916.99,894.59,903.86,913.32,916.35
388.62,869.33,902.99,908.83,908.24,923.98,913.48
389.48,870.89,924.54,895.91,923.64,937.84,914.72
390.34,870.72,907.68,880.97,920.49,940.07,925.28
391.2,865.1,895.68,874.07,900.51,948.5,922.29
392.06,863.57,896.19,872.8,906.36,936.62,922.69
392.92,869.33,891.63,874.61,924.45,912.02,929.21
393.78,873.9,886.04,880.6,910.34,916.46,920.11
394.64,872.52,897.36,891.04,890.63,941.14,903.18
395.51,864.03,880.07,903.24,911.59,925.76,932.68
396.37,864.97,897.11,886.27,899.1,905.2,940.77
397.23,845.27,897.61,888.31,894.05,923.47,924.9
398.09,866.35,891.7,885.44,890.33,943.54,915.67
398.95,864.49,895.03,888.99,889.25,932.49,920.85
399.81,855.7,895.46,887.52,889.28,918.68,918.86
400.67,855.08,891.33,886.79,900.27,919.02,905.22
401.53,856.02,891.08,891.27,914.25,931.03,899.36
402.4,857.13,893.43,889.4,905.28,941.18,913.51
403.26,865.05,889.46,888.96,889.07,913.5,926.15
404.12,871.37,897.55,876.45,895.38,909.95,931.56
404.98,853.85,900.33,882.49,915.8,940.82,928.13
405.84,867.9,895.26,877.89,909.97,928.6,924.57
406.7,860.45,893.74,878.4,901.5,934.79,923.04
407.56,866.07,898.91,880.56,886.03,927.44,929.6
408.42,874.22,899.52,880.05,890.2,919.45,938.51
409.28,877.01,892.92,879.94,902.05,916.36,933.71
410.15,878.62,883.43,882.26,895.98,908.11,922.24
411.01,869.18,874.49,882.49,896.28,907.98,935.16
411.87,881.17,893.53,887.21,893.89,908.25,934.72
412.73,869.56,887.28,880.96,895.73,926.22,898.87
413.59,857.1,885.27,855.21,896.71,917.05,919.83
414.45,852.78,896.17,881.25,902.11,917.5,924.7
415.31,852.06,903.23,889.79,888.51,928.57,931.41
416.17,864.53,916.39,885.51,888.07,934.86,940.96
417.03,871.21,908.56,892.42,888.88,939.73,945.6
417.89,869.22,892.48,897.78,890.43,945.38,944.06
418.76,871.05,902.1,887.36,911.18,943.78,939.76
419.62,862.54,891.63,898.24,916.41,935.16,932.39
420.48,896.08,888.07,893.61,905.12,913.94,934.71
421.34,857.51,884.5,883.76,904.26,928.34,951.8
422.2,861.05,893.33,897.05,907.53,920.44,965.61
423.06,874.08,891.64,889.15,912.61,932.34,934.15
423.92,876.65,905.26,888.8,904.94,918.88,925.63
424.78,867.74,910.67,898.41,901.94,917.02,939.78
425.64,865.25,910.29,899.66,896.37,930.28,933.48
426.51,875.5,905.1,896.65,887,932.52,917.38
427.37,882.61,887.16,901.58,893.95,925.69,934.35
428.23,879.35,893.91,886.07,909.32,930.96,939.38
429.09,883.39,897.35,892.12,930.29,918.02,924.3
429.95,862.73,891.98,884.96,919.53,930.66,918.02
430.81,858.44,908.69,896.6,921.03,931.83,932.2
431.67,885.23,896.75,878.55,924.49,936.89,912.53
432.53,874.98,895.51,871.02,900.94,949.4,929.48
433.39,864.11,900.15,874.54,895,933.67,940.39
434.26,866.92,899.96,889.59,904.14,923.81,939.35
435.12,868.45,901.15,908.74,903.17,946.62,944.62
435.98,869.18,904.75,906.99,903.95,961.05,943.99
436.84,868.74,890.83,885.85,916.32,955.36,940.83
437.7,865.45,892.19,902.61,898.28,965.11,934.82
438.56,873.61,912.95,902.64,917.25,966.95,940.25
439.42,862.02,899.98,901.86,901.66,950.68,930.88
440.28,863.75,905.5,907.5,918.96,925.46,946.14
441.14,868.58,904.47,901.62,912.64,942.81,936.56
442,879.98,905.56,903.63,901.94,949.27,941.06
442.87,890.26,909.76,919.23,895.38,943.82,942.31
443.73,889.3,911.59,926.25,898.67,951.57,930.51
444.59,884.03,911.8,916.04,914.45,959.85,937.69
445.45,885.61,910.53,918.98,903.8,957.27,937.75
446.31,866.28,926.58,912.48,914.23,949.83,943.62
