wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
210.27,1308.1,1286.8,1418.3,1340.6,1341.9,1189
211.13,1298.6,1285.1,1442.6,1315.5,1341,1210.7
211.99,1316,1290.7,1470.9,1326.2,1336.1,1203.8
212.85,1328.9,1292,1460.6,1308.5,1345.9,1217
213.7,1322,1290.3,1438.7,1326,1339.4,1216.8
214.56,1315.1,1277.7,1431.6,1348,1334.2,1224.8
215.42,1320.3,1265.4,1432.9,1342.9,1351.7,1234.6
216.28,1326.5,1277.7,1425.7,1331.4,1375,1214.1
217.14,1328.8,1297.5,1456.4,1338.7,1342.5,1231.1
217.99,1321,1277.5,1432.1,1328.3,1360.7,1236.3
218.85,1289.7,1303,1442.6,1360.3,1359.2,1237.8
219.71,1309.4,1300.7,1462,1341,1364.3,1261.8
220.57,1327,1287.1,1474.5,1355.1,1368.5,1266.6
221.42,1331.3,1284,1472.6,1365.9,1366.1,1257.7
222.28,1335.3,1296.1,1460.5,1332.3,1358.2,1258.8
223.14,1322.7,1314.4,1453.8,1352.5,1350.7,1257.7
224,1320.1,1326.6,1469.4,1374.2,1365.5,1255.1
224.86,1303.2,1309.4,1473.3,1365.8,1348.4,1246.6
225.71,1327.6,1311.7,1481.1,1375.3,1347.1,1250.7
226.57,1326.9,1287.5,1484,1366.7,1352,1252.4
227.43,1318.5,1289.8,1479.1,1363.7,1365.7,1252.5
228.29,1327.8,1318.6,1471.1,1373,1380.6,1252.4
229.14,1340.2,1320.2,1465.5,1370.2,1379,1251
230,1312,1310.6,1459.1,1348.7,1357.4,1250.9
230.86,1345.1,1288,1460.8,1343.5,1364.4,1249.2
231.72,1338.5,1297.9,1479.3,1369.2,1376.1,1253
232.58,1335.3,1305,1477.4,1348.8,1381.7,1277.2
233.43,1338.2,1310.2,1482.5,1356.4,1375,1274
234.29,1342.2,1320.3,1488,1368.5,1361.1,1261.4
235.15,1347.6,1326,1482,1361.5,1351.5,1263.9
236.01,1349.5,1312,1471.4,1366.8,1354.5,1264.3
236.87,1306.5,1306.2,1456.8,1360,1363.2,1237.2
237.72,1331.7,1316.7,1502.1,1361.8,1371,1245
238.58,1335.8,1317.2,1503.5,1371.1,1388.7,1271
239.44,1334.7,1320.2,1485,1367.7,1369.4,1266.4
240.3,1331,1321,1462.5,1355,1373,1259.5
241.15,1329.9,1301,1464.5,1354.2,1381.7,1258.9
242.01,1338.6,1270.5,1486.1,1360.7,1368.7,1256
242.87,1353.6,1275.5,1473.2,1337,1377.6,1253
243.73,1335.3,1278.9,1444.5,1329.1,1381.9,1253
244.59,1316.1,1278.1,1450,1337.6,1370.8,1278.7
245.44,1308.6,1283.8,1443,1357.2,1348.6,1266.9
246.3,1314.2,1285.4,1462.3,1356.8,1354.8,1255.6
247.16,1308.1,1285.5,1467.5,1351.5,1370.2,1244.4
248.02,1295.7,1290.2,1450.4,1343.4,1360,1239.5
248.88,1300.9,1292.5,1434.1,1329.7,1325.6,1246.7
