wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.62,1106.9,1122.2,1089.8,1068.9,1080.8,1061.8
208.48,1116.4,1123.9,1098.5,1057.7,1099.9,1059.2
209.34,1135.8,1104.4,1082.7,1069.2,1072.5,1066.3
210.21,1114.1,1104.1,1072.2,1080.9,1080.3,1072.1
211.07,1110.3,1113.2,1085,1082.2,1077.6,1057.5
211.93,1112,1094.7,1082.5,1072.9,1070.4,1047.8
212.79,1108.7,1070.1,1064.1,1063,1075.3,1063
213.65,1112.3,1095.8,1071.7,1062.7,1082.9,1081.3
214.51,1081.6,1111,1070.2,1061.3,1066.2,1044.5
215.37,1105.9,1112.8,1078.9,1074.3,1073.1,1064.5
216.24,1089.3,1093.3,1080.8,1091.1,1078.5,1062.5
217.1,1084.9,1079.5,1068.5,1067.2,1066.9,1069.8
217.96,1090,1085.4,1069.4,1068.3,1063,1076.5
218.82,1091.8,1092,1076.2,1077.6,1073.9,1067.5
219.68,1090.5,1083.4,1073.9,1060.1,1084.4,1054.8
220.54,1101.7,1079,1075.1,1057.9,1077.7,1071.3
221.41,1125.2,1087.7,1058.6,1065.7,1066.4,1047.8
222.27,1117.6,1086.3,1077.3,1064.3,1076,1033.6
223.13,1100.5,1083.9,1081,1057.6,1085.8,1048
223.99,1081.9,1070.3,1069.5,1061.9,1085,1059
224.85,1081,1067.2,1063.2,1069.2,1090.5,1065.1
225.71,1100.5,1073.7,1071.4,1070.7,1096.6,1062.1
226.58,1114.7,1076.2,1086.1,1067.5,1084.2,1047.7
227.44,1087.7,1097.2,1097.1,1064,1071.2,1051.4
228.3,1099,1068.5,1050.1,1048.4,1059.1,1058.4
229.16,1087.3,1085.9,1061.1,1056.5,1065.2,1050.3
230.02,1097.3,1084.4,1075.6,1069,1071.7,1047.3
230.88,1108.3,1108.2,1076.2,1062.8,1073.5,1054.5
231.75,1110,1118.2,1062.3,1051,1069,1055.3
232.61,1099,1095,1043,1054.3,1064.1,1041.5
233.47,1079.5,1086.3,1034,1067.2,1070.5,1031.2
234.33,1088,1082.2,1056.7,1045.2,1090.8,1055.9
235.19,1085.3,1090,1037.5,1055.7,1077.7,1051.6
236.05,1068.3,1094.8,1047.1,1068.4,1079,1029.8
236.91,1075.6,1083.4,1044.7,1072.6,1060.5,1033.1
237.78,1086,1083,1042.5,1065.5,1055.5,1042
238.64,1092,1088.5,1044.4,1047.2,1066.1,1045.7
