wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.26,1432.4,1431,1478.2,1462.4,1480.7,1467.8
210.11,1404.6,1410.2,1438.3,1445,1509.3,1486.9
210.97,1432.4,1432.7,1449,1455.4,1462,1473.3
211.83,1433.5,1418.2,1465.7,1455.3,1465.3,1450.9
212.69,1409.5,1431.6,1456,1457.3,1472.5,1466.2
213.55,1403.3,1445,1433,1455,1475.9,1475.5
214.41,1418.4,1429.7,1428.7,1442,1476.9,1471.3
215.27,1415.9,1415.3,1455.8,1430.2,1467.6,1497.2
216.13,1410.4,1449,1470.7,1448.1,1460.7,1498
216.99,1426.9,1410,1457.7,1453.3,1490.2,1496.2
217.84,1428.2,1421.7,1393.2,1445.7,1488.7,1489.2
218.7,1418,1425.8,1400.5,1439.2,1476.4,1500.8
219.56,1413,1425,1437.2,1434.5,1474.9,1493.2
220.42,1415.8,1429.3,1450.4,1438.9,1472,1471.6
221.28,1418.1,1425.7,1445.6,1451.5,1470,1465.2
222.14,1415.5,1391.2,1469,1453.2,1503.5,1476.5
223,1419.8,1419,1425.5,1454.9,1447,1480.8
223.86,1416.7,1435.1,1448.3,1469.2,1448.3,1501.9
224.71,1415.3,1416.1,1446.6,1471.3,1493.5,1477.7
225.57,1417.9,1434.7,1440,1476.8,1481.4,1477
226.43,1409.3,1455.5,1444.1,1462.7,1457.2,1473.4
227.29,1407.3,1439.6,1455.5,1446,1455,1463.1
228.15,1431.8,1404.2,1461.5,1459.4,1459.6,1476.2
229.01,1429.7,1404.1,1462.2,1460.3,1479.4,1493.4
229.87,1408.8,1390.2,1432.6,1449.9,1469.8,1467.3
230.73,1425.3,1406.5,1431.6,1444.2,1465,1503.1
231.59,1441.3,1423,1432,1460.9,1466.7,1469.8
232.44,1448.6,1418.8,1449.1,1444.9,1457.8,1456
233.3,1437.5,1419.7,1457.5,1433.1,1454.7,1465.4
234.16,1418.2,1428.2,1446.9,1443,1461.3,1468.2
235.02,1416.3,1413.4,1442.8,1434,1455.5,1465
235.88,1417.7,1415.8,1435.7,1457.4,1447.3,1459.2
236.74,1402.9,1404.5,1421.8,1478.3,1465.6,1471.4
237.6,1409.3,1412.9,1417,1449.9,1492.3,1483.6
238.46,1412.6,1397.7,1430.5,1436.2,1484.3,1466.8
239.32,1412.5,1399.5,1448.5,1427,1470.5,1460
240.17,1403.4,1410.9,1462.1,1436.8,1469.3,1465.4
241.03,1392.9,1413.6,1472.2,1455,1472.3,1461.4
241.89,1408.8,1432.4,1477.7,1424.9,1466.1,1451.2
242.75,1437.5,1465.5,1445.5,1431.9,1481.8,1482.5
243.61,1415.7,1422.2,1450.2,1463.7,1470,1458.1
244.47,1397.4,1432.5,1445.9,1448.6,1471.7,1485.4
245.33,1398.6,1413.7,1455.4,1439.2,1464.6,1463.9
246.19,1419.1,1407,1447.3,1437,1454.3,1461.4
247.04,1431.5,1419.4,1425.2,1450.2,1469.4,1485.8
247.9,1422.5,1413.5,1419.5,1466.7,1492.9,1489.9
248.76,1427,1383.8,1434.2,1432.3,1439.7,1485.9
249.62,1417.4,1391.7,1455.2,1454.1,1445.8,1485
250.48,1426.2,1400.4,1446,1438.2,1432.6,1459.9
251.34,1419.5,1409.8,1455.4,1431.5,1449.2,1467.8
252.2,1413.1,1422.9,1461.8,1441.7,1450,1486.4
253.06,1414.7,1422.2,1441.5,1448.2,1456,1492.3
253.92,1415.7,1415,1428.8,1446.3,1459.4,1469.9
254.77,1403.3,1422.9,1447.5,1448.8,1446.1,1442.7
255.63,1381.3,1435.5,1421.5,1454.8,1467.6,1481.2
256.49,1384.8,1407.6,1460.8,1440.8,1440.5,1483.8
257.35,1392.4,1427.4,1454.8,1414.5,1438.2,1480.7
258.21,1401,1411.8,1460,1442.5,1442.9,1475.8
259.07,1406.3,1424.2,1434.4,1465,1450.7,1459.7
259.93,1402.6,1416.8,1420.6,1465.2,1454.5,1451.7
260.79,1385.7,1398.6,1435.8,1461.5,1453.7,1465.6
261.65,1374.5,1423.5,1440.8,1466.3,1451.4,1483.5
262.5,1415.8,1431.3,1409.5,1452.6,1444,1463.2
263.36,1387.8,1398.1,1390.2,1422.9,1430.8,1441.4
264.22,1414.6,1427.9,1410.3,1440.6,1475,1440
265.08,1425.2,1436.4,1415,1426.3,1496.1,1469.1
265.94,1413.3,1423.9,1418.4,1439,1474.8,1482
266.8,1408.3,1415.3,1427.2,1465.2,1453.2,1473.1
267.66,1421.1,1410.6,1436.6,1474.2,1459,1463
268.52,1427.6,1402,1440,1461,1470.2,1463.8
269.38,1401.5,1420.8,1439.1,1440.6,1444.5,1460.5
270.23,1407.6,1392.8,1427.7,1447.6,1425.2,1479.8
271.09,1425.2,1423.9,1435.2,1456.2,1456,1470.3
271.95,1411.6,1399.6,1445.4,1451,1470.7,1460.3
272.81,1405.7,1416.4,1443.3,1449.7,1463.7,1439.2
273.67,1403,1441.2,1446.7,1467.6,1452.4,1434.1
274.53,1395.1,1444.7,1442.6,1480.2,1449.3,1454.8
275.39,1395.5,1438.9,1416.8,1455.1,1454.6,1469.9
276.25,1418.7,1411.3,1423,1419.9,1465.3,1442.7
277.11,1393.3,1414.8,1411.6,1419,1468.8,1450.6
277.96,1406.1,1387.5,1421.8,1432.3,1468.2,1478.5
278.82,1397.7,1380.6,1432.5,1420.1,1462.3,1444.3
279.68,1403.5,1385.3,1431.3,1418.7,1461.8,1450.3
280.54,1412.4,1379.7,1418.3,1413.7,1452.3,1460
281.4,1417.1,1374.1,1424.7,1420.7,1449.2,1452.3
282.26,1418,1390.1,1454,1449.5,1460.3,1453
283.12,1398.8,1414.9,1437.7,1436,1438.8,1458.7
283.98,1387.3,1442.2,1453.5,1427.3,1464.2,1446.4
284.84,1387,1416.6,1390.2,1455.9,1459,1445.2
285.69,1399.4,1409.8,1408.2,1448.6,1480.6,1436.3
286.55,1394.3,1419.3,1419,1448.2,1471.4,1456.1
287.41,1393.8,1436.7,1422.9,1443.2,1487.7,1474.4
288.27,1397.8,1440.4,1431,1431.7,1490.2,1470
289.13,1392.8,1422.2,1429.6,1429.6,1450.7,1455.3
289.99,1390.3,1409.3,1404.1,1435.3,1473.6,1450.3
290.85,1400,1426,1412,1393.1,1463,1430.1
291.71,1393.9,1442.7,1418.1,1430.7,1484.9,1444.9
292.57,1405.1,1417.8,1431.1,1415.6,1462.3,1458.3
293.42,1414.7,1400.8,1433.7,1422.3,1455.3,1462.6
294.28,1404.6,1397.5,1436.1,1440.3,1461.7,1449.6
295.14,1397.1,1395.8,1430.3,1443.3,1446.9,1438.6
296,1402.8,1391,1414.3,1429.2,1428.3,1446.5
296.86,1393.8,1394,1409.7,1424.2,1457.7,1459.6
297.72,1376.6,1410.7,1425.2,1452.4,1438.9,1451.8
298.58,1392.4,1401,1429.6,1436.6,1436.3,1445.6
299.44,1378.2,1392.9,1441.9,1446.1,1433.6,1445.8
300.3,1365.9,1400.4,1418.8,1430.2,1447.1,1458.8
301.15,1387.9,1400.6,1415.4,1428.2,1460.1,1457.8
302.01,1407.3,1395.3,1424.3,1436.6,1446,1454.2
302.87,1396.3,1393.6,1431.6,1436,1431.6,1459.8
303.73,1378.9,1390.6,1436.3,1431.2,1456.2,1467.3
304.59,1389.4,1376,1404.7,1448.7,1459,1471.6
305.45,1417.5,1424.5,1413.5,1445.2,1435.2,1454.9
306.31,1374.8,1388.6,1401.5,1416.6,1435.7,1450.7
307.17,1373.9,1399.6,1431.2,1421,1471.1,1460.7
308.03,1406.3,1395.1,1431.5,1438.1,1442.6,1451.3
308.88,1414.5,1379.3,1411.5,1434.1,1444.1,1444.9
309.74,1398,1374.2,1405.8,1411.4,1473.8,1441.2
310.6,1390.5,1388,1425,1406.6,1465.1,1437
311.46,1390.2,1408.6,1445.3,1439,1457.1,1458.5
312.32,1398.9,1377.2,1432.9,1431.8,1464.9,1433.1
313.18,1382.2,1420.4,1410,1402.8,1442,1450.7
314.04,1400,1403,1417.8,1450.5,1458.2,1456.8
314.9,1411.8,1408.3,1424.9,1438,1446.4,1462.5
315.76,1401.7,1404.9,1420.1,1440,1455.1,1440.5
316.62,1397.1,1396.8,1408.2,1450.4,1444,1426.1
317.47,1406.1,1398.9,1410.1,1442.2,1419.7,1445.5
318.33,1399.9,1397.2,1431.5,1429.5,1447.7,1466
319.19,1382.5,1379.9,1418.9,1392.6,1427.8,1458.5
320.05,1402.8,1378.1,1403,1414.6,1425.2,1479.7
320.91,1395.7,1382.1,1436.8,1418.5,1478.9,1448.7
321.77,1402.5,1375.9,1424.1,1419.7,1464.4,1425.6
322.63,1398.2,1391.5,1418.4,1434.3,1462.9,1458.9
323.49,1392.1,1409.8,1420,1446.9,1463.2,1460.1
324.35,1383.8,1409.5,1422.5,1443.2,1440.3,1445.4
325.2,1382.9,1409.1,1427.7,1433.5,1426.5,1469.5
326.06,1415.6,1435.6,1430.5,1438.8,1472.2,1466.3
326.92,1392.3,1386.2,1433.7,1423.1,1460.1,1435.4
327.78,1402.1,1398.6,1416,1420.4,1466.3,1459.3
328.64,1416.5,1410.2,1417.9,1469.4,1459.9,1462
329.5,1421.6,1399,1413,1467.9,1450.6,1443.4
330.36,1405.2,1395.3,1430.9,1458,1446.4,1434.6
331.22,1400.4,1398.9,1440.1,1456.7,1439.9,1439.4
332.08,1420.7,1395.5,1430.6,1460.1,1440.3,1443.1
332.94,1435.7,1393.6,1431.3,1464.4,1457.7,1443.8
333.79,1424,1421.5,1430.3,1454.8,1456.7,1461.3
334.65,1410.8,1406.4,1443.6,1430,1454,1454.3
335.51,1425.1,1423.2,1452.5,1473.2,1440.2,1449.8
336.37,1414.1,1395.5,1442.8,1457.3,1449.8,1475.2
337.23,1413.9,1381.2,1432,1429.2,1463.4,1458.9
338.09,1388.7,1387.8,1427.9,1426.7,1463.2,1460.6
338.95,1374.2,1404,1446.4,1432.6,1453.5,1467.2
339.81,1398.5,1407.4,1454.1,1427.3,1444,1450.1
340.67,1412.8,1387.4,1411.4,1429.4,1448.4,1444.3
341.52,1398.7,1393.9,1441.8,1451.8,1497.4,1464.5
342.38,1384.6,1393,1441,1441.2,1415.8,1470.7
343.24,1369.6,1411.3,1399.3,1426.4,1438.4,1447.8
344.1,1394.8,1423.6,1416,1430,1439.6,1451
344.96,1411.2,1402.8,1417.4,1432,1457.3,1455.9
345.82,1410.9,1395.9,1395.1,1431.6,1449.7,1449.2
346.68,1394.3,1418.7,1392.3,1432.4,1430.4,1437
347.54,1385.3,1432.8,1423.3,1436.6,1430.5,1442.6
348.4,1412.6,1410.2,1438.2,1440.1,1426.5,1474.7
349.26,1389.5,1410.2,1408,1415.9,1439.8,1459.7
350.11,1402,1393.4,1431.9,1440.7,1417.7,1427.8
350.97,1402.2,1392.8,1466.5,1420.7,1441.1,1454.5
351.83,1400.6,1405,1442.9,1421.4,1431.4,1449.2
352.69,1397.1,1393.5,1447,1429.1,1436.1,1453.6
353.55,1398.4,1403.5,1445,1424.2,1439.5,1463.5
354.41,1409.5,1420.4,1428,1423.3,1440.3,1452.5
355.27,1405.1,1404.7,1426.4,1443.2,1448.3,1428.4
356.13,1361,1399.3,1429.7,1452.9,1447,1438
356.99,1396.5,1441.8,1422.6,1416.8,1464.9,1472.3
357.84,1404.5,1407.1,1416.4,1414.2,1437.3,1447.4
358.7,1383.5,1415.3,1444.9,1422,1436.4,1439.5
359.56,1367.8,1415.2,1435.8,1405.9,1438.9,1481.4
360.42,1383.3,1419.9,1421.8,1422,1445.7,1468
361.28,1382.6,1418.3,1423,1447.1,1444.1,1453.8
362.14,1388.6,1418.2,1429.4,1445.5,1441.4,1458.1
363,1417.8,1416.1,1434.6,1420.2,1452.1,1445.4
363.86,1396.3,1381.9,1446.6,1404.4,1464.1,1433.5
364.72,1436,1404.3,1416.3,1429.4,1460.3,1429.4
365.58,1394.2,1385.6,1429.6,1409.9,1474.5,1435.7
366.43,1417.3,1386.4,1440.5,1429.3,1461.2,1424.9
367.29,1409.5,1380.7,1444.9,1415.2,1449.3,1425
368.15,1391.2,1392.2,1431,1399,1467.1,1441
369.01,1380.2,1400.5,1414.5,1411.5,1450.9,1452.2
369.87,1381,1407.5,1412.2,1429,1423.7,1452.9
370.73,1388.8,1425.2,1421.6,1429.8,1447.7,1455.7
371.59,1399.9,1430.9,1431.3,1447.5,1482.6,1464.8
372.45,1426.4,1414.3,1457.2,1473,1459.7,1462.1
373.31,1378.3,1419.6,1466.1,1406.2,1459.7,1459.5
374.17,1390.5,1409.3,1413.9,1446,1449,1441.1
375.02,1388.1,1400.5,1417.8,1449,1458.9,1447.3
375.88,1407.8,1401,1419.5,1440.3,1451.5,1462.2
376.74,1405.9,1413,1404.2,1444.5,1430.7,1470.8
377.6,1384.8,1411.7,1416.8,1446.6,1428.3,1479.3
378.46,1388,1392.3,1446.7,1432.1,1446.1,1480.7
379.32,1413.4,1389.9,1426.3,1428.3,1452.2,1448.8
380.18,1403.1,1399.2,1436.7,1471.2,1465.8,1415.6
381.04,1430.8,1401.9,1410,1425.7,1493.4,1446.8
381.9,1415.9,1412.2,1424,1431.2,1465.8,1442.4
382.76,1395.3,1414,1414.1,1414.1,1447.3,1471
383.61,1400.6,1426.7,1434.5,1431.8,1470,1465.4
384.47,1410.9,1422.4,1449.7,1434,1466.1,1468.5
385.33,1424.3,1412.4,1422.5,1429.2,1463,1475.1
386.19,1427,1412.4,1395.6,1439.2,1468.6,1467.1
387.05,1397.1,1406.7,1424.5,1445.6,1439.1,1464.2
387.91,1379.3,1392.3,1433.9,1450.8,1448.2,1469.8
388.77,1397.2,1412.8,1417.8,1468.6,1480.4,1455.5
389.63,1427.5,1428,1423.8,1471.5,1460.3,1439.4
390.49,1416.6,1421.4,1420.8,1453.2,1477.1,1451.4
391.35,1397.6,1432.4,1431.7,1462.7,1465.2,1480.2
392.2,1405.2,1445.2,1435.4,1459.1,1460,1483.9
393.06,1414.6,1428.4,1432.7,1445.4,1464,1481
393.92,1415,1400.9,1430.6,1441.8,1465.3,1479
394.78,1408.1,1396.2,1425.7,1445.7,1465.1,1469.8
395.64,1379.4,1399.8,1420.8,1441,1468,1471.7
396.5,1415.4,1434.3,1445.3,1433.9,1476.4,1438
397.36,1434.2,1416.4,1438.2,1408,1472,1452.3
398.22,1414.2,1429,1449.2,1471.3,1491.4,1481.5
399.08,1398.2,1389.5,1440.8,1467.8,1455.2,1464.3
399.94,1417.7,1395.8,1436,1461.7,1450,1456.6
400.79,1453.7,1422.8,1446.8,1455.5,1437.7,1448.7
401.65,1461.2,1416.7,1438.9,1446.3,1441.1,1457.9
402.51,1439.8,1411.1,1425.7,1452.7,1467.2,1486.1
403.37,1430.7,1455.9,1451.3,1470.9,1454.2,1489.7
404.23,1423.4,1437.2,1423,1443.7,1450.6,1477.5
405.09,1438.7,1419.2,1436.4,1429.4,1430.8,1468.5
405.95,1440.7,1452.5,1470.1,1446,1458.8,1466.7
406.81,1423,1446.1,1464.4,1467,1465.7,1481.2
407.67,1423.4,1432.2,1458.9,1460.8,1466.6,1483.4
408.53,1431.7,1432.7,1468.4,1465.6,1467.1,1458.4
409.38,1430.5,1440.3,1458.3,1461.2,1488.1,1450.3
410.24,1439.7,1437.8,1445.5,1453.5,1501.7,1463.3
411.1,1449.4,1421.3,1456.9,1458.2,1478,1461.5
411.96,1404.3,1405.5,1449.2,1442.3,1458.9,1456.1
412.82,1430.5,1408.3,1446.5,1453.5,1457.2,1499.6
413.68,1401.8,1412.8,1429.5,1471.5,1484,1452.1
414.54,1414.7,1410.5,1403.9,1474.2,1462.6,1436.8
415.4,1435.2,1433.1,1433.1,1463.3,1481.6,1472.5
416.26,1411.1,1422.4,1440,1460.2,1452.2,1479.1
417.12,1408.9,1408.2,1446.2,1461.1,1451,1474.4
417.98,1424.9,1415.1,1457.9,1461.1,1476.3,1462.1
418.83,1409.9,1432.4,1455.1,1460.3,1486.2,1454.2
419.69,1387,1435.9,1441.8,1459.2,1478.4,1463.5
420.55,1434.9,1420.2,1448.3,1457.5,1464,1453.7
421.41,1411.7,1427.3,1421.8,1456.5,1480.4,1474.2
422.27,1417.1,1404.8,1461.3,1453,1476.8,1466.2
423.13,1410.9,1424.5,1455.4,1448.6,1465.7,1482.1
423.99,1411,1442.8,1431,1450.6,1470,1452.9
424.85,1421.6,1431.8,1448.7,1452.4,1470.6,1439.9
425.71,1420.8,1428.8,1443,1459,1461.6,1455.2
426.57,1423.9,1424.5,1428.9,1461,1464.1,1480.1
427.42,1425.8,1412.9,1443.2,1449.4,1465.3,1485.6
428.28,1400.3,1423.4,1452.6,1445.3,1444.3,1470.3
429.14,1395,1438.9,1431.3,1473.3,1464.3,1483.7
430,1418.7,1437.8,1401.3,1432.3,1485.3,1484
430.86,1414.2,1425.1,1445.4,1452.1,1480.8,1456.1
431.72,1412.2,1442.8,1433.9,1446.6,1486.2,1453.6
432.58,1411.2,1433.3,1449.8,1451.4,1470.2,1467.2
433.44,1428.2,1425.5,1440.7,1463.9,1484.4,1462.7
434.3,1410,1423.5,1430.9,1470.5,1483.5,1471.6
435.16,1390.9,1429.3,1440.2,1462.3,1460.8,1488.9
436.02,1405.2,1420.8,1454.6,1445.6,1456,1492.3
436.87,1409,1389.2,1449.3,1435,1468.9,1484.1
437.73,1397.8,1412.1,1417.8,1432.9,1447.8,1466.9
438.59,1396.6,1441.2,1450.8,1447,1438.2,1483.8
439.45,1418.2,1405.2,1470.7,1484.8,1518.4,1491.9
440.31,1429.2,1440.7,1428.8,1468.4,1477.7,1478.6
441.17,1423.2,1430.9,1450.5,1441.8,1469.5,1472
442.03,1440.2,1417.1,1466.1,1442.6,1481,1461.9
442.89,1454.3,1425.1,1456.8,1456.7,1487.4,1460.3
443.75,1437.9,1430.4,1465.6,1467.7,1472.4,1475.6
444.61,1410,1423.3,1475.9,1469.7,1461.6,1501.5
445.46,1409.3,1429.1,1445.8,1460.4,1481.5,1513.3
446.32,1425.7,1440.1,1451.2,1448,1485.9,1485.8
447.18,1402.9,1403.6,1456,1452.2,1489.1,1485.1
448.04,1414.6,1444.2,1447,1448.6,1483.7,1447.3
448.9,1439.8,1436.1,1456.4,1458.5,1470.7,1490.9
449.76,1431.1,1437.7,1461.3,1462.7,1472,1482.6
450.62,1417.5,1430,1448.1,1463.5,1482.4,1469.6
451.48,1410.9,1429.4,1456.8,1451.4,1475.3,1469.5
452.34,1416.3,1420.3,1455.4,1453.2,1472.1,1474
453.2,1424.6,1406.1,1435.2,1459.4,1477.1,1459
454.06,1427,1405.2,1436.7,1444.3,1464.9,1442.6
