wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.16,661.05,737.42,741.9,710.01,708.84,751.33
209.02,682.72,731.36,751.44,699.61,707.1,754.8
209.88,675.84,712.24,747.11,701.45,711.89,750.92
210.74,680.83,705.27,750.78,708.83,704.12,766.38
211.59,686.75,715.01,744.74,718.61,704.96,766.84
212.45,684.82,721.91,738.84,721.49,713.6,759.33
213.31,677.29,713.29,736.57,716.57,714.86,757
214.17,673,702.68,729.23,712.39,705.98,758.07
215.03,673.28,723.07,735.87,708.72,727.85,763.43
215.89,684.56,725.67,730.66,697.44,721.77,740.88
216.75,682.97,726,726.22,702.06,718.73,757.68
217.61,669.49,717.87,738.14,714.01,708.62,765.25
218.47,663.98,718.93,748.47,717.53,717.82,760.57
219.33,667.45,726.09,746.65,713.55,728.65,754.27
220.19,672.78,725.46,736.92,707.76,720.77,758.09
221.04,681.1,717.6,729.7,697.2,720.9,772.81
221.9,673.28,722.82,727.09,698.94,728.72,753.68
222.76,676.35,716.3,731.19,714.91,716.44,737.92
223.62,681.95,724.19,736.95,711.64,703.39,749.14
224.48,684.58,719.35,731.5,715.92,716.88,765.96
225.34,678.31,717.46,732.24,721,722.86,771.32
226.2,673.47,719.53,740,721.32,714.63,762.01
227.06,682.29,712.92,742.4,718.49,718.96,751.03
227.92,687.03,715.97,751.97,703.81,730.81,759.46
228.78,671.36,699.44,735.44,716.86,711.67,750.76
229.64,676.36,713.1,718.11,709.26,710.79,750.79
230.49,676.01,726.3,727.95,712.98,711.66,761.63
231.35,682.48,721.92,730.73,710.66,706.12,753.64
232.21,683.33,718.86,733.07,703.98,713.15,746.45
233.07,672.79,720.21,737.31,703.76,727.69,756.86
233.93,667.29,707.49,726.76,710.41,718.71,764.8
234.79,669.05,721.81,736.84,707.02,716.92,752.08
235.65,671.66,711.35,728.13,707.89,712.56,756.44
236.51,678.83,707.73,730.03,705.73,715.79,757.76
237.37,675.96,709.52,724.07,705.63,717,751.7
238.23,671.5,704.99,722,708.5,728.52,750
239.09,665.53,709.43,726.98,709.88,728.83,754.61
239.95,665.57,726.51,734.2,707.76,710.98,757.29
240.8,688.88,724.88,737.76,709.31,713.88,750.96
241.66,688.01,724.01,713.39,726.72,713.01,743.12
242.52,675.13,723.14,716.43,706.41,704.42,763.59
243.38,675.92,728.84,726.49,694.24,711.76,747.29
244.24,669.78,723.17,740.23,701.23,708.98,743.01
245.1,667.85,712.78,736.1,705.63,711.16,740.73
245.96,669.61,705.27,723.31,704.39,715.23,739.12
246.82,664.15,700.9,722.66,705.25,710.66,742.59
247.68,656.13,699.96,725.56,699.46,713.37,734.46
248.54,676.2,727.89,730.79,703.83,716.86,738.83
249.4,675.32,713.92,726.81,706.51,710.3,747.38
250.25,671.45,713.84,730.26,696.34,706.16,740.47
251.11,666.5,709.16,733.75,693.75,699.16,734.08
251.97,668.11,709.57,734.09,699.11,695.91,740.67
252.83,667.73,713.35,734.32,701.36,702.6,752.65
253.69,658.01,711.62,735.38,695.39,708.92,752.75
254.55,661.69,717.07,728.3,692.69,689.23,740.93
255.41,658.2,706.59,720.44,689.2,691.85,751.41
256.27,660.47,720.01,718.35,699.72,697.77,749.53
257.13,661.7,713.93,720.09,706.88,699,742.02
257.99,671.16,709.43,723.29,706.71,698.43,741.86
258.85,676.21,710.34,722.77,703.21,704.7,739.98
259.7,671.12,709.76,721.92,703.88,707.23,741.73
260.56,666.75,703.83,726.58,711.95,695.2,749.77
261.42,673.93,699.35,729.07,717.48,696.28,724.77
262.28,673.06,703.72,729.94,686.01,699.78,734.38
263.14,664,718.73,715.27,690.55,699.18,748.1
264,671.71,712.29,720.33,692.69,707.33,744.06
264.86,671.45,712.55,728.55,690.16,709.86,735.88
265.72,665.34,706.68,724.45,689.78,697.46,738.21
266.58,661.04,698.19,717.24,696.15,695.45,742.49
267.44,659.39,703.06,722.58,703.64,715.78,734.22
268.3,661.07,695.91,724.58,697.93,690.28,732.2
269.16,661.95,707.29,719.33,697.05,693.78,747.07
270.01,666.93,706.36,722.29,704.39,688.25,742.25
270.87,664.51,722.03,725.79,713.67,698.85,749.36
271.73,661.85,718.68,726.43,697.51,704.57,750.13
272.59,659.2,714.6,716.56,690.64,696.46,749.35
273.45,663.19,715.09,714.13,698.7,691.22,748.72
274.31,670.55,707.2,729.77,696.81,700.99,742.59
275.17,650.1,706.03,717.47,700.47,697.55,737.39
276.03,662.38,684.11,722.74,705.74,703.69,741.78
276.89,664.66,713.77,712.19,700.18,696.51,739.5
277.75,665.71,712.2,719.92,704.67,700.67,738.29
278.61,664.83,716.62,720.48,696.45,704.76,740.93
279.46,670.95,712.73,714.76,689.93,696.73,734.66
280.32,674.23,704.72,711.34,692.36,687.36,731.81
281.18,660.87,709.78,713.96,694.13,690.43,741.74
282.04,646.95,707.39,719.86,691.1,692.76,731.42
282.9,655.73,692.46,709.33,691.97,699.78,744.59
283.76,653.45,697.1,717.51,692.85,701.7,744.15
284.62,665.39,713.3,716.81,698.83,702.73,738.9
285.48,665.15,711.72,717.82,698.57,698.15,749.74
286.34,664.91,704.58,719.49,695.54,689.18,750.73
287.2,665.1,697.65,721.81,699.44,689.53,744.09
288.06,662.16,695.05,722.6,706.12,699.56,745.52
288.92,669.24,710.05,716.07,698.31,696.66,742.45
289.77,671,703.02,723.98,707.97,708.97,731.03
290.63,660.49,706.5,712.61,697.49,699.36,720.49
291.49,660.51,700.96,715.53,686.18,700.26,722.78
292.35,663.54,699,711.29,688.08,701.63,734.79
293.21,657.8,695.4,710.06,696.66,695.83,743.57
294.07,651.39,693.18,712.39,700.03,692.36,749.94
294.93,651.18,698.55,709.73,690.45,693.27,750.27
295.79,651.43,707.85,703.43,671.78,684.78,733.93
296.65,664.34,706.4,716.78,666.08,678.32,728.13
297.51,645.87,689.69,710.62,695.98,687.11,731.64
298.37,651.12,690.37,712.37,681.6,698.28,745.44
