wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.59,1236.7,1219.2,1205.8,1184.4,1199.1,1185.3
208.45,1212.4,1220.9,1193.7,1188.7,1189.6,1177.5
209.31,1201.2,1234.9,1204.4,1177.6,1195.5,1188.4
210.17,1203.1,1210.7,1221.3,1197.5,1190.9,1190.3
211.03,1210,1200.8,1223,1199.2,1197.9,1192.8
211.89,1208.1,1203.4,1204.8,1192,1203.1,1195
212.75,1197.7,1213.1,1202.4,1192.3,1194.7,1195.9
213.62,1197,1233.4,1240.6,1194.5,1184.2,1195.7
214.48,1224.3,1219.1,1211.9,1202.9,1184.8,1183.6
215.34,1194.8,1224.3,1248.3,1198.5,1176.1,1207
216.2,1216.7,1233.3,1210.6,1178.3,1181.1,1193.3
217.06,1214.4,1225.4,1224.5,1183.9,1172.4,1191.8
217.92,1203.1,1225.9,1223.7,1210.8,1185.3,1196.5
218.78,1197.6,1223.6,1195.5,1212.5,1200.3,1179.8
219.64,1198.4,1213.7,1176.5,1186.2,1192.7,1156.6
220.5,1202.5,1235.9,1181.8,1206,1195.8,1187.4
221.36,1198.2,1235,1240.9,1197.3,1202.8,1147.4
222.22,1229.8,1238.3,1204.5,1208.7,1211.4,1187
223.08,1225.4,1219.2,1201.2,1197.6,1203.1,1215.5
223.95,1234.8,1218.5,1198.4,1190.8,1204.2,1185.4
224.81,1233.8,1221.3,1196.8,1190.5,1198.6,1174
225.67,1217.2,1222.1,1210.3,1197.6,1197.4,1186.8
226.53,1212.3,1230.6,1228.7,1208.9,1219.6,1172.3
227.39,1218.5,1230.7,1202.9,1195.7,1216.2,1187.3
228.25,1227.2,1258.6,1234.3,1207,1186.6,1191.6
229.11,1243.1,1210.9,1223.5,1214.4,1225.3,1176.9
229.97,1224.4,1211.3,1208.7,1204,1224,1181
230.83,1209.8,1223.3,1201.9,1195.3,1218,1197.8
231.69,1210.6,1226,1214.8,1189.8,1196.9,1203.3
232.55,1211.9,1220,1229.8,1187.5,1175.9,1198.9
233.41,1202.8,1212.2,1210.7,1193,1204.6,1204.9
234.28,1213.2,1213.1,1180.2,1187.6,1219.4,1181.3
