wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.28,7910.4,8828.2,5718.4,5321.1,5285.8,5536.9
210.13,7946.9,8862,5796.4,5385.2,5252,5536.1
210.99,7942.5,8918.7,5781.4,5357.2,5309.6,5545.8
211.85,8018.8,8938.5,5768.8,5398.5,5327.8,5516.6
212.71,8045.6,8938.7,5782.1,5419.9,5362.5,5558.1
213.57,8069.8,9031,5804.8,5429,5361.4,5614.9
214.42,8095.7,9119,5835.3,5448.4,5328.7,5625.4
215.28,8064.7,9015.7,5878.9,5476.9,5358.5,5629.6
216.14,8148,9054.7,5869,5558.2,5444.1,5717.1
217,8228.7,9123.3,5947,5527,5449.3,5762.2
217.86,8222.4,9006.3,5963.1,5602.5,5509.8,5714.2
218.71,8194.5,9175,5949.4,5562.3,5511.5,5711.4
219.57,8243.2,9153.3,5947.9,5554.6,5475.3,5726.4
220.43,8303.4,9060.6,5979.9,5616,5453,5750.8
221.29,8316.9,9170.6,6042.8,5665.4,5467.9,5795.9
222.15,8395.5,9202.6,6113.4,5660,5499,5837.9
223.01,8504.1,9233.9,6125.6,5660,5542.5,5802.3
223.86,8555.7,9337.2,6131.9,5703.6,5621.9,5854.6
224.72,8605.3,9290.5,6174.7,5721.9,5581.9,5935.7
225.58,8650.3,9290.1,6236.4,5724.3,5586.1,5965
226.44,8698.2,9331.9,6252.1,5755.1,5663.5,5978.4
227.3,8762.9,9401.9,6230.7,5810.4,5735.9,5993.7
228.15,8827.8,9496.7,6239.8,5860.8,5736.5,6001
229.01,8817.8,9508.5,6281.5,5933.1,5735.8,6048.9
229.87,8814.3,9581.6,6257.1,5902.6,5828.9,6112.5
230.73,8957,9530.8,6390.1,5916.7,5839.4,6159.3
231.59,9010.6,9557.8,6458.9,5954.9,5869.2,6182
232.44,9063.4,9612.7,6503.2,6001.9,5925.7,6250.5
233.3,9159.9,9706,6547.6,6052.7,5976.6,6336.2
234.16,9268.4,9834.2,6587.1,6108.6,5994.4,6378.7
235.02,9335.4,9929.9,6622.4,6163.9,5992.5,6370.1
235.88,9368.5,9963.2,6688.8,6187.9,6035.6,6372
236.74,9447.7,9922.3,6679.2,6238.5,6013.8,6427.8
237.59,9572.5,9901.1,6765.2,6235.9,6053.5,6492.6
238.45,9625.4,9942,6777.9,6245,6150.1,6460.6
239.31,9623.5,9929.9,6762,6279.6,6182,6467.1
240.17,9577.4,9963.6,6734.5,6320,6188.1,6531.7
241.03,9540.2,10046,6718.8,6322.2,6211.1,6566.8
241.88,9608.1,9915.8,6777.1,6253.8,6163.7,6512.7
242.74,9623.8,9876.6,6778,6199.9,6176.8,6412.6
243.6,9588.8,9880.3,6751.4,6261.6,6141,6459.9
244.46,9556,9921.9,6725.1,6226,6131.4,6494.3
245.32,9503.9,9947.2,6686.3,6197,6124.6,6420.9
246.18,9457.5,9841.1,6657,6144.9,6077.9,6339
247.03,9407.6,9720.2,6613.8,6059.3,5990.2,6275.4
247.89,9329.6,9683.8,6548.8,5989.6,5898.1,6188.8
248.75,9234.4,9521.2,6534.7,5984.2,5834.5,6097.1
249.61,9087.9,9475.8,6475.4,5948.4,5801.3,6013.3
250.47,9006.6,9352.5,6362.4,5797.9,5691.9,6005
251.32,8915.2,9328.3,6252.2,5737,5626.2,5935.1
252.18,8721.2,9255.1,6129.6,5689.6,5588.2,5870.8
253.04,8571.2,9113.5,6032.4,5595.6,5537.9,5764.7
253.9,8498,8973.1,5962.3,5487.9,5475.9,5609.7
254.76,8404,8881.3,5868.2,5416.7,5401.1,5499.6
255.61,8292.3,8780.4,5721.4,5333.8,5260.1,5530.5
256.47,8227.6,8649.4,5737.1,5297.1,5261.9,5411.7
257.33,8050.1,8647.8,5606.1,5234,5099.6,5288
258.19,7906.2,8589.7,5506.1,5195.9,5052.4,5251.8
259.05,7807.4,8449.5,5511.1,5089.4,4992.1,5190.3
259.91,7709,8374.3,5501.4,5011.8,4968,5099.8
260.76,7612.9,8329.6,5420.4,4954.6,4947.3,5038.1
261.62,7565.9,8178.4,5327.7,4855.1,4840.9,5012.2
262.48,7557.4,8055.2,5250.6,4873.3,4763.7,4914.5
263.34,7349.3,8045.6,5183.3,4839.2,4734.8,4821
264.2,7327,8049.9,5194.6,4832.9,4634.8,4852.6
265.05,7216.8,8028.8,5142.5,4731.4,4590.1,4812.4
265.91,7095.6,7923.5,5074.8,4693.3,4584,4808.6
266.77,6965.9,7820.4,5030,4626.1,4551.1,4760.8
267.63,6887.7,7776.6,4995.8,4554.8,4487.2,4651.8
268.49,6896.1,7745.6,4942.6,4578.5,4455.8,4589.8
269.35,6801.4,7663.6,4889.2,4512.6,4485.2,4615.5
270.2,6806.7,7646.1,4866.4,4545,4401.2,4584.9
271.06,6719.1,7564.5,4835.4,4491.1,4263.7,4551
271.92,6709.8,7505.2,4815.8,4415.6,4274.7,4525.9
272.78,6666.4,7497.9,4776.8,4412.1,4309.2,4460.7
273.64,6592.8,7493,4728.2,4406.6,4271.2,4436.4
274.5,6512.1,7455.2,4693.8,4369.2,4211.9,4435.9
275.35,6445,7385,4670.1,4331.2,4209.7,4384.4
276.21,6457.8,7283.7,4613.4,4252.6,4172.2,4361.7
277.07,6466.6,7258.3,4551.1,4248.2,4118.7,4269.6
277.93,6328.9,7248.7,4548.8,4230.5,4129.3,4279.1
278.79,6327.9,7285.3,4529.9,4213.5,4125.6,4288.4
279.64,6304.4,7241.8,4530.8,4150,4091.9,4203.7
280.5,6293.4,7189.8,4531.4,4124.3,4082.5,4152.2
281.36,6271.9,7142.9,4471.2,4112.7,4060.6,4165.7
282.22,6205.9,7090.9,4384.2,4040.2,3983.7,4156
283.08,6220.6,7140.2,4444.9,3989.9,3963.4,4113.1
283.94,6161.8,7068.2,4434.3,4054,3985.3,4150.8
284.79,6215.3,7067.7,4394,3969.2,3993.7,4140.9
285.65,6098.2,7010.4,4337.4,3981.7,3973.9,4117.9
286.51,6049.8,7029.6,4331.7,3995.6,3892,4107
287.37,6041.7,7015.7,4335.1,4006.7,3881.8,4079.8
288.23,6008.6,6944.7,4342,3979.3,3912.6,4027.2
289.08,5951.5,6885.9,4363.5,3923.2,3886.6,3990.7
289.94,5908.8,6857.5,4355.2,3947,3864.1,4010
290.8,5885.1,6861,4283.2,3932,3916.8,3951.2
291.66,5947.2,6837.3,4254.1,3957.4,3850.4,4014.1
292.52,5990.7,6810.6,4244.7,3908.1,3856.1,3970.9
293.38,5887.1,6809.4,4269.7,3881.5,3795.6,3952.1
294.23,5824.1,6774.9,4297.9,3875.5,3757,3927.8
295.09,5817.6,6751.2,4238,3878.5,3752.8,3905.6
295.95,5797,6749,4148,3867.4,3751.6,3911.3
296.81,5781.3,6703.6,4199.7,3830,3758.4,3933
297.67,5782.3,6759.2,4175.9,3869.6,3743.3,3960.9
298.53,5762,6653.7,4172.4,3886.3,3723.9,3957.3
299.38,5753.7,6696,4149.9,3849.2,3729.1,3918.2
300.24,5714.4,6691.9,4150,3824.2,3661.2,3861
301.1,5739.6,6663.1,4123.2,3819.2,3666.7,3841.3
301.96,5776.3,6664.3,4129.2,3819.7,3739.6,3876.8
302.82,5759,6687.9,4165.3,3803.7,3783,3901.6
303.68,5706.2,6692.1,4148.7,3782.2,3742.2,3856.4
304.53,5669.5,6695.4,4114.6,3822.6,3662.4,3839.7
305.39,5770.7,6628.5,4121.6,3794.5,3655.4,3871.3
306.25,5689.2,6614.1,4179.6,3761.3,3687.5,3812.9
307.11,5702.8,6604.8,4129.4,3776.5,3658.9,3816.8
307.97,5701.3,6570.9,4089.5,3768.3,3688,3805.1
308.82,5662.4,6556.2,4096.7,3770.9,3692.2,3810.2
309.68,5642.2,6563.4,4117.4,3775.6,3647.4,3793.1
310.54,5655.3,6568.1,4098.3,3756.5,3634.6,3731.4
311.4,5626.4,6576.8,4037.9,3755,3690.1,3743.8
312.26,5615.1,6547,4095.1,3755.4,3668.9,3778.3
313.12,5626.5,6549.7,4109.2,3835.6,3645.1,3839.1
313.97,5721,6549.2,4098.7,3770.7,3679.7,3784
314.83,5627.4,6540.6,4091.1,3776.6,3664.3,3759.8
315.69,5588.6,6554.6,4090.1,3756.3,3607.4,3779.9
316.55,5621.1,6596.3,4095.6,3726.7,3624,3779.6
317.41,5611.9,6607,4106.5,3732.6,3689.9,3749.2
318.27,5573.7,6549.4,4111.8,3749.3,3651.2,3747.7
319.12,5633.5,6554.4,4082.4,3784,3590.4,3761.3
319.98,5598.2,6531.4,4004.8,3742.6,3679.5,3778.9
320.84,5572,6510.9,4034,3734.2,3632.8,3702.9
321.7,5619.7,6543.3,4116.5,3738.7,3627,3789.6
322.56,5651.7,6556.2,4045.1,3739.8,3594.4,3773.2
323.42,5646.6,6512.3,4010.8,3732.1,3596.7,3741
324.27,5604.2,6471.4,4045.4,3734.4,3606.5,3749.6
325.13,5564.6,6474.6,4042.3,3759.3,3585.9,3763.9
325.99,5601.5,6468.8,4052.6,3785.8,3620.8,3801.1
326.85,5609.3,6553.2,4066.8,3803.3,3618.6,3794.9
327.71,5631.9,6477.5,4036.6,3821.7,3660.9,3855.7
328.57,5595.8,6473.9,4030.6,3756.4,3614.7,3819.4
329.42,5655.9,6477.6,4049.1,3752.8,3652.9,3793.9
330.28,5629.6,6465.2,4092.2,3733.3,3645,3789.8
331.14,5639.4,6425.1,4094.3,3737.2,3615.2,3791.3
332,5708.5,6416.1,4094.3,3772.5,3624.5,3789.9
332.86,5679,6473.4,4144.1,3764.1,3642.9,3790
333.72,5647.4,6462.4,4066.9,3723.4,3616.4,3797.1
334.57,5724,6491.9,4074.7,3771,3607.3,3806.6
335.43,5707.8,6451.9,4065.3,3746.4,3642.1,3802.4
336.29,5639.6,6502.9,4109.8,3721.1,3708,3785.8
337.15,5618.9,6485.1,4092.1,3733.3,3643.3,3769.5
338.01,5667.6,6491.6,4091.4,3776.6,3608.2,3776.4
338.86,5684.5,6505.8,4109.6,3791.1,3644.9,3808.8
339.72,5653.1,6497.6,4107.7,3772.2,3695.2,3824.2
340.58,5675.2,6515.5,4106.8,3776.1,3718.7,3796.9
341.44,5665.3,6478.6,4129.1,3753.2,3640.2,3833.7
342.3,5743.7,6549.8,4119.2,3831.8,3665.6,3783.9
343.16,5737.3,6497.1,4108.4,3836.4,3630.4,3803.1
344.01,5691.6,6503.1,4157.3,3832.7,3647.2,3834
344.87,5678.5,6442.4,4123.8,3814.1,3670.5,3801.8
345.73,5716.4,6431.1,4125.4,3832.4,3653.2,3809
346.59,5775.2,6468,4136.3,3829.7,3649.3,3843.6
347.45,5789.5,6494.9,4105.4,3789.8,3694.9,3855.6
348.31,5727.1,6551.5,4143.9,3832.5,3715.5,3889.1
349.16,5726.8,6534.6,4161.8,3849.7,3707.6,3859.7
350.02,5674.1,6545.6,4150.2,3840.7,3687,3850.6
350.88,5723.2,6482.4,4180.9,3778.6,3681,3879.8
351.74,5750.5,6464.7,4188.6,3855.9,3646.2,3877.3
352.6,5802.6,6506.1,4172.2,3877.8,3663,3854.3
353.46,5823.2,6521.6,4153.4,3837.5,3673.5,3838.6
354.31,5788.8,6526.1,4164.5,3832,3685.1,3858.1
355.17,5746.5,6556.9,4176.5,3874.8,3710,3886.1
356.03,5737.9,6548.4,4122,3857.9,3675.4,3859.2
356.89,5756.1,6559.1,4163.5,3794.9,3749.2,3881.8
357.75,5772.6,6460.7,4175.8,3838.3,3707.2,3871.8
358.61,5803.6,6600,4135.5,3869.5,3716.2,3876.3
359.47,5793.6,6591,4135.3,3866.8,3730.9,3837
360.32,5804.1,6577.8,4155.8,3848,3697.1,3818
361.18,5750.4,6539.1,4154.4,3861.7,3706.2,3838.8
362.04,5743.6,6491,4162,3859.5,3739.5,3869.7
362.9,5856.6,6498.2,4185.5,3806,3727.9,3885.1
363.76,5841.4,6527.3,4152.7,3801.9,3726.2,3891.9
364.62,5803.9,6554.4,4210.8,3832.4,3702.9,3871.9
365.47,5751,6487.1,4184.8,3852.7,3677.7,3894.8
366.33,5760.6,6501.9,4209.2,3860.8,3733.8,3859.3
367.19,5767.1,6499.2,4179.4,3846.7,3749.2,3858.1
368.05,5778.2,6570.9,4174.1,3856.5,3729.2,3864.7
368.91,5791,6585.6,4152.5,3844.2,3708,3873.7
369.77,5761.3,6552.4,4143,3807.8,3735.1,3896
370.62,5730.4,6560.8,4162.1,3815.9,3779.1,3902.3
371.48,5817.4,6556.9,4123.6,3888.3,3739.6,3857.7
372.34,5823.9,6573.8,4168.6,3879.6,3737.7,3910
373.2,5759.4,6565.2,4174.7,3911.5,3653.8,3928.5
374.06,5784.9,6591.4,4175,3849.2,3717.7,3950.3
374.92,5748.6,6571.5,4174.9,3839,3733,3922.1
375.77,5701,6528.9,4165,3859.1,3725.7,3888.5
376.63,5693.1,6487.1,4143.1,3860,3724.3,3891.5
377.49,5736.4,6457.5,4127.4,3839.5,3708.8,3892.5
378.35,5773.6,6450.9,4137.2,3824.7,3685.1,3862.6
379.21,5740,6469.6,4156.7,3833.2,3693.4,3846.6
380.07,5721.7,6470.5,4129.3,3870.2,3668.4,3845.2
380.92,5724.8,6455.7,4106.9,3814.7,3700.3,3873.5
381.78,5724.6,6541.2,4160.1,3842.5,3721.1,3872.9
382.64,5768.7,6533.7,4192.6,3896.7,3682.8,3925.1
383.5,5789.5,6480.4,4185.8,3863.3,3728.5,3895.5
384.36,5785.5,6431.2,4180.9,3892.9,3767.2,3889.1
385.22,5774.7,6405,4187.5,3940.9,3763.2,3895.5
386.07,5784.8,6413.5,4190.1,3927.1,3766,3863.5
386.93,5808.2,6449.4,4178.2,3908.3,3793.5,3849.2
387.79,5764.6,6452.6,4160.6,3899.9,3785.2,3917
388.65,5790.1,6485.1,4267.6,3875.6,3777,3871.2
389.51,5808.5,6488.4,4178.1,3902.6,3767.8,3887.4
390.37,5751.3,6437,4199.7,3930.9,3722.9,3884.7
391.23,5776.4,6491.8,4209.7,3932.4,3776.2,3911.4
392.08,5819.3,6524.2,4218.4,3904.7,3787.7,3927.8
392.94,5831.2,6489.2,4218.3,3861.1,3762.2,3924.7
393.8,5809.2,6466.6,4218,3854.6,3753.1,3902.2
394.66,5802.7,6486.1,4229.2,3878.2,3748.8,3869.8
395.52,5864.9,6453.8,4209.3,3832.7,3729.8,3870.2
396.38,5834.1,6468.9,4134.8,3867.8,3773.8,3914.7
397.23,5847.1,6323.3,4223.2,3872.1,3743.2,3811.5
