wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.62,1319,1288.8,1239.6,1280.7,1260.4,1246.8
209.48,1350.2,1276.7,1224.9,1246,1285.5,1223.4
210.34,1299,1289.9,1226.5,1269.3,1307.4,1235.9
211.2,1296.6,1296.4,1223.6,1260,1303.8,1258.8
212.06,1310.9,1294.2,1233.6,1260.2,1272.5,1254.2
212.92,1314,1286.4,1238,1263.1,1266.3,1241.3
213.78,1300.2,1284.6,1233.6,1264.1,1289.3,1232.2
214.64,1291.1,1294.6,1245.7,1277.5,1288.5,1222.8
215.5,1335.6,1286.6,1276.3,1279.2,1280.2,1265.5
216.36,1319.1,1270.1,1250.3,1245.3,1288.9,1246.4
217.22,1314.7,1260.4,1252.3,1265.2,1282.4,1243.2
218.08,1317.8,1263.6,1230.8,1276.8,1266.9,1256.8
218.94,1298.8,1276.9,1229.3,1280.5,1275.8,1264
219.8,1282.1,1290.3,1243.5,1284.9,1286.1,1261.2
220.66,1289.8,1291.8,1244.8,1285.1,1275.4,1257.3
221.52,1289.8,1279.4,1241.4,1268.2,1280.1,1252.4
222.38,1322.8,1291.6,1244.9,1261.2,1281,1229.8
223.24,1303.9,1271.1,1252.5,1241.7,1296.1,1233.2
224.1,1310.6,1279,1239.9,1264.2,1288.4,1247.4
224.96,1310.4,1302.5,1231.1,1267.5,1281.7,1259.9
225.82,1299.9,1306.6,1234.3,1252.6,1276,1255.6
226.69,1293.5,1287.1,1244.8,1241.6,1271.6,1238
227.55,1299.9,1269.5,1247.6,1256.1,1271.9,1227.2
228.41,1303.8,1266.3,1224.1,1310.2,1268.6,1236.4
229.27,1301.2,1255,1225.8,1249.3,1293.8,1226.8
230.13,1328,1267.5,1255.4,1271.8,1259.5,1245.1
230.99,1321,1294.2,1269.6,1261.1,1273.9,1252.7
231.85,1324.2,1301.7,1262.3,1259.5,1278.5,1253.5
232.71,1310.3,1285,1247.7,1266.8,1276.9,1243.3
233.57,1291.9,1267.7,1249.4,1262.2,1285.1,1233.1
234.43,1330.1,1274.5,1271.4,1247.2,1286.5,1241.8
235.29,1324.3,1288.8,1255.8,1248.5,1278.1,1229.2
236.15,1288.6,1275.7,1245.3,1276.4,1285.1,1241.4
237.01,1298.4,1283.1,1238.7,1257.2,1292.1,1224
237.87,1308.7,1287.3,1269.7,1273.3,1277,1241.3
238.73,1302,1293.5,1265.5,1275,1268.5,1239
239.59,1298.7,1287.5,1238.7,1260.4,1265.2,1219.3
240.45,1306.1,1260.7,1230.1,1261.1,1254.8,1206.7
241.31,1295.8,1247.1,1225.7,1276.1,1252.6,1194.2
242.17,1309.8,1315.9,1261.4,1269.1,1287.4,1248.1
243.03,1298,1278.4,1210.5,1253.6,1252,1252.4
243.89,1298.9,1274.2,1226.1,1245.2,1252.6,1226.7
244.75,1303.6,1257.5,1240.4,1230.4,1279.1,1202
245.61,1296.5,1274.5,1238.8,1232.4,1280.8,1210
246.47,1285,1298,1240.3,1242.3,1258.4,1226.2
247.33,1284.5,1280.2,1251.2,1244,1248,1219.9
248.2,1290.7,1266.4,1237.8,1260.6,1253.9,1223.5
249.06,1296.8,1232.4,1208.2,1247.5,1243.4,1227.8
249.92,1287.8,1262,1202,1251.2,1263.1,1233.9
250.78,1294.5,1253.8,1220.9,1272.6,1260.6,1226.5
251.64,1294.5,1259.1,1223.2,1240.7,1267.3,1223.6
252.5,1287.9,1258.3,1215.3,1222,1270.3,1215.8
253.36,1285.3,1257.6,1209.3,1238,1251.8,1213.2
254.22,1288.6,1275.4,1207,1244.6,1229.3,1229.8
255.08,1284.6,1269.3,1213.3,1240.6,1255.3,1237.5
255.94,1303,1272.8,1239.5,1259,1270.2,1243.7
256.8,1288.3,1276.3,1218.8,1262.5,1257.8,1214.3
257.66,1279.4,1280.5,1215.4,1232.3,1264.8,1201.7
258.52,1282.7,1260.2,1222.9,1236.2,1264.4,1215.6
259.38,1282.5,1264.1,1229.3,1247.2,1263.7,1232.5
260.24,1279.2,1283.2,1238,1244.4,1254.8,1231.6
261.1,1291.2,1265.9,1246.8,1244.4,1233.7,1210.8
261.96,1320,1245.8,1222,1249.3,1254.5,1184.2
262.82,1306.8,1256.3,1234.2,1240.6,1272.8,1224.4
263.68,1282.3,1258.6,1220.3,1248.2,1226.5,1229.5
264.54,1279.8,1279.8,1231.6,1243.1,1243.8,1209.9
265.4,1290.7,1273.1,1239.1,1239.4,1274.8,1212.4
266.26,1282.5,1279.6,1231.6,1229.2,1284.1,1237.4
267.12,1276.4,1286.1,1223.2,1221.5,1272.9,1244.3
267.98,1306.2,1252.7,1227.2,1232,1262.4,1210.5
268.84,1309.2,1265.3,1224.6,1237.3,1265.3,1194.3
269.7,1286.4,1282,1232.5,1253,1281,1223.2
270.57,1276.8,1259.2,1228.9,1222,1275.4,1221.7
271.43,1284.8,1251.2,1223.8,1223.4,1257.3,1213.3
272.29,1290.2,1256.9,1229.5,1234.5,1260.9,1230.6
273.15,1295.5,1262,1235,1258.4,1263.6,1237.5
274.01,1312.4,1268.2,1233.4,1265,1258.6,1225.7
274.87,1333,1278.8,1228.6,1230.4,1260.8,1223.6
275.73,1318.5,1269.9,1222.9,1224.4,1254,1223.7
276.59,1290.4,1269,1222,1228.8,1231.2,1198.3
277.45,1300.6,1279.8,1232.8,1220.7,1221.7,1210.3
278.31,1278.2,1260,1237.1,1220.4,1276,1202.4
279.17,1280.9,1251.6,1229.2,1246.8,1291.4,1205
280.03,1284.9,1260.8,1223.9,1250.6,1265.6,1204.4
280.89,1285.1,1263.8,1225.7,1244.9,1243.4,1207.2
281.75,1295,1253.9,1226.1,1261.4,1256.2,1215.9
282.61,1287.3,1269.6,1225.6,1242.5,1290.2,1184.5
283.47,1281.2,1284.5,1249.3,1219.7,1264.8,1198.6
284.33,1290.4,1266.3,1247.5,1231.8,1260.6,1205
