wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.84,1077,1087.3,1092.8,1108.3,1112.8,1105.5
210.69,1077,1090.8,1079.8,1111.8,1089.4,1121.1
211.55,1071.3,1094.3,1105.9,1090,1097,1108.1
212.41,1091.2,1090.9,1105.9,1110.9,1124.3,1099.5
213.27,1084.5,1080.7,1111.3,1129.1,1115.1,1104.7
214.13,1079.4,1078.6,1111.3,1128.6,1104.3,1118.5
214.99,1087.6,1090.4,1117.7,1117.3,1104.2,1129.6
215.85,1084.2,1100.5,1147.2,1112.8,1082.5,1128.5
216.71,1112.8,1081.4,1093.2,1138.5,1086,1115.1
217.56,1105,1098.8,1102.8,1118.5,1125,1120.3
218.42,1091.9,1066.9,1094.2,1116,1106.5,1108.1
219.28,1099.9,1079.2,1084.7,1135.4,1119,1117.1
220.14,1094.2,1098.4,1089.9,1123.3,1120.6,1124
221,1093.3,1105.1,1101.5,1106.6,1115.8,1127.7
221.86,1110.8,1106.8,1106,1122.3,1125.3,1136.9
222.72,1097.7,1105.3,1107.7,1129.2,1123.4,1140.2
223.58,1103.8,1099.2,1122.5,1122.2,1126.9,1141.9
224.44,1094.8,1100.7,1133,1093.5,1123.7,1120.2
225.29,1093.7,1093.9,1119.5,1104.3,1131.5,1108.9
226.15,1100.9,1084.1,1121.7,1118.5,1122.3,1111.2
227.01,1096.2,1089.7,1120.4,1112,1118.3,1119
227.87,1082.1,1101.7,1112.9,1109,1125.6,1118.6
228.73,1083.4,1103.2,1117.9,1133.5,1120.7,1103.7
229.59,1105.3,1120.6,1120.4,1125.8,1094.6,1091.4
230.45,1077.4,1098,1095.2,1105.7,1120.7,1130.6
231.31,1084.5,1100.8,1098.6,1123.1,1131,1149.1
232.16,1085,1099.3,1104.7,1120,1107.1,1143.7
233.02,1086.1,1099.6,1100,1114.4,1096.7,1123.5
233.88,1093.7,1100.6,1095.2,1113.8,1107.5,1101.9
234.74,1108.3,1104.4,1097.5,1121.3,1109.5,1108.5
235.6,1119.7,1113.8,1101.2,1135.1,1085.1,1148.2
236.46,1089.2,1101,1114,1117.7,1103.3,1097.1
237.32,1097.9,1099.2,1113.1,1098.5,1122.5,1103.2
238.18,1073.2,1097.5,1112.2,1113.4,1094.7,1129.8
239.04,1085.8,1109.6,1101.9,1110.8,1116.5,1116
239.89,1098.5,1100,1086.5,1118.5,1128.5,1107
240.75,1099,1096,1085.6,1132.1,1117.2,1117.3
