wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.2,1206.3,1215.8,1176.7,1166.9,1142.3,1152.3
209.06,1220.2,1203.7,1183.6,1197.2,1135.4,1155.8
209.92,1221.8,1218.5,1190.5,1177,1127.7,1144.6
210.78,1208.3,1224,1207,1188.4,1140.3,1163.8
211.65,1224.6,1227.2,1197.5,1181.1,1158.6,1161.3
212.51,1224.2,1218.1,1189.9,1171.1,1161.3,1154.8
213.37,1204.6,1201,1200.6,1170.3,1153.4,1154.3
214.23,1223.5,1195.2,1206.1,1162.2,1157.3,1139.4
215.09,1235.5,1191.3,1200.7,1169,1159.3,1136.2
215.95,1176.5,1205.2,1190.3,1169.9,1170.6,1144
216.81,1192.5,1216.8,1203.4,1160.2,1160.6,1140.5
217.68,1205.6,1206.2,1181.1,1148.2,1164.5,1149
218.54,1209.5,1196,1173.9,1159.8,1157.1,1152.5
219.4,1211.8,1192.9,1181.2,1175.2,1146.8,1141.7
220.26,1220.1,1190.3,1186.1,1169.9,1145.6,1133.9
221.12,1236.6,1190.9,1210.3,1163.6,1136.5,1157.2
221.98,1233.1,1216.1,1186.8,1168.8,1184.3,1158.9
222.84,1214.6,1191,1180.1,1153.1,1172.6,1147.3
223.71,1233.6,1211.5,1186.1,1159.2,1146.7,1152.8
224.57,1252.8,1218.5,1182.7,1173.4,1142.2,1162.9
225.43,1243,1202.6,1173.5,1177,1155.8,1160.4
226.29,1224.8,1180.6,1182.8,1182.4,1171.5,1156.7
227.15,1223.8,1170.5,1206.1,1203.5,1175.9,1169
228.01,1194,1177.9,1169.9,1196.7,1161.5,1167.7
228.88,1226.2,1192.7,1216,1191.5,1152.8,1145.9
229.74,1221,1174.9,1202.5,1172.7,1153.6,1161.5
230.6,1213,1161.4,1195.3,1158,1140.7,1165.3
231.46,1205.2,1196.5,1189.2,1173.3,1152.7,1157.5
232.32,1212.7,1217.6,1171.2,1192.6,1174.7,1148.2
233.18,1217,1186.4,1160.7,1185.6,1168.4,1146.8
234.04,1183.6,1160.2,1184.8,1166.7,1132.9,1151.1
234.91,1187.3,1184.9,1177.9,1199.6,1149.9,1134.3
235.77,1203.9,1179.7,1172.7,1176,1142.9,1151.7
236.63,1203.7,1174.5,1204.6,1180.6,1132.9,1166.9
237.49,1196.1,1190,1198,1174.8,1136.3,1165.3
238.35,1197,1192.5,1180.5,1167,1141.5,1140.5
239.21,1198.3,1198.8,1171.9,1162.1,1148.2,1122.7
240.07,1202,1204.4,1174.6,1167.8,1152.1,1137.5
240.94,1232.8,1155.3,1188,1191.4,1138.3,1160.4
241.8,1231,1195.4,1180.1,1164.4,1147.8,1133.4
242.66,1169.2,1177.1,1196.3,1144.3,1147.1,1131.3
243.52,1199.1,1169.6,1194.6,1150.5,1158,1134.7
244.38,1206.8,1152.3,1171.9,1163.6,1156.6,1126.4
245.24,1207.7,1164.3,1160.4,1170,1157.3,1122.4
246.11,1199.8,1181,1166.5,1167.2,1152.3,1119.5
246.97,1178.7,1169.9,1173.2,1162.7,1131.6,1114.9
247.83,1199,1187,1171.1,1163,1124.8,1136.5
248.69,1199,1214.9,1144.1,1144.7,1141.3,1140.8
249.55,1173.9,1188.3,1167.3,1147.3,1157.9,1157.8
250.41,1187.5,1175.2,1192.6,1155.1,1148.2,1144.7
251.27,1184.5,1153.9,1182.3,1160.3,1148.8,1137.4
252.14,1187.5,1145.6,1165.3,1160.6,1150.7,1137.9
253,1193.4,1157.3,1171.5,1157.7,1135.5,1133.7
