wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.66,1122.5,1139.9,1064.5,988.72,1001,1069.7
209.52,1149.4,1149.4,1059.3,1006.9,1011.4,1077.5
210.38,1142,1154.1,1075.3,1008,1013.6,1089.4
211.24,1120.9,1139.3,1072.9,995.71,1012.6,1068.8
212.1,1123,1131.5,1075,983.39,1013.1,1064.6
212.96,1129.1,1118.5,1071.9,999.75,1015.7,1059.5
213.82,1130.7,1112.1,1065.7,1025.7,1013.7,1047.6
214.68,1142.5,1140.6,1077.5,1014.2,1001.3,1056.8
215.54,1129.3,1143.2,1090.6,1009.8,992.59,1071.8
216.4,1141.5,1110.2,1074.1,1002,1016,1062.2
217.26,1115.8,1111.3,1074.3,1016.1,1011.4,1079.2
218.12,1113.9,1129.3,1085,1009.1,1006.5,1074.4
218.98,1128.4,1130.6,1074.2,1017.8,997.1,1053.7
219.84,1134.7,1139,1060.3,1027.5,999.87,1048.8
220.7,1122.8,1166.9,1066.2,1015.1,1020.4,1066.5
221.56,1110.9,1159.6,1066.4,1009.9,1022.4,1069.1
222.42,1127.4,1156.1,1061.2,991.65,999.8,1078.7
223.29,1133,1140.9,1064.3,1005.2,1027.5,1077.3
224.15,1115.6,1125.3,1062.9,1006.6,1014.6,1073.5
225.01,1126.5,1125.2,1071.8,1006,1008.7,1069.1
225.87,1133.3,1137.9,1077.7,1006.5,1020.3,1067.5
226.73,1121.2,1143.3,1077.3,1014.6,1027.6,1060.1
227.59,1115,1132.5,1077.4,1029.5,1013.6,1045.2
228.45,1124.5,1138.5,1066.4,1022.1,1003.3,1055.8
229.31,1133.2,1130.7,1072.5,1008.2,1007.6,1067.9
230.17,1130.8,1132.4,1071.4,986.34,1017.5,1058.7
231.03,1122,1135,1102.9,991.63,999.41,1066.6
231.89,1135.1,1133.9,1088.5,1004,1012,1071.5
232.75,1142.3,1125.1,1071.7,1002.7,1019.5,1069
233.61,1127.7,1115.8,1077.2,1000.3,1000.7,1059.4
234.47,1122.8,1117,1053.8,1020.4,1000.4,1044.5
235.33,1144.7,1111.3,1052.7,1010.5,1002.9,1059.3
236.19,1129.9,1127,1037.9,983.5,997.68,1076.7
237.05,1126.5,1127.5,1036.8,992.89,1004.6,1057.8
237.91,1124.1,1120.7,1070.4,990.7,993.15,1043.4
238.77,1116.5,1120.5,1081,985.5,992.51,1040
239.63,1110.7,1109.5,1067.2,992.57,1001.5,1054
240.49,1116.4,1089.2,1059.2,1003.8,1006.9,1071.1
241.35,1129.7,1104.8,1058.2,994,1015.1,1057.3
242.21,1127,1125.7,1044.2,994,1008.1,1066.8
243.07,1105.5,1139.7,1040.6,994.86,1018.3,1049.8
243.93,1112.2,1132.5,1048.8,1001.6,1012.7,1045.5
244.79,1113.6,1106.7,1053.2,993.16,1002.2,1036
245.65,1109.2,1111.9,1050.7,989.32,1004.6,1033.8
246.51,1115.3,1121.9,1044.2,987.8,1000.5,1040.1
247.38,1128.6,1110.4,1037,981.07,978.1,1044.4
248.24,1114.8,1145,1030.8,990.52,982.46,1043
249.1,1132.3,1088.3,1038.7,976.56,986.83,1015.1
249.96,1113.7,1098.6,1050.7,973.49,978.62,1014
250.82,1117.1,1100.3,1046.6,977.97,993.35,1016.8
251.68,1104.8,1095.3,1038.8,961.91,980.74,1019.8
252.54,1097.7,1109.8,1041.4,963.61,976.13,1031.5
253.4,1089.8,1121.8,1040.8,972.43,978.43,1039.7
254.26,1065.4,1103,1028.7,958.25,960.19,1026.3
255.12,1068.4,1102.2,1045.9,971.31,958.7,1009.1
