wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.7,953.85,992.6,991.9,996.11,987.71,985.04
209.56,941.72,977.87,1001.4,976.18,1016.3,1017.1
210.42,955.68,981.89,1006.9,1001.9,995.98,994.53
211.28,955.59,991.19,990.25,1001.9,1005.3,1002.6
212.14,957.3,975.18,978.7,1011.1,1010.9,1019.5
213,963.35,962.35,981.02,1008,1006.2,1025.1
213.86,963.43,968.14,991.14,986.86,995.86,1011.3
214.71,948.94,972.68,996.4,984.82,984.38,989.91
215.57,932.72,982.15,982.37,1016.4,992.2,1005.9
216.43,961.35,988.23,997.12,992.99,1000,999.77
217.29,951.37,995.06,995.22,1004.4,1006.3,1014.9
218.15,945.12,992,1000.9,1015.3,1023.6,1010
219.01,952.89,988.01,1006,1010.1,1020.2,1013.4
219.87,958.38,994.25,997.58,1001.7,1007.7,1020.1
220.73,947.37,999.13,984.93,1003.9,1009.7,1013.4
221.59,935.89,974,999.2,1007.6,1010.1,1007.4
222.45,969.8,982.69,1009.6,1012.8,993.59,1002.2
223.31,959.27,996.4,1005.8,980.34,1029.8,1014.6
224.17,950.64,991.22,1019.1,993.09,1019.3,1007.1
225.03,941.08,979.92,1014.6,999.27,1018.3,1006.5
225.89,935.55,990.95,1004.8,993.09,1013.6,1004.1
226.75,953.28,1002.2,1003.3,993.62,1008.3,997.05
227.61,989.67,984.14,1005.1,1011.3,1020.1,997.59
228.47,972.68,996.81,1000.9,1024.7,1011.2,1008
229.33,935.26,977.67,999.15,1003.8,998.14,991.44
230.19,946.3,981.56,1006.1,1007.6,1002.6,1003.5
231.05,949.34,985.66,988.74,1014.3,995.37,1003
231.91,951.14,981.66,989.15,1002.6,995.81,1009.5
232.77,953.81,983.07,991.52,992.43,994.33,1019
233.63,951.42,988.14,986.14,998.76,994.27,1021.7
234.49,946.68,979.61,996.56,1007.2,1013.2,1019.1
235.35,973.45,988.93,994.08,1013.5,996.87,1007.7
236.21,943.84,985.45,998.44,986.5,989.9,993.8
237.07,931.66,991.07,989.9,1008.8,992.79,992
237.93,941.59,975.37,980.07,1002.5,985.18,1004.6
238.79,947,967.51,984.52,986.99,983.51,1000.5
239.65,945.37,960.32,983.69,987.08,998.55,988.63
240.51,946.24,952.3,973.61,997.78,1017.3,986.78
241.37,948.5,976.73,990.42,992.85,1010.3,984.62
242.23,959.82,967.15,986.07,984.14,974.57,996.8
243.09,945.41,971.29,973.99,977.14,952.55,987.56
243.95,938.62,963.97,980.03,987.68,967.98,988.19
244.81,934.59,963.41,971.56,978.15,984.03,974.55
245.67,941.06,966.9,967.32,974.69,981.47,975.43
246.53,942.38,960.34,968.92,980.65,975.12,982.15
247.39,929.53,948.16,964.34,976.28,979.03,970.37
248.25,934.17,963.74,962.74,962.91,971.17,962.3
249.11,926.31,970.72,969.72,962.03,963.31,974.51
249.97,918.46,945.03,959.11,977.08,973.05,962.43
250.83,929.08,950.66,957.71,977.16,979.97,989.85
251.69,933.42,952.08,960.33,958.5,974.41,989.75
252.55,931.17,951.83,963.37,961.06,974.93,986.02
253.41,936.91,958.28,967.31,968.12,978.04,991.01
254.27,948.33,958.88,974.23,947.83,973.86,988.39
255.13,932.09,930.4,980.22,955.62,985.9,986.23
255.99,955.67,968.83,948.77,962.61,950.97,988.85
256.85,926.5,961.11,980.79,965.47,961.36,969.22
257.71,917.91,950.63,983.12,957.63,956.32,953.84
258.57,921.58,956.73,959.83,958.01,972.46,952.43
259.43,925.45,954.62,954.72,952.96,977.62,962.59
260.29,928.24,948.77,964.47,940.76,964.4,964.63
261.15,932.42,962.17,952.13,935.8,960.8,952.31
262.01,931.26,966.02,933.33,936.54,959.3,964.39
262.87,946.99,953.78,949.94,955.77,950.56,944.28
263.73,911.17,946.45,968.19,962.73,957.37,949.55
264.59,930.75,951.94,950.49,964.69,957.61,956.55
265.45,923.66,952.73,948.39,972.96,961.55,953.31
266.31,913.88,951.44,958,961.25,958.34,958.76
267.17,915.53,951.36,960.76,945.07,958.3,966.21
268.03,910.66,947.47,951.72,956.83,969.78,958.33
268.89,929.51,937.14,936.18,953.48,944.63,965.89
269.75,923.38,938.89,963.31,971.85,952.51,939.64
270.61,923.82,946.39,959.25,958.21,966.15,966.76
271.47,926.79,950.79,949.64,957.79,969.7,953.48
