wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
207.34,2185.1,2147.6,2153.9,2085,2068.5,1956.6
208.21,2144.4,2165,2153.1,2105.8,2063.3,1984.4
209.07,2152.6,2206.8,2191.3,2108.6,2063,1976.2
209.93,2157.7,2200.3,2167.9,2128.1,2071.2,1972.6
210.79,2166.2,2202.9,2138.1,2127.1,2070.6,1981.4
211.65,2176.6,2183.8,2149,2116.9,2086.7,1992.3
212.51,2178.4,2158.6,2172.2,2118.6,2103.2,1998.7
213.38,2170.8,2188.2,2151.5,2132.9,2072.9,1997.3
214.24,2191,2178.8,2160.1,2148.2,2057.3,1965.8
215.1,2149.3,2210,2164.4,2116.1,2111.1,1959.8
215.96,2164.4,2164.8,2164.2,2121.8,2111.2,1975.7
216.82,2172.2,2189.7,2164.6,2113.7,2089.6,1982.2
217.68,2176.5,2201.2,2161.1,2104,2071.6,1991.9
218.55,2182.2,2182.6,2141.1,2107.5,2069.7,2007.9
219.41,2184.4,2173.9,2121.3,2119.5,2084.5,2019.5
220.27,2176.2,2179.5,2153.5,2118.9,2103.8,2013
221.13,2151.9,2201.2,2192.6,2100.7,2084.7,1969.5
221.99,2152.7,2181.9,2155.5,2112.6,2102.4,1988.9
222.85,2188.3,2185.1,2145.2,2129.8,2113.1,1980.3
223.72,2199.5,2200.7,2146.3,2140.6,2113.7,1974.4
224.58,2168.9,2201.5,2149.3,2124.4,2097.3,1968.7
225.44,2143.5,2181.9,2140.6,2118.6,2080.3,1957
226.3,2158.4,2171.6,2125.4,2159.2,2081.2,1958
227.16,2137,2209.7,2156.8,2156.8,2074.4,2009.1
228.02,2185.8,2141,2136.7,2105.5,2097,1977.7
228.89,2155,2165.2,2128.6,2130.4,2106.2,1955.1
229.75,2149.3,2160.4,2123.7,2125.4,2106.7,1940.7
230.61,2153.1,2140.6,2154.1,2110.4,2092.1,1954.2
231.47,2155.4,2131.4,2169,2109.1,2066.6,1972
232.33,2168.4,2144.4,2141.2,2108.6,2060,1976.4
233.19,2195.2,2169.2,2127.1,2089.8,2091.5,1978.7
234.06,2160.6,2170.1,2179.6,2123.2,2076.3,1970.3
234.92,2137.9,2176.2,2156.9,2078.8,2036.2,1933.7
235.78,2133.5,2192.9,2146.4,2081.3,2032.5,1960.1
236.64,2157.6,2191.7,2120.1,2095.3,2054.4,1970
237.5,2168.5,2178.5,2131.6,2097,2071,1968.5
238.36,2160.5,2176.1,2142.8,2093.5,2085.4,1960.7
239.23,2146.7,2182.9,2115.3,2096.2,2094.5,1954.9
240.09,2135.8,2171,2108.4,2095.3,2071.8,1971.8
240.95,2201.9,2201.5,2141.5,2082.2,2100.5,1985.8
241.81,2130.9,2172.8,2130.8,2114.6,2098.4,1961.1
242.67,2127.8,2160.7,2102.7,2101,2082.7,1956.3
243.53,2147.9,2138.1,2114.1,2106,2071,1978.3
