wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.54,1398.7,1468,1492,1517.2,1535.8,1545.2
210.39,1406.5,1457.6,1492,1530.2,1544.5,1546.9
211.25,1435.5,1473.3,1491.2,1491.8,1538.5,1542.9
212.11,1435.9,1465.4,1484.9,1512.4,1567,1553.6
212.97,1438,1485.3,1490.8,1518.3,1561.7,1571.1
213.83,1436.6,1483,1503.4,1513.7,1549.3,1568.5
214.69,1426.7,1466.7,1509,1511.4,1547.2,1546.4
215.55,1417.2,1500.3,1505.1,1503.1,1531.5,1538.5
216.41,1397,1469.8,1511.1,1520.6,1540.5,1558.5
217.27,1438.7,1501.9,1516.3,1543.1,1561.3,1578.5
218.13,1440.2,1478.8,1510.9,1533.1,1576.9,1600.7
218.99,1430.2,1471.2,1525.9,1529.6,1546.6,1572.6
219.85,1429.5,1471.5,1512.8,1512.7,1535.9,1555.5
220.71,1436.2,1478.6,1489,1495.4,1552.9,1568.1
221.57,1441.8,1487.1,1491.3,1503.4,1568.2,1575.4
222.43,1448.5,1472.1,1496.2,1523.6,1576.7,1546.7
223.29,1452.8,1481.7,1471.9,1485.4,1556.7,1544.1
224.15,1406.9,1472,1470.2,1520,1534.2,1553.2
225.01,1407.9,1475,1503.9,1506.5,1550.5,1546.5
225.87,1425.8,1488.5,1506.5,1513.6,1538.8,1551.7
226.73,1438.2,1471.6,1506.5,1518.3,1524.5,1556.2
227.59,1436.9,1445.4,1514.8,1507.8,1523.1,1545.5
228.44,1424.7,1457.7,1509.8,1501.5,1520.5,1527.2
229.3,1411.1,1461.9,1507,1497.2,1528.6,1528.9
230.16,1428.5,1475.8,1474.8,1532,1554.7,1542.8
231.02,1422,1449.2,1486.3,1505.6,1516.5,1540
231.88,1433.3,1463.9,1478,1513.9,1546.5,1535.7
232.74,1427.7,1447.8,1485.4,1511.8,1548.8,1542.5
233.6,1417,1435.7,1501.5,1501,1538.3,1539.5
234.46,1414,1457.4,1506.9,1499.9,1544.1,1532.8
235.32,1410.2,1468.8,1500.8,1505.2,1536.1,1555.4
236.18,1434.7,1467.8,1481.7,1506.1,1519.2,1552
237.04,1419.9,1457.3,1466.9,1513.1,1532.3,1553.8
237.9,1414.2,1455.2,1475.6,1481.4,1538.5,1544.1
238.76,1418,1438.6,1468.3,1501.2,1542.5,1542.3
239.62,1409,1443,1467.5,1512,1539,1544.5
240.48,1401.1,1439.5,1477.5,1512.1,1533.6,1547.9
241.34,1412.4,1425.9,1481.8,1515.2,1531.3,1545.9
242.2,1426.3,1472.2,1469.3,1488.6,1527.2,1533.8
243.06,1429,1451.3,1449.3,1492.9,1535.9,1562.5
243.92,1408.4,1439,1457.6,1474.1,1524,1518.4
244.78,1405,1441.4,1466.3,1471,1536.6,1525.6
245.64,1402,1441.2,1478.6,1492.1,1508.3,1524.4
246.49,1408.5,1453.8,1473.2,1497,1489.3,1535.2
247.35,1412.8,1458.6,1456.9,1491.5,1514.5,1548.9
248.21,1407.2,1446.5,1453,1498,1545.8,1538.6
249.07,1420.8,1470.7,1462.1,1489.5,1511.7,1520.8
249.93,1409.5,1448.9,1482.2,1475.6,1499.5,1499.8
250.79,1410.7,1453.9,1463.7,1509.3,1497.3,1545.1
251.65,1428.1,1437.2,1448.6,1486.9,1503.4,1535.5
252.51,1405.8,1432.9,1454.5,1472.1,1504.2,1523.9
253.37,1381.8,1439.1,1470.2,1463.2,1505.7,1520.1
254.23,1381.3,1444,1460.6,1465.2,1501.1,1515.4
255.09,1388.6,1438.5,1429.7,1484.8,1488.9,1499.5
255.95,1389.8,1419.2,1463.8,1479.6,1504.6,1468.5
256.81,1376.7,1444.6,1461.2,1475.2,1511.6,1497.4
257.67,1389.2,1441,1457.7,1489.8,1518.6,1512.2
258.53,1414.3,1428.1,1452.8,1480.4,1498.4,1509.4
259.39,1417.1,1448.8,1449.9,1491.6,1487.9,1499
260.25,1402.6,1461.8,1443.6,1492.8,1494.6,1496.6
261.11,1401.9,1455,1447.3,1472.9,1501.1,1502.3
261.97,1419.5,1452.7,1466.9,1463.7,1491.3,1514
262.83,1396.2,1435.8,1457.7,1477.7,1476.1,1547.7
263.69,1385.7,1445.4,1454.2,1461.1,1476.9,1506.6
264.54,1406.3,1446,1466.3,1482.1,1494.2,1507.3
265.4,1419.3,1426.6,1440.6,1478,1520.9,1509.4
266.26,1400.8,1435.1,1443.3,1464.3,1523.6,1486.7
267.12,1385.3,1442.7,1455.4,1455.7,1510,1480.5
267.98,1388.9,1429.9,1458.9,1447.6,1497.1,1494.4
268.84,1394.8,1415.2,1464.4,1430.9,1497.2,1495.7
269.7,1401.9,1407.8,1462.5,1422.2,1522.7,1507.2
270.56,1400.1,1405.2,1468.6,1473.8,1518.3,1509.8
271.42,1404.9,1415.7,1447.6,1449.1,1484.3,1477.1
272.28,1398.3,1403.4,1436,1448.6,1518.1,1481.8
273.14,1380.7,1402.2,1450.2,1455.6,1525.1,1471
274,1379.4,1419.5,1454,1478.8,1504,1474.7
274.86,1402.1,1435.3,1440.1,1491.6,1489.6,1488.8
275.72,1414.9,1433,1429,1459.3,1496.6,1481
276.58,1375.1,1429.7,1412.3,1430.1,1508.5,1492.9
277.44,1376,1437.6,1449.1,1487.1,1480.4,1492
278.3,1358.5,1403.1,1443.5,1454.2,1466.5,1500.3
279.16,1379.1,1432.8,1441.3,1439.2,1471.1,1492.8
280.02,1380.2,1435.7,1449.2,1450.7,1482.2,1493.7
280.88,1386.5,1418.7,1423.5,1460.1,1476.9,1495.6
281.73,1390.5,1407.3,1406.1,1451.5,1468.8,1489.6
282.59,1368.3,1405.3,1445.4,1439.2,1480.2,1487.5
283.45,1361.9,1411.8,1449.5,1445.6,1486.3,1509.9
284.31,1361,1428.5,1408.3,1432.4,1470.5,1499.3
285.17,1366.1,1412.8,1425.7,1450.7,1463.2,1455.6
286.03,1356.1,1406.4,1416.6,1454,1480.2,1472.8
286.89,1342.9,1418.3,1440.5,1469.2,1482.2,1494.7
287.75,1339.4,1413.9,1455.1,1465.9,1477.5,1498.2
288.61,1355.1,1406.9,1449.2,1451.6,1480.3,1497
289.47,1370.8,1414,1445.5,1448.6,1488.5,1495.8
290.33,1351.6,1395.4,1442.7,1440.9,1490.5,1470.7
291.19,1377.9,1376,1433,1440,1494,1476
292.05,1371.9,1378.6,1440.9,1452.3,1488.7,1480.4
292.91,1387.6,1390.3,1422.4,1432.1,1476.7,1498.4
