wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.77,887.84,930.96,856.16,858.97,919,926.87
209.63,886.1,962.16,857.9,879.77,919,904.33
210.49,893.34,962.37,857.18,858.98,939.39,916.87
211.35,882.71,943.57,863.14,851.95,920.79,906.35
212.21,886.36,943.81,861.04,848.8,913.3,903.85
213.07,891.07,953.09,859.09,850.76,921.86,910.35
213.93,881,955.14,859.43,856.57,930.29,909.86
214.79,868.6,953.92,851.47,859.68,930.85,895.32
215.65,883.13,959.13,843.26,869.22,929.72,886.48
216.51,888.34,964.34,853.67,877.89,918.44,905.57
217.37,884.46,951.37,848.94,863.1,923.81,908
218.23,869.24,965.14,855.13,859.25,923.5,919.89
219.09,877.8,966.61,861.48,858.02,917.55,927.49
219.94,905.15,948.66,859.38,872.31,920.97,925.1
220.8,916.75,934.93,856.47,896.6,931.99,917.22
221.66,897.7,938.6,868.1,878.71,921.4,908.9
222.52,912.48,943.82,868.97,850.02,916.18,916.72
223.38,881.17,959.08,860.62,871.61,921.02,916.16
224.24,884.9,953.52,856.88,866.1,908.57,918.12
225.1,886.69,955.77,865.8,859.69,908.77,919.58
225.96,883.66,962.68,876.57,854.88,914.34,917.32
226.82,882.95,970.73,871.86,860.14,919.78,918.73
227.68,882.78,977.86,853.48,874.08,928.37,923.26
228.54,873.11,963.41,858.54,847.41,930.43,898.86
229.4,874.85,953.83,835.04,837.83,937.39,912.79
230.26,867.05,941.88,838.56,864.81,931.64,920.36
231.12,886.25,948.96,843.32,861.37,924.69,901.41
231.98,887.38,950.79,848.21,861.88,927.88,902.75
232.84,881.43,945.16,849.78,863.76,929.36,911.38
233.7,883.35,941.83,846.35,860.1,919.86,904.04
234.56,881.78,942.68,844.63,867.24,913.98,892.46
235.42,897.73,935.07,859.81,891.29,942.89,901
236.28,882.92,938.55,849.35,852.96,936.79,901
237.14,890.86,936.73,851.79,852.55,920.83,915.41
238,890.22,934.74,856.15,854.63,931.74,899.85
238.86,880.49,945.52,856,857,933.99,905.03
239.72,875.24,958.86,842.45,861.61,925.51,919.76
240.58,877.05,955.65,831.54,860.63,915.43,918.2
241.44,875.04,941.66,860.2,845.85,896.51,925
242.29,905.51,984.32,876.74,859.78,930.46,925
243.15,864.82,970.41,843.54,854.85,931,894.97
244.01,879.9,943.91,833.62,857.65,917.86,887.81
244.87,883.79,938.01,857.28,854.79,921.43,896.63
245.73,885.74,940.47,861.2,853.42,926.53,907.27
246.59,881.99,945.16,846.31,855.69,927.39,905.07
247.45,870.91,949.06,842.37,857.66,924.74,893.1
248.31,891.54,935.56,835.32,859.07,906.18,897.83
249.17,887.17,940.79,857.13,850.35,907.93,905.69
250.03,882.81,941,845.43,849.16,903.81,912.7
250.89,865.65,948.11,852.24,851.13,917.92,907.6
251.75,872.42,937,856,846.75,918.75,899.75
252.61,878.35,932.48,852.35,840.26,912.26,888.7
253.47,878.94,939.99,840.09,839.64,912.96,879.34
254.33,887.17,943.83,824.41,846.01,918.56,879.42
255.19,879.3,949.92,825.54,849.77,909.31,886.08
256.05,871.44,937.69,820.3,847.15,912.8,898.31
256.91,847.92,934.53,820.82,857.72,911.35,898.18
257.77,858.35,940.98,831.47,867.68,907.51,888.23
258.63,869.01,946.29,832.57,860.7,911.72,887.43
259.49,873.34,939.07,831.34,854.79,909.3,891.79
260.35,871.15,931.21,833.64,857.96,905.81,888.87
261.21,866.51,941.31,834.22,853.38,913.86,881.89
262.07,880.3,953.88,831.56,827.47,904.79,898.07
262.93,871.56,939.89,838.55,845.83,902.17,898.94
263.79,883.28,931.63,858.64,856.82,900.36,887.54
