wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
199.15,1077.8,1140.8,1207.2,1278,1280.7,1283.6
200.01,1086.5,1138.2,1208.9,1256.3,1277.2,1300
200.88,1106.6,1153.5,1208.2,1255.8,1277.8,1294.5
201.74,1096,1140.6,1211.4,1240.3,1285.5,1291.6
202.6,1084,1141.8,1227.3,1252.8,1273.6,1290.5
203.46,1079.6,1151.1,1230.6,1255.6,1254.7,1290.4
204.33,1081.3,1152.9,1219.9,1237.6,1257.4,1281.9
205.19,1087.3,1148.8,1223.1,1245.1,1278.8,1262.5
206.05,1089.1,1142,1228.3,1278.5,1239.7,1282.6
206.92,1091.7,1142.9,1200.5,1257.7,1268.3,1306.9
207.78,1101.8,1134.7,1204.6,1260.3,1250.8,1283.5
208.64,1079.3,1158.3,1222,1223.8,1248.4,1279.4
209.51,1074.4,1162.6,1226.5,1217.8,1256.9,1271.6
210.37,1077,1148.5,1222,1245.2,1269.9,1273.3
211.23,1069.5,1140.3,1225.2,1256.5,1276,1294.5
212.09,1090.8,1128.9,1233.7,1239.1,1254.3,1292.8
212.96,1089.1,1136.7,1213.7,1274.7,1239.5,1291.1
213.82,1087.3,1147.9,1203.8,1253.4,1267.5,1265.9
214.68,1085.6,1153.5,1211.9,1258.2,1283.6,1275.1
215.55,1094.2,1146.3,1212.5,1258,1267.8,1283.9
216.41,1090.3,1141.3,1216.7,1255.9,1263.7,1287.3
217.27,1079.5,1147.1,1227.2,1250.1,1267.2,1284
218.14,1083.2,1147.3,1227.8,1233.5,1246,1273.5
219,1074.2,1109.4,1208.3,1227.8,1246.7,1276.9
219.86,1061.1,1115.5,1197,1240.9,1258,1291.7
220.72,1070.3,1108,1198.4,1234,1238.3,1269.2
221.59,1069,1125.3,1202.3,1222.7,1255.6,1267
222.45,1080.9,1124.3,1194.9,1220.1,1260,1241.2
223.31,1093.4,1119,1181.7,1219.6,1249.1,1240.5
224.18,1089.6,1124.7,1182.5,1217.4,1237.6,1268.1
225.04,1074.6,1123.8,1204.7,1216.8,1227,1252.2
225.9,1055,1123.1,1203.1,1192.7,1232.7,1264.7
226.76,1055,1130.1,1206.5,1231.9,1215.3,1250.8
227.63,1063.3,1115.1,1180.5,1233.2,1223.6,1259.6
228.49,1064.7,1104.3,1170.7,1212.5,1235.8,1251
229.35,1059,1118.5,1161.5,1193.5,1240,1240
230.22,1057,1123.7,1159,1209.1,1236.4,1236
231.08,1061.8,1114.7,1169.2,1245.1,1237.6,1236
231.94,1062.2,1147.1,1173.1,1235.4,1255,1237.2
232.8,1070.9,1117.5,1196.6,1231.1,1255,1245.9
233.67,1059.8,1126.4,1178.1,1224.1,1222.4,1231.4
234.53,1061.7,1114.9,1189.6,1202.6,1203.9,1219.5
235.39,1075.6,1113,1193.2,1219.1,1216.5,1243.1
236.26,1065,1124,1189.2,1224.6,1230.8,1248.7
237.12,1057.2,1128.5,1183.2,1206.4,1227.4,1232.9
237.98,1076.7,1121.7,1177.3,1194.9,1216.5,1231.4
238.84,1056.2,1132.9,1173,1196.8,1220.2,1239.3
239.71,1038.7,1112.8,1154.7,1185.5,1202.7,1233.2
240.57,1045.5,1120.4,1164.9,1182.5,1200.3,1247.2
241.43,1049.1,1104.2,1169.1,1204.7,1196.5,1233.7
242.3,1059.3,1109.2,1158.9,1206.4,1190.3,1241.6
243.16,1056,1120.7,1163.3,1196.9,1201.2,1239.2
244.02,1045.7,1115.1,1168.4,1194,1211.1,1227
244.88,1050,1096.4,1156.1,1194.1,1196.2,1229.8
245.75,1053.2,1095.5,1181.3,1180.3,1194.4,1217.7
246.61,1043.5,1113,1150.7,1195.2,1210.1,1225.6
247.47,1052.1,1111.5,1154,1182.8,1199.5,1198.8
248.34,1048.4,1097.7,1160.6,1180,1201.2,1196.5
249.2,1040.3,1108.6,1161.3,1169.7,1203,1192.8
250.06,1042.7,1125.5,1184.6,1182.1,1189.2,1199.7
250.92,1050,1120.7,1201.5,1203.8,1187.4,1215.2
251.79,1049.6,1098.4,1169.9,1191.7,1216.7,1222.5
252.65,1055.5,1094.9,1157.1,1171.6,1203.1,1230
253.51,1049.4,1080.9,1157.9,1191.7,1204.9,1192.4
254.38,1035.1,1060.4,1189.9,1173.4,1209.1,1230.9
255.24,1036.2,1084.4,1165.8,1169.7,1191.3,1208.1
256.1,1056.8,1092.5,1149.2,1180.2,1197.8,1191.2
256.96,1064.8,1097,1155,1186.2,1198.8,1194.3
257.83,1058.3,1105.1,1159.2,1183.7,1177.1,1202.9
258.69,1055.6,1096.9,1149.7,1182.4,1156.6,1207.6
259.55,1033.4,1081.1,1160.2,1178.4,1153.9,1209.6
260.42,1038.7,1094.2,1150.6,1158.3,1189.8,1204.3
261.28,1032.4,1072.8,1144.2,1143,1201,1193.3
262.14,1041.5,1086.1,1141.6,1169.3,1187.7,1191.7
263,1038.5,1088.8,1144.4,1158.5,1179.8,1200
263.87,1030.8,1081,1150.6,1159.9,1173.6,1203.8
264.73,1034.2,1080.6,1158.6,1181.4,1163.7,1207.2
265.59,1042.6,1087,1161.2,1169.9,1159.4,1209.5
266.46,1025.2,1075.3,1140.8,1138.7,1167.4,1168.5
267.32,1027.9,1078.8,1127.7,1146.6,1149.9,1173.7
268.18,1043.8,1078.2,1137.8,1148.7,1171.5,1163.2
269.04,1046.3,1078.7,1128.7,1160.3,1151.2,1174.5
269.91,1039.5,1087.2,1121.7,1162.1,1143.3,1178.2
270.77,1030.4,1088.8,1111.7,1159.1,1154.7,1165.9
271.63,1022.3,1080.6,1111.5,1148.8,1172.5,1156.4
272.49,1016.8,1078.3,1133.9,1138.4,1178.9,1169.7
273.36,1016.7,1092.5,1146.6,1163.9,1157.4,1191
274.22,1022.8,1078.4,1133.4,1153.3,1160.9,1162.9
275.08,1036.6,1059.3,1139,1166.6,1162.7,1171.4
275.95,1031.7,1055.3,1118.1,1131.1,1173.9,1163.5
276.81,1026,1079.9,1113.6,1141.3,1154.9,1155.2
277.67,1027.4,1077.1,1121.8,1152.6,1152.6,1162.7
278.53,1022.3,1060.6,1127.6,1149.1,1154.4,1168.2
279.4,1009.4,1068,1123.2,1145.5,1135.9,1156.3
280.26,1019.7,1072.9,1110.3,1130.5,1143.5,1149.1
281.12,1039.9,1087,1105,1149,1155,1135
281.98,1034.7,1060.7,1098.9,1131.5,1136.6,1127.1
282.85,1039.3,1069.8,1096.5,1135,1138.5,1157.7
283.71,1035.9,1063.2,1105.5,1147.2,1134.3,1151.5
284.57,1021.7,1051.9,1106.9,1142.7,1142.3,1151.8
285.44,1016.5,1056.5,1105,1129.1,1142.8,1146.4
286.3,1020.1,1066.1,1108.8,1132.3,1129.7,1129.7
287.16,1008.4,1056.3,1107.8,1155.9,1137.9,1148.2
288.02,1016.3,1074.2,1091,1149.3,1142.5,1165.2
288.89,1024.2,1051.3,1118.2,1129,1127.5,1144.1
289.75,1016.3,1065.6,1114.7,1139.7,1143.4,1140.4
290.61,1021.4,1055.9,1113,1141,1147.3,1147.4
291.47,1022.8,1053.4,1121.3,1129.5,1140.9,1142.2
292.34,1025.8,1063.9,1123.2,1135.2,1144.6,1124.2
293.2,1031.4,1068.6,1115.4,1148.1,1148.2,1114.4
294.06,1026.7,1056.9,1110.8,1131.5,1134.3,1129.8
294.92,1013.4,1049.9,1105.3,1117.4,1147.3,1154
295.79,1018.7,1072.8,1097.4,1122.7,1138.5,1154
296.65,1014.8,1063.2,1109.5,1136.3,1130.5,1136.5
297.51,1030.5,1042.4,1124.9,1139.7,1131.9,1129.4
298.38,1025.7,1052.9,1121,1129.2,1118.7,1114.3
299.24,1030.4,1066.9,1111.2,1128.2,1117.6,1117
300.1,1039.7,1066.1,1102.7,1126,1138.1,1126.4
300.96,1024.5,1062.2,1095,1117.2,1155.1,1125.8
301.83,1003.2,1065.4,1096.2,1140,1141.8,1140.3
302.69,1019,1061,1105,1140,1112.1,1114.1
303.55,1017.2,1068.1,1113.9,1137.3,1123.5,1134.4
304.41,1010.9,1049.8,1117.3,1166.2,1103.5,1138.5
305.28,1014.9,1046,1118,1149,1107.4,1123.4
306.14,1007.9,1051.8,1112.1,1133.9,1123.7,1120.3
307,1009.8,1061.4,1102,1130.9,1137.2,1129.6
307.86,1019.9,1061.2,1098,1119.4,1133.5,1144
308.73,1013.4,1048.2,1106.8,1103.9,1113.3,1154.2
309.59,1037.3,1072.2,1114.8,1125.9,1124.2,1113.4
310.45,1027.6,1074.8,1112.2,1124.1,1126.8,1104.5
311.32,1022.9,1052.6,1124.4,1111.6,1113.7,1133.8
312.18,1017.7,1038,1099.2,1117.5,1108.2,1143.6
313.04,1020.2,1041.2,1091,1124,1108.8,1144.4
313.9,1024,1039.8,1091.1,1127,1110.5,1143.5
314.77,1015.3,1046.5,1096.3,1128,1109.6,1135.1
315.63,1000.3,1067.1,1108.8,1129.5,1112.7,1117.8
316.49,1007.8,1058.5,1107.3,1134.3,1130.2,1110.9
317.35,1012.2,1061.2,1101.9,1136.3,1131.1,1130.1
318.22,1015.8,1064.8,1086.8,1146.9,1127.5,1131
319.08,1018.6,1073,1084.4,1125.5,1128.7,1115.5
319.94,1017.2,1079.9,1102.2,1115.1,1107.9,1119.1
320.8,1017.9,1075.7,1106.8,1120.3,1098.3,1129.2
321.67,1021.9,1078.2,1102.3,1117.5,1120.1,1133.7
322.53,1020.9,1079.1,1103.2,1108.8,1137.7,1129.3
323.39,1014.6,1060.8,1109.9,1114.8,1120.8,1119.7
324.25,1026.5,1062.8,1119.6,1118.4,1133.1,1113.3
325.12,1017.7,1027.5,1112.5,1129.9,1121.6,1104.4
325.98,1031.2,1021.3,1126.9,1107.9,1120.5,1113.6
