wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.28,3319.8,2872.8,2707.6,2611,2541.4,2497
210.13,3380.4,2955.1,2703.3,2558.1,2460.8,2497
210.99,3371.8,2884.1,2725.8,2555,2528.6,2512.5
211.85,3396.3,2880,2716,2578.9,2545,2520.1
212.71,3417.8,2913,2715.6,2634,2586.8,2509.3
213.57,3432.5,2934.2,2721.4,2659.1,2583.3,2511.6
214.42,3447.6,2930.4,2718.6,2646,2555.3,2522.7
215.28,3452.9,2927.1,2723.8,2647.9,2605.6,2507.6
216.14,3419.6,2944.8,2799.5,2633,2549,2511.6
217,3443,2976.9,2781.3,2711,2587.1,2535
217.86,3449.8,2968.1,2743.4,2625.6,2593.5,2555.4
218.71,3492.3,2977.1,2767,2622.5,2612.1,2554.7
219.57,3479.5,3004.3,2790.5,2647.4,2608.7,2554
220.43,3422.5,3016.8,2795.9,2665.4,2607.8,2572.9
221.29,3403.4,3003.8,2788,2676.9,2624.4,2598.9
222.15,3448.6,2999.6,2754.1,2661.8,2599.3,2590.5
223.01,3453.8,2970.1,2833.2,2677.4,2601.9,2577.5
223.86,3454.8,2979.1,2836.8,2672.1,2666.5,2598.8
224.72,3440.2,2969.7,2807.3,2653.3,2652.1,2604.4
225.58,3457.1,2992.1,2820.9,2685.8,2636.4,2613.1
226.44,3483.8,3018.2,2830.2,2720.8,2633,2612.8
227.3,3480.6,3019.1,2825.2,2722,2620.4,2620.4
228.15,3457.2,3014,2835.6,2711.6,2601.1,2644
229.01,3500.2,3056.9,2812.9,2721.9,2639.3,2601.7
229.87,3470.6,3039.5,2827.7,2704.5,2675.8,2629.6
230.73,3448.9,3014.2,2833.8,2711.7,2640.1,2676.5
231.59,3467.9,3039.9,2856.9,2718,2638,2644.2
232.44,3479.5,3049.6,2840.2,2741.4,2662.8,2644.4
233.3,3479,3025.4,2832.6,2741.8,2680.6,2642.9
234.16,3477.6,3019.2,2856.4,2731,2694.1,2603.7
235.02,3475.2,3071.2,2843.9,2771.2,2717.1,2594.2
235.88,3482.5,3048.4,2780,2760.8,2636.5,2664.5
236.74,3509.5,3018.8,2835.8,2753,2665.3,2638.4
237.59,3481.2,3075.7,2838.4,2751.2,2687.2,2606.2
238.45,3467.2,3066.7,2841.4,2722.7,2673.5,2611.5
239.31,3472,3058,2822.5,2718,2643.5,2631
240.17,3480.1,3034,2809.2,2712.9,2612,2635.7
241.03,3454.9,2978.5,2816.7,2693.5,2592.4,2627.7
241.88,3386,2983,2799.5,2715,2606.3,2627
242.74,3499.2,3050.9,2818.7,2655,2654.2,2559.1
243.6,3499.3,2989.4,2763.2,2634.3,2601.8,2581.2
244.46,3477.1,2971,2790.5,2652.9,2612.7,2614.9
245.32,3469,2951.8,2820.9,2649.6,2613.4,2576.6
246.18,3455.7,2937.2,2806.4,2647.7,2596.2,2564.9
247.03,3420.2,2936.5,2784.2,2651.9,2570.9,2581.8
247.89,3392.6,2944.8,2787.9,2655.2,2556.8,2562.3
248.75,3430.8,2947.8,2751,2675.1,2580.1,2533.1
249.61,3401.2,2918.2,2676,2619.2,2571.3,2514.7
250.47,3379.1,2931.2,2725.8,2633.8,2496.4,2512.3
251.32,3388.5,2945.4,2727.5,2639.1,2535.3,2534
252.18,3380.6,2930.2,2719.3,2613.2,2556.4,2501
253.04,3380.1,2874.5,2691.8,2579.4,2536.8,2457.8
253.9,3374.2,2843.8,2658.1,2563,2518.6,2442
254.76,3341,2877.7,2640.7,2559.5,2523.1,2438.1
255.61,3344.5,2861.2,2615.6,2537.6,2503.1,2425.3
256.47,3339.3,2862.9,2655.7,2533.2,2492.6,2451.5
257.33,3302.7,2826.7,2660.5,2528.1,2464.8,2411.8
258.19,3264.3,2803.7,2657.5,2512.3,2454.1,2422.5
259.05,3256.7,2790.7,2629.1,2493.4,2465.2,2425.8
259.91,3268.2,2782.4,2616.6,2475.1,2467.8,2409.9
260.76,3264.8,2776.7,2619.9,2475.9,2449.4,2395.6
261.62,3230.4,2778.5,2607,2494.4,2425.3,2393.7
262.48,3196.8,2793.9,2602,2463.6,2406.2,2381.1
263.34,3219.6,2755.5,2540,2420.7,2358.1,2395.1
264.2,3206.3,2746.4,2534.4,2477.7,2368.1,2357.5
