wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.28,1076,1116.2,1104.7,1143.2,1152,1164.2
209.14,1086.4,1107.5,1111.6,1103.3,1152,1166.8
210,1090.3,1128.2,1109.5,1132,1167.5,1166.2
210.87,1095.1,1108.4,1101.5,1115.1,1177.8,1181
211.73,1100.3,1092,1113.4,1118.9,1161.7,1189.1
212.59,1107.6,1096,1130.6,1127.7,1150.2,1193.8
213.45,1103.4,1105.6,1125,1117.3,1150,1190.4
214.31,1078.2,1107.2,1094.2,1106.7,1139.1,1167.6
215.18,1085.5,1135.7,1091.1,1126.5,1161.9,1160.4
216.04,1103.7,1122.7,1135.4,1108.3,1157.5,1177.8
216.9,1100.7,1101.3,1121.3,1131,1133.5,1195.9
217.76,1116.5,1100,1103.7,1130.2,1146,1201
218.63,1103.8,1097.6,1112.8,1130.4,1159,1191.6
219.49,1087.6,1090.9,1117.4,1126.9,1148,1178
220.35,1104.5,1090.4,1107,1111.9,1130,1172.2
221.21,1112.2,1093.8,1138.1,1116.2,1138.7,1175.8
222.07,1079.2,1083.4,1121.6,1126.6,1127.4,1174.1
222.94,1083.9,1098.1,1096.7,1119.5,1158,1190.8
223.8,1094.9,1106.7,1088.5,1134.3,1161.9,1171.4
224.66,1101.3,1095.2,1114.7,1120.2,1143.1,1164.3
225.52,1095,1099.3,1116.3,1117.5,1136.7,1164.2
226.39,1088.5,1120.8,1100.6,1128.6,1148.2,1163
227.25,1093,1125.3,1111.6,1122.3,1152,1168.7
228.11,1078.9,1109.7,1088.6,1137.5,1140.5,1183.7
228.97,1061.5,1121,1098.2,1145.3,1164,1162.8
229.84,1071.9,1108.5,1106.2,1133.3,1123.1,1173.7
230.7,1063.7,1099.7,1107.3,1126.7,1137.2,1179.7
231.56,1051,1090.6,1114,1114.3,1134,1166
232.42,1052.7,1095.1,1110.7,1102.6,1126.9,1160.7
233.28,1065.4,1107.5,1092.9,1099,1139.5,1170.1
234.15,1066.5,1101.4,1081.4,1102.4,1143.8,1166.3
235.01,1052.2,1103.6,1078.2,1121.5,1131.5,1174
235.87,1065.3,1083.6,1086.9,1097.2,1156.7,1176.7
236.73,1063.2,1069.6,1088.8,1097,1150.1,1167.9
237.6,1066.4,1074.8,1100.3,1078.5,1147,1161.8
238.46,1066.5,1088.5,1094.5,1082.5,1146.5,1162.5
239.32,1067.7,1098.5,1082.4,1099.5,1134.8,1169.1
240.18,1068.6,1095.9,1081.3,1103.7,1114.5,1168.4
241.04,1055.3,1080.6,1073.8,1107.6,1113.6,1148.5
241.91,1080.6,1084.9,1057.3,1097.2,1140.6,1174.6
242.77,1063,1081.6,1077.6,1105.6,1135.8,1162.1
243.63,1075.3,1085.4,1084.7,1098.2,1129.2,1172.4
244.49,1063.5,1070.1,1080,1106.4,1121.6,1142.7
245.36,1054.4,1071.3,1085.5,1113.5,1117,1118.6
246.22,1057,1079.8,1095.3,1103.7,1108.4,1131.2
247.08,1055.2,1071.3,1089.2,1083.4,1099.7,1151.7
247.94,1049.7,1077.5,1072.9,1076.7,1122.9,1128
248.81,1056.7,1091.4,1081.7,1102,1149.9,1118.4
249.67,1063.7,1100.4,1077,1108,1122.5,1141.5
250.53,1060,1080,1062.5,1093.4,1102.1,1161.6
251.39,1053.9,1080.9,1070.4,1086.4,1114.7,1155.8
252.25,1041.9,1075.7,1073.6,1088.3,1118.9,1137.9
253.12,1032,1065,1060.4,1098.9,1109.7,1135.2
253.98,1036.2,1072.2,1054.9,1109.1,1114,1147.1
254.84,1045.2,1070.8,1077.5,1085.9,1117.5,1127.4
255.7,1046.9,1090.9,1071.3,1085,1111.3,1120.4
256.57,1041.2,1086.2,1078.4,1066,1094.5,1115.9
257.43,1045.6,1066.9,1087,1091.3,1108.5,1110.1
258.29,1036.5,1069.3,1068.2,1085.7,1115.4,1109.1
259.15,1029.3,1081.9,1070.8,1071.1,1105.2,1115.4
260.02,1036.8,1081,1085.3,1071.6,1090.8,1118.8
260.88,1042.8,1064.8,1060.6,1069.9,1087.2,1108.5
261.74,1017.7,1058,1037.4,1049.3,1090,1094.5
262.6,1026.4,1032.6,1079.3,1052.8,1064.6,1100.6
263.46,1032.7,1055.5,1050.9,1074.3,1068.7,1101.8
264.33,1038.2,1045.7,1046.8,1076.2,1089.4,1129.8
