wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.28,2101.1,2088.1,1898.9,1981.3,2241.6,2500.7
210.13,2112.3,2131.4,1918.8,1984.8,2290.1,2539.7
210.99,2073,2147.9,1929,2013.5,2279.9,2524.1
211.85,2089.3,2121.6,1941.9,2009.1,2269.5,2571.2
212.71,2107.1,2121.8,1932.1,1981.4,2282.5,2599.4
213.57,2111.6,2139.7,1928.8,1972.2,2280.5,2620.2
214.42,2118.7,2147.3,1947.6,1988.4,2273.6,2646.9
215.28,2132.6,2153.1,1964.8,1993.9,2313.7,2655.7
216.14,2103.4,2207.6,1968.9,1977.6,2334.1,2665
217,2119,2150.3,1964.5,2001,2338.4,2663.2
217.86,2130.8,2200.5,1914.8,2016.1,2311,2704.6
218.71,2110.2,2192.7,1934.7,2011.9,2302,2759.9
219.57,2120.2,2171.6,1951.1,1997.6,2311.9,2772.7
220.43,2134.8,2161.3,1953.6,2001,2342.7,2767.2
221.29,2128.3,2158.3,1961.5,2026.5,2367.2,2792.5
222.15,2162.6,2172.9,1949.4,2032.3,2330.8,2831.3
223.01,2133.1,2146,2005,2008.8,2355.1,2807.8
223.86,2114.4,2153.4,1956.8,2016.4,2363.5,2858.1
224.72,2133.6,2156.4,1961.1,2018,2345.2,2885.7
225.58,2122.8,2164.5,1950.3,2000.7,2364.7,2914.9
226.44,2083.5,2160.2,1938,1986.2,2388.1,2945.7
227.3,2078.2,2154.6,1957.9,1995.7,2390.4,2980.1
228.15,2125.8,2163.1,1990.1,2017.9,2381.6,3023.5
229.01,2094.8,2137.3,1943,2007.9,2359.5,3058.5
229.87,2107.9,2141.6,1958.6,2070.6,2383.9,3018.5
230.73,2089.1,2161.1,1925.8,1980.6,2383.6,3087.3
231.59,2082,2143.4,1948.9,1981.9,2398.9,3130.6
232.44,2101.3,2127.2,1938.3,2005.7,2380.3,3205
233.3,2108.5,2128.7,1936.9,1988.7,2369.6,3259
234.16,2078.7,2135.9,1946.1,1958,2396,3271.7
235.02,2043.8,2135.3,1899,1979.9,2408.1,3313.9
235.88,2060,2148.7,1973.8,1984.7,2356.4,3365.1
236.74,2060.9,2129.5,1912,1967.3,2380.8,3319
237.59,2047.3,2105.8,1919.2,1951.3,2365.8,3379
238.45,2065.7,2075.1,1920.2,1957.1,2362.5,3396.8
239.31,2057.5,2074.5,1903,1959,2365.5,3431.6
240.17,2037.1,2079.8,1877.2,1940.1,2371.5,3493.3
241.03,2021.4,2056.2,1859.7,1913.5,2377.8,3532.3
241.88,1973.3,2029.6,1861.7,1906.2,2367.2,3512.4
242.74,2021.2,2056.6,1859,1885.3,2315.8,3448
243.6,1979.1,2044.1,1829,1863.5,2264.4,3507.1
244.46,1983,2004,1841.5,1892.8,2276.4,3513.3
245.32,2009.9,2017.1,1839.6,1901.4,2256.9,3499.4
246.18,1985.7,2015.1,1825,1892.8,2241.4,3498.6
247.03,1951.3,1993.7,1809.5,1866.6,2252,3474.8
247.89,1972.3,1987.8,1794.2,1837.9,2255.8,3406.1
248.75,1982.9,1962.9,1782.5,1861.8,2208,3373.1
249.61,1972.4,1971.7,1834,1822.6,2133,3326.8
250.47,1941,1966.1,1800,1805.9,2122.5,3340.9
251.32,1929.3,1940.1,1783,1813.7,2150.8,3228.2
252.18,1899.6,1912.5,1779.6,1794.7,2161.2,3162.9
253.04,1896.9,1912.8,1770.4,1765.7,2132.6,3121.7
253.9,1909.4,1937.9,1762.6,1747.4,2100.7,3053.1
254.76,1893.8,1942.6,1769.6,1745.3,2090.6,2967.2
255.61,1890.1,1885.3,1764.8,1762.1,2047.4,2906.7
256.47,1856.9,1922.9,1728.1,1718.5,2063.1,2880.5
257.33,1867.4,1900.3,1720.2,1740.7,2014.5,2852.6
258.19,1889.5,1902.7,1711.3,1750.2,1996.3,2759.1
259.05,1888.8,1900.3,1698.3,1725.1,2004.5,2707.3
259.91,1878.9,1897.3,1686.1,1696.5,2012.5,2672.4
260.76,1862.5,1903.5,1695.1,1690.8,1993.1,2627.9
261.62,1837.2,1891.8,1714.3,1700.6,1954.8,2584.4
262.48,1842.6,1805.3,1660.7,1701,1959.8,2525.2
263.34,1850.5,1821.9,1644.1,1726.4,1932.7,2490.2
264.2,1838.7,1817.3,1644.6,1712.5,1933.5,2474.9
265.05,1859.6,1802.8,1679,1691.7,1924.3,2420
265.91,1839.9,1797,1669.5,1692,1910.3,2384.5
266.77,1812.6,1795.2,1656.3,1677.1,1902.6,2358.6
267.63,1804.8,1801.6,1651.2,1656.1,1893.7,2331.9
268.49,1801,1814,1629.3,1666.8,1875.6,2306.4
269.35,1808.6,1789.1,1644.5,1666.2,1872.7,2251.1
270.2,1853.2,1790.9,1663.8,1668.8,1856,2215.2
271.06,1816.6,1778.7,1629.7,1614.8,1836.9,2236.8
271.92,1797.5,1795.5,1624.1,1647.6,1853.2,2188.3
272.78,1793,1782.8,1631.3,1655.5,1848.8,2158.1
273.64,1808.3,1762.5,1618.9,1655.5,1833.2,2135.9
