wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
209.65,1503.3,1503.6,1550.7,1551.1,1574.1,1531.3
210.51,1506.8,1521,1516,1573.7,1522.1,1534.8
211.37,1513.5,1517.1,1526.2,1546.5,1535.3,1508.9
212.23,1511.6,1529.7,1535.8,1531.1,1526,1531.7
213.09,1521.6,1504.1,1542.8,1531.4,1551.9,1540.6
213.95,1531,1499.3,1536.4,1526.2,1558.8,1532.8
214.81,1523,1535.3,1528.1,1519.4,1527.2,1547
215.67,1506.4,1542.6,1541,1534.1,1516.4,1595.9
216.53,1525.3,1497.4,1540.5,1540.4,1524.1,1589.5
217.39,1535.7,1552,1522.3,1556.9,1529.3,1568.7
218.25,1549.9,1520.4,1545,1562,1546.7,1540.3
219.11,1532.1,1475.5,1541.7,1556.1,1565.8,1536.4
219.97,1520.5,1507.9,1527.6,1545.1,1557.7,1539.5
220.83,1506.8,1552.3,1539.9,1535.5,1539.9,1544.3
221.69,1485.1,1528.9,1571.8,1527.1,1536.2,1549.2
222.55,1504.1,1505.1,1557,1514.6,1529.6,1539.8
223.41,1522.3,1532,1522.2,1519.8,1526.1,1538.1
224.27,1516.3,1512.1,1554.5,1537.6,1503.4,1565.6
225.13,1520.7,1523.5,1556,1541,1512.4,1540.6
225.99,1532.2,1521.3,1561.5,1531.8,1518.6,1518.2
226.85,1534.5,1517.7,1548.7,1522.8,1527.9,1532.8
227.71,1522.7,1528.6,1527.3,1525.4,1532.4,1557.8
228.57,1510.8,1538.9,1538.9,1535,1521.3,1551
229.43,1519.8,1511.3,1576.9,1526.7,1534.9,1542.3
230.29,1531.9,1500.9,1558.6,1537.1,1516.6,1547.5
231.15,1525.8,1502.4,1544.3,1542,1529.3,1548
232.01,1543.3,1491,1531,1537,1537.7,1546
232.87,1553,1505.8,1541.5,1536.1,1543.2,1545
233.73,1543.7,1519.5,1557.4,1532.3,1533.8,1535.3
234.59,1523.1,1521,1553.8,1517.7,1519,1525.4
235.45,1500.9,1537,1532.2,1505.2,1526.8,1535.8
236.31,1477.6,1508.2,1516.7,1529.7,1526.3,1528.7
237.17,1510.7,1516.9,1555.9,1514.9,1542.9,1513
238.03,1517.3,1527.9,1566.3,1505.4,1520,1525.4
238.89,1539.4,1498.3,1559.8,1519.4,1495.6,1517.4
239.75,1547,1486.5,1552.5,1529,1494.5,1526
240.61,1531.2,1506.7,1551.5,1515.2,1506.7,1533.1
241.47,1512.8,1522.1,1550.6,1499.8,1513,1515.8
242.33,1515.8,1503.1,1536.4,1522.6,1514.6,1509.2
243.19,1544.5,1496.1,1509.4,1512.2,1526.8,1511
244.05,1531.3,1496.9,1508.1,1524.9,1501.3,1527.3
244.91,1521.7,1514.5,1511.7,1527.7,1489,1496.4
245.77,1504,1505.3,1513.6,1531.6,1500.5,1505.1
246.63,1490.2,1491.7,1515.4,1519.3,1515.2,1503.8
247.49,1490.8,1484.9,1516.3,1501.6,1520.3,1492.5
248.35,1500.7,1487.5,1516.8,1497,1515.3,1506.9
249.21,1501.6,1513.2,1520.7,1492.2,1501.4,1519.7
250.07,1488.5,1467.8,1498.9,1513.2,1496.2,1507.5
250.93,1494.7,1457.6,1467.8,1509.8,1503.5,1516.2
251.79,1483.2,1485.1,1498.2,1500.5,1511.4,1497.4
252.65,1490.8,1495.2,1510.1,1492.9,1471.4,1484.9
253.51,1493.2,1479.4,1503,1494.1,1465.7,1471
254.37,1491.3,1471.6,1501.3,1502.6,1483.5,1470.2
255.23,1504.6,1486.1,1515.1,1513,1465.3,1486.7
256.09,1504.9,1468.6,1533.5,1522.7,1487.9,1456.5
256.95,1481.3,1487,1516,1496.5,1509.8,1485.4
257.81,1486.6,1516,1493.6,1462.9,1499.5,1494.4
258.67,1465.7,1475.2,1516.9,1478.3,1481.7,1466.7
259.53,1460.6,1465.9,1509.5,1500,1480.7,1487.2
260.39,1464.5,1466.8,1497.2,1492,1476.1,1494.1
261.25,1466,1459.6,1495.8,1471,1469.5,1465.3
262.11,1466.2,1462.2,1483.9,1477,1478.2,1450
262.97,1458.9,1459.6,1471,1500,1475,1447.9
263.83,1458.1,1466.5,1471,1475.6,1475,1471.5
264.69,1480.9,1437.5,1508.7,1461.7,1467.6,1480.4
265.55,1455.5,1425.5,1505.9,1451.4,1479.9,1474.4
266.41,1443.1,1446.9,1489.6,1445.2,1484.3,1485.2
267.27,1434.7,1457.9,1482.8,1452.8,1467,1480
268.13,1424.6,1452.8,1481.8,1476.2,1458.2,1463.5
268.99,1434.2,1454.6,1483.8,1492,1477.7,1472.8
269.85,1459.4,1427.6,1515.8,1459.5,1459,1479.5
270.71,1451.5,1422.3,1464.2,1465.6,1446.8,1473.4
271.57,1466.6,1447.5,1473.3,1487.4,1450.9,1468.9
272.43,1444.9,1450.9,1469,1500.4,1470.1,1466.6
273.29,1439.7,1439.7,1464.3,1463.3,1466,1468.9
274.15,1449.8,1446.8,1467,1441.1,1458.3,1463.3
275.01,1460.6,1461.7,1474.3,1441.9,1448.6,1461.5
275.87,1466.8,1453.2,1476.2,1427.8,1428.6,1467.7
276.73,1460.9,1445.9,1465.2,1448.1,1443.9,1436.1
277.59,1448.6,1445,1467.9,1460.4,1453.5,1493.1
278.45,1460.5,1455.8,1468,1439.4,1438.2,1450.2
279.31,1413.4,1433.9,1464.5,1439.2,1432.2,1433.2
280.17,1416.4,1439.8,1482.9,1438.7,1439.8,1437.6
281.03,1445.5,1430.6,1488.2,1437,1447.4,1429.1
281.89,1442.3,1419.6,1477,1439.4,1458.5,1424.6
282.75,1417.8,1445.5,1473.7,1442.9,1469.8,1450.9
283.61,1452,1449.7,1467.7,1436.7,1445.7,1461.6
284.47,1443.3,1437.4,1455.4,1415.7,1461.5,1430
285.33,1426,1463.4,1489.9,1444.8,1453.5,1469
286.19,1444.1,1438.1,1479.2,1436.9,1458.6,1457.8
287.05,1452.6,1442.8,1451.2,1433.2,1441,1462.5
287.91,1461.2,1441.4,1461.2,1431.6,1456.6,1469
288.77,1456.2,1417,1472.8,1433.7,1467.4,1456.8
289.63,1433,1406.1,1453,1445.6,1431.6,1437.2
290.49,1433.2,1438.6,1467.2,1452.1,1429,1439.4
291.35,1412.1,1443,1454,1416.1,1444,1450
292.21,1406.7,1408.8,1448.7,1446.7,1431.7,1430.7
293.07,1406,1425.9,1475.9,1455.5,1421.7,1439.3
293.93,1439.7,1419,1470.4,1436,1421.5,1430.3
294.79,1452.8,1423.9,1443.5,1425,1445.6,1444.6
295.65,1443.5,1419.9,1438.6,1423.6,1444.2,1452.8
296.51,1436.9,1401.3,1450.1,1422.2,1418.3,1429.1
297.37,1437.2,1420.9,1438.4,1430.1,1443.8,1418.1
298.23,1454.6,1437.3,1490.2,1442.3,1446.3,1430.3
299.09,1444.1,1445.2,1468.2,1452,1400.6,1440
299.95,1447.7,1423.9,1447,1441.9,1433.2,1407.8
300.81,1449,1440.2,1454.8,1433.6,1427.5,1404.4
301.67,1440.7,1433.3,1468.7,1414.4,1425.5,1420.8
302.53,1425.4,1426.3,1463.3,1420.9,1433,1437.2
303.39,1418.4,1435.7,1453.9,1446.1,1434.5,1438.1
304.25,1434.2,1436.5,1470.8,1444,1428.8,1427.5
