wavenumber,sample1,sample2,sample3,sample4,sample5,sample6
208.79,1015.5,1009.6,1030.7,1043.7,1039.1,1050.9
209.66,1020.7,994.87,1027.2,1040.2,1029.6,1060.4
210.52,1032.4,1033.2,1019.7,1023.7,1042,1057.7
211.38,1020.7,1031.8,1034.4,1024.8,1036.8,1075.4
212.24,1014,1015.4,1018.3,1020.9,1050.1,1064.7
213.1,1014.4,1015.6,1015.3,1018.5,1048.1,1047.7
213.96,1016.1,1025.9,1035.4,1030,1033.7,1050
214.82,1017.9,1018.9,1026.5,1046.2,1050.7,1057.2
215.68,1012.8,1023.9,1013.2,1025.2,1038.2,1042.1
216.54,1043.1,1019.5,1021,1033,1044.2,1046.5
217.4,1015.2,1009.9,1034.9,1034,1048,1044.7
218.26,1018.8,1013.9,1037.1,1047.8,1047.1,1051.5
219.12,1015.1,1023.4,1039,1019.4,1044.5,1048.1
219.98,1005.9,1032.3,1034.4,1002.3,1035.4,1050.9
220.84,1016.1,1033.4,1020.3,1037.1,1027.8,1065.4
221.7,1030.5,1016.7,1018.8,1033.7,1045,1050.6
222.56,1008.8,1005.4,1025.8,1031.1,1027.6,1055.8
223.42,1023.1,1039.3,1051.1,1038.5,1039.6,1067.7
224.28,1021.8,1044.6,1039.7,1027.3,1044.1,1054.5
225.14,1017.7,1036.5,1024.9,1032.4,1044.4,1046.3
226,1018.7,1022.1,1028.8,1038.2,1041.3,1041
226.86,1026.7,1010.4,1038.8,1038.8,1042.1,1050.8
227.72,1027.8,1013.6,1031.6,1038.9,1049.5,1078.4
228.58,988.89,1033.5,1021.9,1011.8,1041.3,1058.1
229.44,1019.4,1024.8,1036.7,1008.3,1013.4,1059.8
230.3,1035.5,1011.3,1028.5,1009.6,1053.1,1059.2
231.17,1024.4,1009.3,1022.7,1010.7,1044.1,1059
232.03,1018.1,1018,1031.2,1017.4,1044.2,1052.6
232.89,1017,1018.1,1033.1,1033.9,1044.9,1052.7
233.75,1016.5,1008.8,1021.1,1036.2,1038.5,1052.5
234.61,1022.4,1014.7,1018.2,1005.1,1047.2,1035
235.47,1018.8,1036.3,1030.7,1034.3,1013.4,1063.8
236.33,1006.6,1051.1,1015,999.51,1034.3,1052.5
237.19,1007.3,1024.2,1023.6,1029.9,1034.7,1047.2
238.05,1012.4,1013.1,1016.9,1035.3,1033.4,1046
238.91,1004,1016,1015.5,1017.5,1029.5,1043
239.77,999.7,1016.3,1017.4,1000,1025.6,1053
240.63,1011,1007.1,1017.9,1001.6,1026,1063.8
241.49,1011.2,997.42,1030.5,1024.1,1029.6,1028.4
242.35,1013,993.07,1011.3,1039.8,1033.9,1024.1
243.21,1012.1,1010.2,1021.3,1038.3,1027.1,1029.2
244.07,1026.6,1007.2,1026.7,1022.7,1027.5,1035.1
244.93,1008.5,1009.8,1029.8,1013.4,1015.4,1027.4
245.79,1007.2,1006.4,1027.2,1009.6,1014.6,1029.1
246.65,1020.2,1005.9,1024.4,1017,1026.1,1042.8
247.51,1012.6,1013.7,1023.7,1027.4,1030,1044.5
248.37,1004,994.91,1011,1005.1,1022.2,1018.9
249.23,1004,994.03,1001.4,1015.6,1014.3,1027.7
250.09,1006.5,1011.6,1003.5,992.54,1013.2,1040.6
